Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal OKAN-leerlingen, wonend in de gemeente","Aantal OKAN-leerlingen, naar thuistaal, wonend in de gemeente",Procent
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Niet Nederlands,681,704,0.96733
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Onbekend,15,704,0.0213068
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Nederlands,10,736,0.013587
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Niet Nederlands,709,736,0.963315
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2016,Onbekend,17,736,0.0230978
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Nederlands,11,835,0.0131737
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Niet Nederlands,782,835,0.936527
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Onbekend,42,835,0.0502994
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,11,890,0.0123596
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,845,890,0.949438
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,34,890,0.0382022
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,3,914,0.00328228
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,891,914,0.974836
Antwerpen,11002,Ja,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,20,914,0.0218818
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Nederlands,0,8,0.0
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Niet Nederlands,7,8,0.875
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Onbekend,1,8,0.125
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Nederlands,0,5,0.0
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Niet Nederlands,5,5,1.0
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2015,Onbekend,0,5,0.0
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Nederlands,0,15,0.0
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Niet Nederlands,11,15,0.733333
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2017,Onbekend,4,15,0.266667
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Nederlands,0,10,0.0
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Niet Nederlands,10,10,1.0
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2018,Onbekend,0,10,0.0
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Nederlands,0,9,0.0
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Niet Nederlands,9,9,1.0
Boechout,11004,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2019,Onbekend,0,9,0.0
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Nederlands,0,6,0.0
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Niet Nederlands,6,6,1.0
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2011,Onbekend,0,6,0.0
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Nederlands,0,6,0.0
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Niet Nederlands,6,6,1.0
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2012,Onbekend,0,6,0.0
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Niet Nederlands,7,9,0.777778
Boom,11005,Nee,"Leerlingen OKAN, naar woonplaats, naar thuistaal",2013,Onbekend,2,9,0.222222
