Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die een inburgeringscontract hebben ondertekend naar nationaliteitsgroep,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Procent
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Onbepaalde nationaliteit,511,18345,0.027855
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Derdelander,13777,17998,0.765474
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,EU+ (excl. Nederland),3790,17998,0.210579
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Nederland,91,17998,0.00505612
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Onbepaalde nationaliteit,340,17998,0.018891
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Derdelander,15370,19825,0.775284
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,EU+ (excl. Nederland),4100,19825,0.20681
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Nederland,85,19825,0.00428752
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Onbepaalde nationaliteit,270,19825,0.0136192
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Derdelander,12176,15621,0.779464
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,EU+ (excl. Nederland),3220,15621,0.206133
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Nederland,59,15621,0.00377697
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Onbepaalde nationaliteit,166,15621,0.0106267
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Derdelander,15778,19963,0.790362
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,EU+ (excl. Nederland),3921,19963,0.196413
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Nederland,93,19963,0.00465862
Vlaams Gewest,2000,/,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Onbepaalde nationaliteit,171,19963,0.00856585
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Derdelander,9,12,0.75
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,EU+,3,12,0.25
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Onbepaalde nationaliteit,0,12,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Derdelander,15,18,0.833333
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,EU+,3,18,0.166667
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Onbepaalde nationaliteit,0,18,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Derdelander,17,17,1.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,EU+ (excl. Nederland),0,17,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Nederland,0,17,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Onbepaalde nationaliteit,0,17,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Derdelander,7,12,0.583333
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,EU+ (excl. Nederland),5,12,0.416667
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Nederland,0,12,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Onbepaalde nationaliteit,0,12,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Derdelander,9,10,0.9
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,EU+ (excl. Nederland),0,10,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Nederland,1,10,0.1
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Onbepaalde nationaliteit,0,10,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Derdelander,14,15,0.933333
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,EU+ (excl. Nederland),1,15,0.0666667
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Nederland,0,15,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Onbepaalde nationaliteit,0,15,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Derdelander,12,15,0.8
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,EU+ (excl. Nederland),1,15,0.0666667
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Nederland,0,15,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Onbepaalde nationaliteit,2,15,0.133333
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Derdelander,13,20,0.65
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,EU+ (excl. Nederland),6,20,0.3
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Nederland,0,20,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Onbepaalde nationaliteit,1,20,0.05
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Derdelander,9,14,0.642857
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,EU+ (excl. Nederland),5,14,0.357143
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Nederland,0,14,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Onbepaalde nationaliteit,0,14,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Derdelander,28,29,0.965517
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,EU+ (excl. Nederland),1,29,0.0344828
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Nederland,0,29,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Onbepaalde nationaliteit,0,29,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Derdelander,29,31,0.935484
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,EU+ (excl. Nederland),2,31,0.0645161
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Nederland,0,31,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Onbepaalde nationaliteit,0,31,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Derdelander,30,35,0.857143
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,EU+ (excl. Nederland),5,35,0.142857
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Nederland,0,35,0.0
Aartselaar,11001,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Onbepaalde nationaliteit,0,35,0.0
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Derdelander,3614,4769,0.757811
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,EU+,926,4769,0.194171
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Onbepaalde nationaliteit,229,4769,0.0480185
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Derdelander,4714,6094,0.773548
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,EU+,1263,6094,0.207253
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Onbepaalde nationaliteit,117,6094,0.0191992
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Derdelander,3446,4956,0.695319
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,EU+ (excl. Nederland),1308,4956,0.263923
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Nederland,28,4956,0.00564972
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Onbepaalde nationaliteit,174,4956,0.035109
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Derdelander,2862,4423,0.647072
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,EU+ (excl. Nederland),1505,4423,0.340267
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Nederland,41,4423,0.00926973
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Onbepaalde nationaliteit,15,4423,0.00339136
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Derdelander,2606,4312,0.60436
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,EU+ (excl. Nederland),1474,4312,0.341837
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Nederland,42,4312,0.00974026
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Onbepaalde nationaliteit,190,4312,0.0440631
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Derdelander,3434,4562,0.75274
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,EU+ (excl. Nederland),937,4562,0.205392
Antwerpen,11002,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Nederland,20,4562,0.00438404
