Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die een inburgeringscontract hebben ondertekend naar nationaliteitsgroep,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Procent
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Derdelander,36,45,0.8
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,EU+ (excl. Nederland),8,45,0.177778
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Nederland,1,45,0.0222222
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Onbepaalde nationaliteit,0,45,0.0
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Derdelander,42,49,0.857143
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,EU+ (excl. Nederland),6,49,0.122449
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Nederland,0,49,0.0
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Onbepaalde nationaliteit,1,49,0.0204082
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Derdelander,32,40,0.8
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,EU+ (excl. Nederland),7,40,0.175
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Nederland,1,40,0.025
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Onbepaalde nationaliteit,0,40,0.0
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Derdelander,37,45,0.822222
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,EU+ (excl. Nederland),8,45,0.177778
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Nederland,0,45,0.0
Heist-op-den-Berg,12014,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Onbepaalde nationaliteit,0,45,0.0
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Derdelander,57,64,0.890625
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,EU+,5,64,0.078125
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Onbepaalde nationaliteit,2,64,0.03125
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Derdelander,86,99,0.868687
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,EU+,12,99,0.121212
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Onbepaalde nationaliteit,1,99,0.010101
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Derdelander,70,78,0.897436
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,EU+ (excl. Nederland),6,78,0.0769231
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Nederland,0,78,0.0
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Onbepaalde nationaliteit,2,78,0.025641
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Derdelander,75,100,0.75
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,EU+ (excl. Nederland),24,100,0.24
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Nederland,0,100,0.0
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Onbepaalde nationaliteit,1,100,0.01
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Derdelander,51,83,0.614458
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,EU+ (excl. Nederland),29,83,0.349398
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Nederland,0,83,0.0
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Onbepaalde nationaliteit,3,83,0.0361446
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Derdelander,62,79,0.78481
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,EU+ (excl. Nederland),11,79,0.139241
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Nederland,0,79,0.0
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Onbepaalde nationaliteit,6,79,0.0759494
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Derdelander,124,146,0.849315
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,EU+ (excl. Nederland),19,146,0.130137
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Nederland,0,146,0.0
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Onbepaalde nationaliteit,3,146,0.0205479
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Derdelander,95,116,0.818966
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,EU+ (excl. Nederland),18,116,0.155172
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Nederland,0,116,0.0
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Onbepaalde nationaliteit,3,116,0.0258621
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Derdelander,72,92,0.782609
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,EU+ (excl. Nederland),15,92,0.163043
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Nederland,1,92,0.0108696
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Onbepaalde nationaliteit,4,92,0.0434783
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Derdelander,89,115,0.773913
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,EU+ (excl. Nederland),21,115,0.182609
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Nederland,0,115,0.0
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Onbepaalde nationaliteit,5,115,0.0434783
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Derdelander,55,64,0.859375
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,EU+ (excl. Nederland),8,64,0.125
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Nederland,1,64,0.015625
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Onbepaalde nationaliteit,0,64,0.0
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Derdelander,104,129,0.806202
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,EU+ (excl. Nederland),24,129,0.186047
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Nederland,1,129,0.00775194
Lier,12021,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Onbepaalde nationaliteit,0,129,0.0
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Derdelander,302,330,0.915152
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,EU+,23,330,0.069697
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Onbepaalde nationaliteit,5,330,0.0151515
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Derdelander,314,364,0.862637
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,EU+,47,364,0.129121
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Onbepaalde nationaliteit,3,364,0.00824176
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Derdelander,205,245,0.836735
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,EU+ (excl. Nederland),33,245,0.134694
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Nederland,3,245,0.0122449
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Onbepaalde nationaliteit,4,245,0.0163265
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Derdelander,209,300,0.696667
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,EU+ (excl. Nederland),88,300,0.293333
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Nederland,1,300,0.00333333
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Onbepaalde nationaliteit,2,300,0.00666667
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Derdelander,178,282,0.631206
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,EU+ (excl. Nederland),88,282,0.312057
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Nederland,4,282,0.0141844
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Onbepaalde nationaliteit,12,282,0.0425532
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Derdelander,244,325,0.750769
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,EU+ (excl. Nederland),72,325,0.221538
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Nederland,4,325,0.0123077
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Onbepaalde nationaliteit,5,325,0.0153846
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Derdelander,353,424,0.832547
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,EU+ (excl. Nederland),61,424,0.143868
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Nederland,0,424,0.0
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Onbepaalde nationaliteit,10,424,0.0235849
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Derdelander,238,279,0.853047
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,EU+ (excl. Nederland),37,279,0.132616
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Nederland,1,279,0.00358423
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Onbepaalde nationaliteit,3,279,0.0107527
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Derdelander,221,279,0.792115
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,EU+ (excl. Nederland),53,279,0.189964
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Nederland,0,279,0.0
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Onbepaalde nationaliteit,5,279,0.0179211
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Derdelander,335,387,0.865633
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,EU+ (excl. Nederland),45,387,0.116279
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Nederland,2,387,0.00516796
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Onbepaalde nationaliteit,5,387,0.0129199
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Derdelander,215,242,0.88843
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,EU+ (excl. Nederland),27,242,0.11157
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Nederland,0,242,0.0
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Onbepaalde nationaliteit,0,242,0.0
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Derdelander,323,371,0.87062
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,EU+ (excl. Nederland),45,371,0.121294
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Nederland,2,371,0.00539084
Mechelen,12025,Ja,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Onbepaalde nationaliteit,1,371,0.00269542
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Derdelander,14,15,0.933333
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,EU+,0,15,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Onbepaalde nationaliteit,1,15,0.0666667
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Derdelander,22,25,0.88
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,EU+,3,25,0.12
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Onbepaalde nationaliteit,0,25,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Derdelander,7,8,0.875
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,EU+ (excl. Nederland),0,8,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Nederland,1,8,0.125
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Onbepaalde nationaliteit,0,8,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Derdelander,10,13,0.769231
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,EU+ (excl. Nederland),3,13,0.230769
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Nederland,0,13,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Onbepaalde nationaliteit,0,13,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Derdelander,10,10,1.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,EU+ (excl. Nederland),0,10,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Nederland,0,10,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Onbepaalde nationaliteit,0,10,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Derdelander,12,14,0.857143
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,EU+ (excl. Nederland),2,14,0.142857
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Nederland,0,14,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Onbepaalde nationaliteit,0,14,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Derdelander,8,10,0.8
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,EU+ (excl. Nederland),1,10,0.1
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Nederland,0,10,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Onbepaalde nationaliteit,1,10,0.1
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Derdelander,21,29,0.724138
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,EU+ (excl. Nederland),7,29,0.241379
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Nederland,0,29,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Onbepaalde nationaliteit,1,29,0.0344828
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Derdelander,14,15,0.933333
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,EU+ (excl. Nederland),1,15,0.0666667
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Nederland,0,15,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Onbepaalde nationaliteit,0,15,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Derdelander,11,17,0.647059
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,EU+ (excl. Nederland),5,17,0.294118
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Nederland,0,17,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Onbepaalde nationaliteit,1,17,0.0588235
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Derdelander,10,19,0.526316
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,EU+ (excl. Nederland),8,19,0.421053
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Nederland,0,19,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Onbepaalde nationaliteit,1,19,0.0526316
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Derdelander,4,8,0.5
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,EU+ (excl. Nederland),4,8,0.5
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Nederland,0,8,0.0
Nijlen,12026,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Onbepaalde nationaliteit,0,8,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Derdelander,22,24,0.916667
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,EU+,1,24,0.0416667
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Onbepaalde nationaliteit,1,24,0.0416667
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Derdelander,19,25,0.76
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,EU+,5,25,0.2
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Onbepaalde nationaliteit,1,25,0.04
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Derdelander,19,20,0.95
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,EU+ (excl. Nederland),1,20,0.05
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Nederland,0,20,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Onbepaalde nationaliteit,0,20,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Derdelander,9,13,0.692308
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,EU+ (excl. Nederland),3,13,0.230769
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Nederland,1,13,0.0769231
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Onbepaalde nationaliteit,0,13,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Derdelander,4,8,0.5
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,EU+ (excl. Nederland),3,8,0.375
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Nederland,0,8,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Onbepaalde nationaliteit,1,8,0.125
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Derdelander,14,15,0.933333
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,EU+ (excl. Nederland),1,15,0.0666667
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Nederland,0,15,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Onbepaalde nationaliteit,0,15,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Derdelander,26,26,1.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,EU+ (excl. Nederland),0,26,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Nederland,0,26,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Onbepaalde nationaliteit,0,26,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Derdelander,16,18,0.888889
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,EU+ (excl. Nederland),2,18,0.111111
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Nederland,0,18,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2017,Onbepaalde nationaliteit,0,18,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Derdelander,15,15,1.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,EU+ (excl. Nederland),0,15,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Nederland,0,15,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Onbepaalde nationaliteit,0,15,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Derdelander,12,16,0.75
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,EU+ (excl. Nederland),3,16,0.1875
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Nederland,0,16,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Onbepaalde nationaliteit,1,16,0.0625
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Derdelander,7,10,0.7
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,EU+ (excl. Nederland),3,10,0.3
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Nederland,0,10,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Onbepaalde nationaliteit,0,10,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Derdelander,13,20,0.65
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,EU+ (excl. Nederland),7,20,0.35
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Nederland,0,20,0.0
Putte,12029,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Onbepaalde nationaliteit,0,20,0.0
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Derdelander,20,21,0.952381
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,EU+,1,21,0.047619
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Onbepaalde nationaliteit,0,21,0.0
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Derdelander,25,29,0.862069
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,EU+,3,29,0.103448
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Onbepaalde nationaliteit,1,29,0.0344828
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Derdelander,15,19,0.789474
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,EU+ (excl. Nederland),4,19,0.210526
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Nederland,0,19,0.0
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Onbepaalde nationaliteit,0,19,0.0
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Derdelander,21,35,0.6
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,EU+ (excl. Nederland),14,35,0.4
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Nederland,0,35,0.0
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Onbepaalde nationaliteit,0,35,0.0
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Derdelander,14,30,0.466667
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,EU+ (excl. Nederland),16,30,0.533333
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Nederland,0,30,0.0
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Onbepaalde nationaliteit,0,30,0.0
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Derdelander,21,25,0.84
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,EU+ (excl. Nederland),3,25,0.12
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Nederland,0,25,0.0
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Onbepaalde nationaliteit,1,25,0.04
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Derdelander,29,38,0.763158
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,EU+ (excl. Nederland),8,38,0.210526
Sint-Katelijne-Waver,12035,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Nederland,0,38,0.0
