Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Interne inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2004,19,11953,1.58956
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2005,20,11992,1.66778
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2006,16,12090,1.32341
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2007,35,12149,2.8809
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2008,27,12333,2.18925
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2009,40,12589,3.17738
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2010,42,12749,3.29438
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2011,62,12728,4.87115
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2012,59,12724,4.63691
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2013,80,12774,6.26272
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2014,92,12804,7.18525
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2015,113,12792,8.83365
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2016,117,12844,9.10931
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2017,176,12908,13.63496
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2018,151,13120,11.50915
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2019,123,13266,9.27182
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2020,107,13372,8.00179
Boechout,11004,Nee,Interne inwijking van vreemdelingen,2021,107,13527,7.91011
Boom,11005,Nee,Interne inwijking van vreemdelingen,2000,28,15057,1.8596
Boom,11005,Nee,Interne inwijking van vreemdelingen,2001,47,14986,3.13626
Boom,11005,Nee,Interne inwijking van vreemdelingen,2002,64,15089,4.2415
Boom,11005,Nee,Interne inwijking van vreemdelingen,2003,77,15330,5.02283
Boom,11005,Nee,Interne inwijking van vreemdelingen,2004,72,15567,4.62517
Boom,11005,Nee,Interne inwijking van vreemdelingen,2005,110,15729,6.99345
Boom,11005,Nee,Interne inwijking van vreemdelingen,2006,123,16096,7.64165
Boom,11005,Nee,Interne inwijking van vreemdelingen,2007,102,16326,6.2477
Boom,11005,Nee,Interne inwijking van vreemdelingen,2008,103,16444,6.26368
Boom,11005,Nee,Interne inwijking van vreemdelingen,2009,115,16598,6.92855
Boom,11005,Nee,Interne inwijking van vreemdelingen,2010,160,16709,9.57568
Boom,11005,Nee,Interne inwijking van vreemdelingen,2011,155,16989,9.12355
Boom,11005,Nee,Interne inwijking van vreemdelingen,2012,169,17166,9.84504
Boom,11005,Nee,Interne inwijking van vreemdelingen,2013,169,17227,9.81018
Boom,11005,Nee,Interne inwijking van vreemdelingen,2014,222,17231,12.88376
Boom,11005,Nee,Interne inwijking van vreemdelingen,2015,191,17559,10.87761
Boom,11005,Nee,Interne inwijking van vreemdelingen,2016,228,17737,12.85448
Boom,11005,Nee,Interne inwijking van vreemdelingen,2017,268,17788,15.06634
Boom,11005,Nee,Interne inwijking van vreemdelingen,2018,266,17970,14.80245
Boom,11005,Nee,Interne inwijking van vreemdelingen,2019,285,18244,15.62157
Boom,11005,Nee,Interne inwijking van vreemdelingen,2020,253,18555,13.63514
Boom,11005,Nee,Interne inwijking van vreemdelingen,2021,298,18799,15.85191
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2000,27,10373,2.60291
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2001,24,10295,2.33123
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2002,44,10278,4.28099
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2003,49,10298,4.75821
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2004,45,10304,4.36724
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2005,47,10304,4.56134
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2006,60,10257,5.84966
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2007,66,10224,6.4554
Borsbeek,11007,Nee,Interne inwijking van vreemdelingen,2008,95,10125,9.38272
