Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Interne inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2008,278,34518,8.05377
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2009,291,34854,8.34911
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2010,318,35169,9.04205
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2011,364,35443,10.27001
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2012,404,35810,11.28176
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2013,390,36188,10.77705
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2014,349,36524,9.55536
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2015,507,36558,13.86837
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2016,456,36742,12.41086
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2017,472,37030,12.74642
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2018,568,37355,15.20546
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2019,529,37542,14.09088
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2020,498,37972,13.11493
Grimbergen,23025,Nee,Interne inwijking van vreemdelingen,2021,488,38314,12.73686
Halle,23027,Nee,Interne inwijking van vreemdelingen,2000,124,33655,3.68445
Halle,23027,Nee,Interne inwijking van vreemdelingen,2001,136,33744,4.03035
Halle,23027,Nee,Interne inwijking van vreemdelingen,2002,131,33939,3.85987
Halle,23027,Nee,Interne inwijking van vreemdelingen,2003,104,34124,3.04771
Halle,23027,Nee,Interne inwijking van vreemdelingen,2004,155,34316,4.51684
Halle,23027,Nee,Interne inwijking van vreemdelingen,2005,129,34679,3.71983
Halle,23027,Nee,Interne inwijking van vreemdelingen,2006,183,34882,5.24626
Halle,23027,Nee,Interne inwijking van vreemdelingen,2007,167,35108,4.75675
Halle,23027,Nee,Interne inwijking van vreemdelingen,2008,229,35354,6.47734
Halle,23027,Nee,Interne inwijking van vreemdelingen,2009,253,35691,7.08862
Halle,23027,Nee,Interne inwijking van vreemdelingen,2010,257,36000,7.13889
Halle,23027,Nee,Interne inwijking van vreemdelingen,2011,282,36277,7.77352
Halle,23027,Nee,Interne inwijking van vreemdelingen,2012,248,36852,6.72962
Halle,23027,Nee,Interne inwijking van vreemdelingen,2013,300,37104,8.08538
Halle,23027,Nee,Interne inwijking van vreemdelingen,2014,324,37453,8.65084
Halle,23027,Nee,Interne inwijking van vreemdelingen,2015,269,38023,7.07467
Halle,23027,Nee,Interne inwijking van vreemdelingen,2016,336,38289,8.77537
Halle,23027,Nee,Interne inwijking van vreemdelingen,2017,326,38680,8.42813
Halle,23027,Nee,Interne inwijking van vreemdelingen,2018,435,39096,11.12646
Halle,23027,Nee,Interne inwijking van vreemdelingen,2019,431,39540,10.90035
Halle,23027,Nee,Interne inwijking van vreemdelingen,2020,402,40182,10.00448
Halle,23027,Nee,Interne inwijking van vreemdelingen,2021,429,40656,10.55195
Herne,23032,Nee,Interne inwijking van vreemdelingen,2000,6,6372,0.94162
Herne,23032,Nee,Interne inwijking van vreemdelingen,2001,8,6318,1.26622
Herne,23032,Nee,Interne inwijking van vreemdelingen,2002,11,6327,1.73858
Herne,23032,Nee,Interne inwijking van vreemdelingen,2003,6,6372,0.94162
Herne,23032,Nee,Interne inwijking van vreemdelingen,2004,8,6390,1.25196
Herne,23032,Nee,Interne inwijking van vreemdelingen,2005,8,6431,1.24397
Herne,23032,Nee,Interne inwijking van vreemdelingen,2006,9,6407,1.40471
Herne,23032,Nee,Interne inwijking van vreemdelingen,2007,12,6483,1.85099
Herne,23032,Nee,Interne inwijking van vreemdelingen,2008,19,6562,2.89546
Herne,23032,Nee,Interne inwijking van vreemdelingen,2009,8,6597,1.21267
Herne,23032,Nee,Interne inwijking van vreemdelingen,2010,24,6573,3.6513
Herne,23032,Nee,Interne inwijking van vreemdelingen,2011,6,6618,0.90662
Herne,23032,Nee,Interne inwijking van vreemdelingen,2012,28,6572,4.2605
Herne,23032,Nee,Interne inwijking van vreemdelingen,2013,17,6560,2.59146
Herne,23032,Nee,Interne inwijking van vreemdelingen,2014,34,6565,5.17898
Herne,23032,Nee,Interne inwijking van vreemdelingen,2015,19,6612,2.87356
Herne,23032,Nee,Interne inwijking van vreemdelingen,2016,29,6617,4.38265
Herne,23032,Nee,Interne inwijking van vreemdelingen,2017,10,6592,1.51699
Herne,23032,Nee,Interne inwijking van vreemdelingen,2018,25,6643,3.76336
Herne,23032,Nee,Interne inwijking van vreemdelingen,2019,47,6665,7.05176
Herne,23032,Nee,Interne inwijking van vreemdelingen,2020,29,6699,4.329
Herne,23032,Nee,Interne inwijking van vreemdelingen,2021,28,6706,4.17537
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2000,80,9783,8.17745
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2001,87,9839,8.84236
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2002,140,9939,14.08592
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2003,101,10051,10.04875
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2004,127,9977,12.72928
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2005,97,10094,9.60967
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2006,101,10074,10.02581
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2007,124,10040,12.3506
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2008,89,10245,8.68716
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2009,138,10215,13.50954
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2010,194,10298,18.83861
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2011,152,10419,14.58873
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2012,154,10539,14.61239
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2013,154,10545,14.60408
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2014,147,10630,13.82879
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2015,144,10796,13.33827
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2016,196,10915,17.95694
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2017,179,11104,16.12032
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2018,172,11172,15.39563
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2019,119,11321,10.51144
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2020,180,11408,15.7784
Hoeilaart,23033,Nee,Interne inwijking van vreemdelingen,2021,136,11509,11.81684
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2000,23,10732,2.14312
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2001,20,10829,1.84689
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2002,37,10809,3.42307
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2003,20,10802,1.85151
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2004,33,10857,3.03951
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2005,24,10937,2.19439
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2006,17,10956,1.55166
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2007,38,11060,3.4358
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2008,37,11090,3.33634
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2009,22,11174,1.96886
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2010,28,11222,2.4951
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2011,41,11243,3.64671
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2012,63,11316,5.56734
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2013,55,11470,4.79512
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2014,49,11517,4.25458
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2015,53,11597,4.57015
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2016,69,11689,5.90299
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2017,88,11768,7.47791
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2018,77,11898,6.47168
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2019,88,11972,7.35048
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2020,80,12129,6.59576
Kampenhout,23038,Nee,Interne inwijking van vreemdelingen,2021,80,12280,6.51466
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2000,12,8783,1.36628
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2001,8,8732,0.91617
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2002,15,8788,1.70687
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2003,9,8813,1.02122
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2004,12,8851,1.35578
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2005,15,8872,1.69071
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2006,12,8904,1.34771
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2007,10,8916,1.12158
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2008,15,8970,1.67224
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2009,23,8911,2.58108
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2010,15,9027,1.66168
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2011,46,9083,5.06441
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2012,47,9161,5.13044
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2013,26,9244,2.81264
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2014,38,9200,4.13043
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2015,49,9316,5.25977
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2016,70,9370,7.47065
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2017,78,9382,8.31379
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2018,54,9396,5.74713
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2019,64,9413,6.79911
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2020,39,9501,4.10483
Kapelle-op-den-Bos,23039,Nee,Interne inwijking van vreemdelingen,2021,61,9524,6.40487
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2000,13,11800,1.10169
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2001,30,11778,2.54712
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2002,24,11811,2.032
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2003,24,11869,2.02207
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2004,50,11880,4.20875
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2005,65,11932,5.44754
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2006,70,11920,5.87248
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2007,80,12119,6.6012
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2008,61,12210,4.9959
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2009,71,12214,5.813
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2010,85,12354,6.88036
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2011,110,12526,8.78173
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2012,99,12646,7.82856
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2013,83,12643,6.5649
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2014,130,12818,10.14199
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2015,96,12902,7.44071
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2016,134,12919,10.37232
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2017,112,13103,8.54766
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2018,141,13188,10.69154
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2019,130,13295,9.77811
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2020,147,13397,10.97261
Liedekerke,23044,Nee,Interne inwijking van vreemdelingen,2021,150,13482,11.12595
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2000,14,17153,0.81618
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2001,14,17166,0.81557
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2002,30,17137,1.7506
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2003,19,17185,1.10562
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2004,22,17305,1.27131
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2005,17,17340,0.98039
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2006,31,17435,1.77803
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2007,45,17452,2.5785
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2008,40,17525,2.28245
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2009,37,17620,2.09989
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2010,68,17655,3.8516
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2011,63,17778,3.54371
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2012,85,17869,4.75684
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2013,76,17976,4.22786
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2014,103,18055,5.70479
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2015,114,18233,6.2524
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2016,108,18274,5.91004
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2017,129,18385,7.01659
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2018,115,18620,6.17615
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2019,128,18749,6.82703
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2020,139,18861,7.3697
Londerzeel,23045,Nee,Interne inwijking van vreemdelingen,2021,130,19016,6.83635
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2000,73,11838,6.16658
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2001,99,11901,8.31863
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2002,95,11972,7.93518
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2003,99,12067,8.20419
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2004,152,12111,12.55057
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2005,121,12384,9.77067
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2006,173,12500,13.84
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2007,168,12792,13.13321
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2008,166,12953,12.81556
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2009,178,13214,13.47056
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2010,194,13330,14.55364
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2011,256,13566,18.87071
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2012,196,13738,14.267
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2013,217,13987,15.51441
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2014,241,14271,16.88739
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2015,234,14454,16.18929
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2016,230,14764,15.57843
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2017,238,15135,15.72514
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2018,223,15417,14.46455
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2019,251,15469,16.226
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2020,268,15605,17.17398
Machelen,23047,Nee,Interne inwijking van vreemdelingen,2021,268,15895,16.86065
Meise,23050,Nee,Interne inwijking van vreemdelingen,2000,45,18347,2.45272
Meise,23050,Nee,Interne inwijking van vreemdelingen,2001,56,18390,3.04513
Meise,23050,Nee,Interne inwijking van vreemdelingen,2002,39,18471,2.11142
Meise,23050,Nee,Interne inwijking van vreemdelingen,2003,55,18482,2.97587
Meise,23050,Nee,Interne inwijking van vreemdelingen,2004,66,18427,3.5817
Meise,23050,Nee,Interne inwijking van vreemdelingen,2005,92,18509,4.97055
Meise,23050,Nee,Interne inwijking van vreemdelingen,2006,69,18464,3.737
Meise,23050,Nee,Interne inwijking van vreemdelingen,2007,68,18545,3.66676
Meise,23050,Nee,Interne inwijking van vreemdelingen,2008,92,18466,4.98213
Meise,23050,Nee,Interne inwijking van vreemdelingen,2009,110,18378,5.98542
Meise,23050,Nee,Interne inwijking van vreemdelingen,2010,137,18382,7.45294
Meise,23050,Nee,Interne inwijking van vreemdelingen,2011,129,18338,7.03457
Meise,23050,Nee,Interne inwijking van vreemdelingen,2012,141,18418,7.65555
Meise,23050,Nee,Interne inwijking van vreemdelingen,2013,122,18417,6.62431
Meise,23050,Nee,Interne inwijking van vreemdelingen,2014,125,18569,6.73165
Meise,23050,Nee,Interne inwijking van vreemdelingen,2015,161,18612,8.65033
Meise,23050,Nee,Interne inwijking van vreemdelingen,2016,153,18742,8.16348
Meise,23050,Nee,Interne inwijking van vreemdelingen,2017,176,18925,9.29987
Meise,23050,Nee,Interne inwijking van vreemdelingen,2018,224,19164,11.68858
Meise,23050,Nee,Interne inwijking van vreemdelingen,2019,181,19411,9.32461
Meise,23050,Nee,Interne inwijking van vreemdelingen,2020,231,19627,11.7695
Meise,23050,Nee,Interne inwijking van vreemdelingen,2021,197,19790,9.95452
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2000,14,14250,0.98246
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2001,19,14254,1.33296
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2002,32,14321,2.23448
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2003,36,14436,2.49377
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2004,52,14551,3.57364
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2005,37,14663,2.52336
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2006,52,14838,3.50452
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2007,58,15053,3.85305
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2008,69,15104,4.56833
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2009,72,15140,4.75561
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2010,74,15341,4.82368
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2011,108,15558,6.94177
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2012,109,15693,6.94577
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2013,100,15866,6.30279
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2014,118,15900,7.42138
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2015,98,15920,6.15578
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2016,126,16083,7.83436
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2017,148,16100,9.19255
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2018,125,16294,7.67154
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2019,112,16583,6.7539
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2020,160,16766,9.54312
Merchtem,23052,Nee,Interne inwijking van vreemdelingen,2021,145,17154,8.45284
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2000,8,11718,0.68271
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2001,2,11831,0.16905
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2002,19,11759,1.61578
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2003,14,11856,1.18084
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2004,22,11986,1.83547
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2005,21,12079,1.73855
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2006,34,12239,2.778
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2007,26,12393,2.09796
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2008,48,12578,3.81619
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2009,51,13004,3.92187
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2010,54,13270,4.06933
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2011,63,13450,4.68401
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2012,96,13679,7.01806
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2013,63,13985,4.50483
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2014,72,13975,5.15206
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2015,116,14140,8.20368
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2016,110,14208,7.74212
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2017,117,14356,8.1499
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2018,126,14378,8.76339
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2019,131,14547,9.00529
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2020,133,14746,9.0194
Opwijk,23060,Nee,Interne inwijking van vreemdelingen,2021,107,14793,7.23315
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2000,285,23738,12.00607
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2001,239,23846,10.02265
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2002,291,23864,12.1941
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2003,289,23739,12.17406
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2004,291,23955,12.14778
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2005,240,24084,9.96512
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2006,300,24067,12.4652
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2007,269,24164,11.13226
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2008,265,24368,10.87492
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2009,288,24401,11.80279
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2010,333,24430,13.63078
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2011,282,24517,11.50222
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2012,323,24716,13.06846
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2013,313,24704,12.67001
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2014,352,24643,14.28398
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2015,314,24774,12.67458
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2016,356,24959,14.26339
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2017,401,25024,16.02462
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2018,352,25169,13.98546
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2019,384,25403,15.11632
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2020,359,25497,14.08009
Overijse,23062,Nee,Interne inwijking van vreemdelingen,2021,378,25655,14.73397
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2000,5,4247,1.1773
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2001,7,4257,1.64435
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2002,6,4289,1.39893
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2003,5,4280,1.16822
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2004,5,4331,1.15447
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2005,5,4347,1.15022
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2006,11,4352,2.52757
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2007,4,4357,0.91806
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2008,9,4401,2.04499
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2009,1,4391,0.22774
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2010,14,4390,3.18907
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2011,0,4445,0.0
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2012,9,4417,2.03758
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2013,11,4436,2.47971
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2014,6,4374,1.37174
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2015,18,4402,4.08905
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2016,15,4424,3.3906
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2017,25,4409,5.67022
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2018,29,4372,6.63312
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2019,28,4479,6.2514
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2020,20,4537,4.4082
Pepingen,23064,Nee,Interne inwijking van vreemdelingen,2021,35,4499,7.77951
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2000,180,30013,5.9974
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2001,211,30054,7.0207
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2002,241,30186,7.98383
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2003,258,30277,8.52132
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2004,304,30485,9.97212
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2005,281,30637,9.17192
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2006,358,30846,11.60604
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2007,334,30929,10.79893
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2008,367,31119,11.79344
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2009,365,31352,11.642
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2010,442,31572,13.99975
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2011,455,31868,14.27765
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2012,463,32246,14.35837
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2013,533,32677,16.31117
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2014,428,32933,12.99608
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2015,530,33270,15.93027
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2016,520,33512,15.51683
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2017,557,33758,16.49979
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2018,489,34038,14.3663
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2019,541,34228,15.80577
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2020,518,34621,14.96202
Sint-Pieters-Leeuw,23077,Nee,Interne inwijking van vreemdelingen,2021,635,35061,18.11129
Steenokkerzeel,23081,Nee,Interne inwijking van vreemdelingen,2000,29,10419,2.78338
Steenokkerzeel,23081,Nee,Interne inwijking van vreemdelingen,2001,23,10535,2.1832
