Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Statuut,Aantal meerderjarige nieuwkomers naar statuut,Aantal meerderjarige nieuwkomers,Procent
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2013,Overig statuut,4538,31913,0.1422
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2014,Arbeidsmigrant,6201,33387,0.18573
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2014,Asielzoeker/erkend vluchtel.,1643,33387,0.04921
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2014,EU+ student,1221,33387,0.03657
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2014,EU-onderdaan onbekende reden,13339,33387,0.39953
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2014,Geregulariseerd,179,33387,0.00536
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2014,Gezinshereniger,7594,33387,0.22745
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2014,Overig statuut,3210,33387,0.09615
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2015,Arbeidsmigrant,9903,34914,0.28364
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2015,Asielzoeker/erkend vluchtel.,5961,34914,0.17073
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2015,EU+ student,1631,34914,0.04671
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2015,EU+ voldoende bestaansmidd.,1631,34914,0.04671
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2015,EU-onderdaan onbekende reden,6483,34914,0.18568
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2015,Gezinshereniger,8583,34914,0.24583
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2015,Onbepaald statuut,722,34914,0.02068
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2016,Arbeidsmigrant,12273,52025,0.23591
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2016,Asielzoeker/erkend vluchtel.,11314,52025,0.21747
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2016,EU+ student,1722,52025,0.0331
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2016,EU+ voldoende bestaansmidd.,1996,52025,0.03837
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2016,EU-onderdaan onbekende reden,6396,52025,0.12294
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2016,Gezinshereniger,11219,52025,0.21565
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2016,Onbepaald statuut,2738,52025,0.05263
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2016,Overig statuut,4367,52025,0.08394
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2017,Arbeidsmigrant,12124,43335,0.27977
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2017,Asielzoeker/erkend vluchtel.,4887,43335,0.11277
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar statuut",2017,EU+ student,2282,43335,0.05266
