Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal huurders,Aantal inwoners per nationaliteitsgroep,Procent
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,Niet-EU,11,205,0.0536585
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,België,63,16306,0.00386361
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,EU (zonder België),4,1796,0.00222717
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,Niet-EU,11,234,0.0470085
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,België,55,16446,0.00334428
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,EU (zonder België),5,1775,0.0028169
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2017,Niet-EU,11,269,0.0408922
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,België,55,16594,0.00331445
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,EU (zonder België),5,1750,0.00285714
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2018,Niet-EU,11,264,0.0416667
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,België,52,16713,0.00311135
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,EU (zonder België),6,1717,0.00349447
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2019,Niet-EU,11,265,0.0415094
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,België,59,16900,0.00349112
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,EU (zonder België),6,1709,0.00351083
Kalmthout,11022,Nee,"Huurders van sociale woningen, naar nationaliteit",2020,Niet-EU,5,263,0.0190114
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,België,33,24199,0.00136369
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,EU (zonder België),0,2013,0.0
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2013,Niet-EU,2,294,0.00680272
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,België,33,24254,0.0013606
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,EU (zonder België),1,1997,0.000500751
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2014,Niet-EU,2,289,0.00692042
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,België,32,24372,0.00131298
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,EU (zonder België),2,1990,0.00100503
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2015,Niet-EU,2,340,0.00588235
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,België,34,24339,0.00139693
Kapellen,11023,Nee,"Huurders van sociale woningen, naar nationaliteit",2016,EU (zonder België),2,2002,0.000999001
