Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal leerlingen in het deeltijds beroepssecundair onderwijs, wonend in de gemeente, naar thuistaal","Aantal leerlingen in gewoon secundair onderwijs, wonend in de gemeente",Procent
Vlaams Gewest,2000,/,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Onbekend,195,8180,0.0238386
Vlaams Gewest,2000,/,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,5728,8340,0.686811
Vlaams Gewest,2000,/,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,2451,8340,0.293885
Vlaams Gewest,2000,/,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Onbekend,161,8340,0.0193046
Vlaams Gewest,2000,/,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,5627,8366,0.672603
Vlaams Gewest,2000,/,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,2601,8366,0.310901
Vlaams Gewest,2000,/,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Onbekend,138,8366,0.0164953
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Nederlands,12,13,0.923077
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Niet Nederlands,1,13,0.0769231
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Onbekend,0,13,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Nederlands,16,16,1.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Niet Nederlands,0,16,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2013,Onbekend,0,16,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,23,23,1.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,0,23,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2014,Onbekend,0,23,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,21,21,1.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,0,21,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2015,Onbekend,0,21,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,16,16,1.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,0,16,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2016,Onbekend,0,16,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,17,18,0.944444
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,0,18,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2017,Onbekend,1,18,0.0555556
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,6,6,1.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,0,6,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2018,Onbekend,0,6,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,5,5,1.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,0,5,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2019,Onbekend,0,5,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,11,12,0.916667
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,1,12,0.0833333
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2020,Onbekend,0,12,0.0
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,13,14,0.928571
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,1,14,0.0714286
Aartselaar,11001,Nee,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2021,Onbekend,0,14,0.0
Antwerpen,11002,Ja,"Leerlingen deeltijds beroepsonderwijs, naar woonplaats, naar thuistaal",2012,Nederlands,785,1432,0.548184
