Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal jongeren die niet meer leerplichtig zijn en Vlaams secundair onderwijs verlaten zonder kwalificatie, wonend in de gemeente, naar thuistaal",Aantal vroegtijdige schoolverlaters en aantal leerlingen dat wel kwalificatie heeft gehaald,Procent
Aartselaar,11001,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Nederlands,8,143,0.0559441
Aartselaar,11001,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Niet Nederlands,4,15,0.266667
Aartselaar,11001,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Nederlands,9,133,0.0676692
Aartselaar,11001,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Niet Nederlands,3,8,0.375
Aartselaar,11001,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Nederlands,5,137,0.0364964
Aartselaar,11001,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Niet Nederlands,2,12,0.166667
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Nederlands,679,3381,0.200828
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Niet Nederlands,450,1278,0.352113
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Nederlands,638,3219,0.198198
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Niet Nederlands,433,1279,0.338546
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Nederlands,591,3188,0.185383
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Niet Nederlands,443,1251,0.354117
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Nederlands,590,3166,0.186355
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Niet Nederlands,417,1343,0.310499
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Nederlands,561,3079,0.182202
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Niet Nederlands,413,1394,0.29627
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2015,Nederlands,556,3101,0.179297
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2015,Niet Nederlands,346,1374,0.25182
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2016,Nederlands,565,3284,0.172046
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2016,Niet Nederlands,404,1503,0.268796
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Nederlands,579,3142,0.184278
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Niet Nederlands,398,1485,0.268013
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Nederlands,565,3145,0.17965
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Niet Nederlands,411,1592,0.258166
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Nederlands,582,3078,0.189084
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Niet Nederlands,467,1721,0.271354
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Nederlands,439,3002,0.146236
Antwerpen,11002,Ja,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Niet Nederlands,332,1571,0.21133
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Nederlands,15,166,0.0903614
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Niet Nederlands,3,9,0.333333
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Nederlands,9,164,0.054878
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Niet Nederlands,1,5,0.2
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Nederlands,15,182,0.0824176
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Niet Nederlands,2,11,0.181818
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Nederlands,12,146,0.0821918
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Niet Nederlands,2,6,0.333333
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Nederlands,15,149,0.100671
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Niet Nederlands,2,7,0.285714
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2015,Nederlands,10,172,0.0581395
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2015,Niet Nederlands,0,4,0.0
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2016,Nederlands,17,164,0.103659
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2016,Niet Nederlands,0,8,0.0
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Nederlands,7,145,0.0482759
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Niet Nederlands,0,7,0.0
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Nederlands,11,160,0.06875
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Niet Nederlands,1,7,0.142857
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Nederlands,10,129,0.0775194
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Niet Nederlands,2,7,0.285714
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Nederlands,10,144,0.0694444
Boechout,11004,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Niet Nederlands,2,8,0.25
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Nederlands,17,146,0.116438
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Niet Nederlands,8,24,0.333333
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Nederlands,12,122,0.0983607
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Niet Nederlands,10,23,0.434783
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Nederlands,31,168,0.184524
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Niet Nederlands,7,26,0.269231
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Nederlands,24,150,0.16
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Niet Nederlands,9,23,0.391304
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Nederlands,14,159,0.0880503
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Niet Nederlands,6,15,0.4
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2015,Nederlands,18,154,0.116883
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2015,Niet Nederlands,7,26,0.269231
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2016,Nederlands,20,166,0.120482
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2016,Niet Nederlands,10,33,0.30303
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Nederlands,15,148,0.101351
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Niet Nederlands,9,29,0.310345
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Nederlands,18,146,0.123288
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Niet Nederlands,12,36,0.333333
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Nederlands,29,164,0.176829
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Niet Nederlands,8,40,0.2
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Nederlands,15,130,0.115385
Boom,11005,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Niet Nederlands,10,38,0.263158
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Nederlands,12,115,0.104348
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Niet Nederlands,1,5,0.2
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Nederlands,9,77,0.116883
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Niet Nederlands,4,10,0.4
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Nederlands,7,92,0.076087
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Niet Nederlands,1,4,0.25
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Nederlands,11,86,0.127907
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Niet Nederlands,3,5,0.6
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Nederlands,12,92,0.130435
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Niet Nederlands,1,5,0.2
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2015,Nederlands,4,92,0.0434783
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2015,Niet Nederlands,2,7,0.285714
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2016,Nederlands,7,74,0.0945946
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2016,Niet Nederlands,4,11,0.363636
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Nederlands,16,92,0.173913
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Niet Nederlands,2,13,0.153846
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Nederlands,10,78,0.128205
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Niet Nederlands,1,13,0.0769231
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Nederlands,12,81,0.148148
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Niet Nederlands,6,17,0.352941
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Nederlands,11,70,0.157143
Borsbeek,11007,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Niet Nederlands,2,16,0.125
Brasschaat,11008,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Nederlands,34,411,0.0827251
Brasschaat,11008,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Niet Nederlands,2,8,0.25
Brasschaat,11008,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Nederlands,32,418,0.076555
Brasschaat,11008,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2011,Niet Nederlands,1,11,0.0909091
Brasschaat,11008,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Nederlands,39,416,0.09375
Brasschaat,11008,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2012,Niet Nederlands,3,18,0.166667
Brasschaat,11008,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Nederlands,29,395,0.0734177
Brasschaat,11008,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2013,Niet Nederlands,2,14,0.142857
Brasschaat,11008,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Nederlands,29,407,0.0712531
Brasschaat,11008,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2014,Niet Nederlands,3,20,0.15
