Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Leeftijd,Aantal meerderjarige nieuwkomers naar leeftijdsgroep,Aantal meerderjarige nieuwkomers,Procent
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2010,18-65 jaar          ,40087,40834,0.981706
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2010,65 jaar en ouder    ,747,40834,0.0182936
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2011,18-65 jaar          ,40217,40861,0.984239
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2011,65 jaar en ouder    ,644,40861,0.0157607
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,36345,36739,0.989276
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,394,36739,0.0107243
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,31732,32150,0.986998
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,418,32150,0.0130016
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,21687,33889,0.639942
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,9449,33889,0.278822
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,2303,33889,0.0679572
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,450,33889,0.0132786
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,23479,36391,0.645187
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,9991,36391,0.274546
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,2425,36391,0.0666374
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,496,36391,0.0136297
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,34586,52025,0.664796
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,13273,52025,0.255127
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,3366,52025,0.0646997
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,800,52025,0.0153772
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,28300,43397,0.652119
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,11417,43397,0.263083
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,2971,43397,0.068461
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,709,43397,0.0163375
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,29542,45672,0.64683
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,12054,45672,0.263925
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,3348,45672,0.0733053
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,728,45672,0.0159397
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2019,18-34 jaar          ,33396,51746,0.645383
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2019,35-49 jaar          ,13746,51746,0.265644
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2019,50-64 jaar          ,3817,51746,0.0737642
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2019,65 jaar en ouder    ,787,51746,0.0152089
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2020,18-34 jaar          ,26447,41993,0.629795
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2020,35-49 jaar          ,11607,41993,0.276403
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2020,50-64 jaar          ,3280,41993,0.0781083
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2020,65 jaar en ouder    ,659,41993,0.0156931
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2021,18-34 jaar          ,25465,39096,0.651345
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2021,35-49 jaar          ,10244,39096,0.262022
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2021,50-64 jaar          ,2621,39096,0.0670401
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar leeftijd",2021,65 jaar en ouder    ,766,39096,0.0195928
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,18-65 jaar          ,45,46,0.978261
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,65 jaar en ouder    ,1,46,0.0217391
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,18-65 jaar          ,31,31,1.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,65 jaar en ouder    ,0,31,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,33,33,1.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,0,33,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,41,41,1.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,0,41,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,22,35,0.628571
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,11,35,0.314286
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,1,35,0.0285714
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,1,35,0.0285714
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,24,44,0.545455
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,17,44,0.386364
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,1,44,0.0227273
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,2,44,0.0454545
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,29,52,0.557692
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,15,52,0.288462
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,8,52,0.153846
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,0,52,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,27,49,0.55102
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,19,49,0.387755
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,3,49,0.0612245
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,0,49,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,26,57,0.45614
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,25,57,0.438596
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,6,57,0.105263
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,0,57,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,18-34 jaar          ,34,76,0.447368
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,35-49 jaar          ,33,76,0.434211
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,50-64 jaar          ,9,76,0.118421
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,65 jaar en ouder    ,0,76,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,18-34 jaar          ,28,66,0.424242
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,35-49 jaar          ,33,66,0.5
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,50-64 jaar          ,5,66,0.0757576
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,65 jaar en ouder    ,0,66,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,18-34 jaar          ,31,70,0.442857
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,35-49 jaar          ,32,70,0.457143
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,50-64 jaar          ,6,70,0.0857143
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,65 jaar en ouder    ,1,70,0.0142857
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2010,18-65 jaar          ,9805,9915,0.988906
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2010,65 jaar en ouder    ,110,9915,0.0110943
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2011,18-65 jaar          ,10182,10299,0.98864
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2011,65 jaar en ouder    ,117,10299,0.0113603
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,8731,8816,0.990358
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,85,8816,0.00964156
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,6712,6789,0.988658
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,77,6789,0.0113419
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,4511,7054,0.639495
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,1992,7054,0.282393
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,470,7054,0.0666289
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,81,7054,0.0114828
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,4937,7656,0.644854
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,2089,7656,0.272858
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,533,7656,0.0696186
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,97,7656,0.0126698
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,6218,9423,0.659875
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,2415,9423,0.256288
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,666,9423,0.0706781
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,124,9423,0.0131593
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,5160,7817,0.6601
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,2060,7817,0.263528
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,498,7817,0.0637073
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,99,7817,0.0126647
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,4928,7630,0.645872
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,2037,7630,0.266972
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,560,7630,0.0733945
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,105,7630,0.0137615
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2019,18-34 jaar          ,5886,9240,0.637013
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2019,35-49 jaar          ,2499,9240,0.270455
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2019,50-64 jaar          ,721,9240,0.0780303
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2019,65 jaar en ouder    ,134,9240,0.0145022
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2020,18-34 jaar          ,4469,7018,0.636791
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2020,35-49 jaar          ,1937,7018,0.276005
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2020,50-64 jaar          ,535,7018,0.0762325
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2020,65 jaar en ouder    ,77,7018,0.0109718
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2021,18-34 jaar          ,3973,6194,0.641427
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2021,35-49 jaar          ,1733,6194,0.279787
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2021,50-64 jaar          ,412,6194,0.066516
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar leeftijd",2021,65 jaar en ouder    ,76,6194,0.0122699
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,18-65 jaar          ,41,41,1.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,65 jaar en ouder    ,0,41,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,18-65 jaar          ,26,26,1.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,65 jaar en ouder    ,0,26,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,27,27,1.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,0,27,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,25,25,1.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,0,25,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,16,33,0.484848
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,14,33,0.424242
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,3,33,0.0909091
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,0,33,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,18,32,0.5625
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,9,32,0.28125
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,5,32,0.15625
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,0,32,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,29,37,0.783784
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,7,37,0.189189
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,1,37,0.027027
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,0,37,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,17,44,0.386364
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,23,44,0.522727
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,3,44,0.0681818
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,1,44,0.0227273
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,23,41,0.560976
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,17,41,0.414634
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,1,41,0.0243902
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,0,41,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,18-34 jaar          ,30,48,0.625
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,35-49 jaar          ,11,48,0.229167
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,50-64 jaar          ,4,48,0.0833333
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,65 jaar en ouder    ,3,48,0.0625
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,18-34 jaar          ,18,30,0.6
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,35-49 jaar          ,8,30,0.266667
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,50-64 jaar          ,4,30,0.133333
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,65 jaar en ouder    ,0,30,0.0
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,18-34 jaar          ,17,26,0.653846
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,35-49 jaar          ,3,26,0.115385
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,50-64 jaar          ,5,26,0.192308
Boechout,11004,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2021,65 jaar en ouder    ,1,26,0.0384615
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,18-65 jaar          ,119,122,0.97541
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2010,65 jaar en ouder    ,3,122,0.0245902
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,18-65 jaar          ,137,141,0.971631
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2011,65 jaar en ouder    ,4,141,0.0283688
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,18-65 jaar          ,86,86,1.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2012,65 jaar en ouder    ,0,86,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,18-65 jaar          ,68,68,1.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2013,65 jaar en ouder    ,0,68,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,18-34 jaar          ,43,70,0.614286
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,35-49 jaar          ,21,70,0.3
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,50-64 jaar          ,6,70,0.0857143
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2014,65 jaar en ouder    ,0,70,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,18-34 jaar          ,52,79,0.658228
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,35-49 jaar          ,20,79,0.253165
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,50-64 jaar          ,7,79,0.0886076
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2015,65 jaar en ouder    ,0,79,0.0
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,18-34 jaar          ,57,104,0.548077
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,35-49 jaar          ,34,104,0.326923
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,50-64 jaar          ,10,104,0.0961538
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2016,65 jaar en ouder    ,3,104,0.0288462
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,18-34 jaar          ,68,107,0.635514
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,35-49 jaar          ,27,107,0.252336
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,50-64 jaar          ,9,107,0.0841121
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2017,65 jaar en ouder    ,3,107,0.0280374
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,18-34 jaar          ,61,117,0.521368
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,35-49 jaar          ,43,117,0.367521
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,50-64 jaar          ,12,117,0.102564
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2018,65 jaar en ouder    ,1,117,0.00854701
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,18-34 jaar          ,68,123,0.552846
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,35-49 jaar          ,41,123,0.333333
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,50-64 jaar          ,13,123,0.105691
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2019,65 jaar en ouder    ,1,123,0.00813008
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,18-34 jaar          ,69,115,0.6
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,35-49 jaar          ,39,115,0.33913
Boom,11005,Nee,"Meerderjarige nieuwkomers, naar leeftijd",2020,50-64 jaar          ,4,115,0.0347826
