Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Migratiesaldo,Aantal inwoners,Verhouding per 1000 inwoners
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2000,13525,5940251,2.27683981703803
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2001,17896,5952552,3.00644160689398
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2002,20471,5972781,3.42738165018942
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2003,20210,5995553,3.37083168141454
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2004,20795,6016024,3.45660190185412
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2005,22182,6043161,3.67059557076173
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2006,25195,6078600,4.14486888428257
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2007,30168,6117440,4.93147460375582
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2008,32573,6161438,5.28659056538425
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2009,29051,6208877,4.67894596720148
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2010,34446,6251983,5.50961191033309
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2011,38257,6306638,6.06614808079994
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2012,34271,6350765,5.39635776162399
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2013,32486,6381859,5.09036630235798
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2014,34552,6410705,5.38973482635685
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2015,35239,6444127,5.46839005500668
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2016,37890,6477804,5.84920445262005
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2017,39359,6516011,6.04035198835607
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2018,40720,6552967,6.21397910290102
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2019,46579,6589069,7.06913222490158
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2020,37284,6629143,5.62425640840754
Vlaams Gewest,2000,/,Migratiesaldo van vreemdelingen,2021,46141,6653062,6.93530287257206
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2000,11,14438,0.761878376506441
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2001,-3,14440,-0.207756232686981
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2002,14,14378,0.973709834469328
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2003,18,14317,1.25724662988056
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2004,30,14237,2.10718550256374
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2005,42,14272,2.94282511210762
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2006,-7,14375,-0.48695652173913
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2007,47,14325,3.28097731239093
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2008,29,14273,2.03180830939536
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2009,0,14265,0.0
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2010,52,14290,3.63890832750175
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2011,11,14311,0.768639508070715
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2012,66,14281,4.62152510328408
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2013,45,14226,3.16322226908477
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2014,72,14207,5.06792426268741
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2015,59,14157,4.16754962209508
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2016,37,14262,2.59430654887113
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2017,75,14222,5.27351989874842
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2018,42,14304,2.93624161073826
Aartselaar,11001,Nee,Migratiesaldo van vreemdelingen,2019,122,14293,8.53564682012174
