Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteit,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar nationaliteit,Aantal inwoners,Procent
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2000,16928,5940251,0.00284971
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2000,24547,5940251,0.00413232
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2000,42270,5940251,0.00711586
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2000,74421,5940251,0.01252826
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Turkije,2000,35923,5940251,0.00604739
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2001,17175,5952552,0.00288532
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2001,24241,5952552,0.00407237
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2001,36256,5952552,0.00609083
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2001,77289,5952552,0.01298418
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Turkije,2001,28072,5952552,0.00471596
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2002,17383,5972781,0.00291037
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2002,23868,5972781,0.00399613
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2002,29334,5972781,0.00491128
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2002,80680,5972781,0.01350795
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Turkije,2002,21875,5972781,0.00366245
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2003,17505,5995553,0.00291966
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2003,23602,5995553,0.00393658
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2003,27236,5995553,0.0045427
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2003,84403,5995553,0.0140776
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Turkije,2003,20449,5995553,0.00341069
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2004,17599,6016024,0.00292535
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2004,23159,6016024,0.00384955
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2004,26799,6016024,0.0044546
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2004,88179,6016024,0.01465736
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Turkije,2004,19911,6016024,0.00330966
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2005,17776,6043161,0.00294151
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Italië,2005,22933,6043161,0.00379487
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Marokko,2005,26627,6043161,0.00440614
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Nederland,2005,92091,6043161,0.01523888
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Turkije,2005,19269,6043161,0.00318856
Vlaams Gewest,2000,/,"Vreemdelingen, naar nationaliteit",Frankrijk,2006,18082,6078600,0.0029747
