Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Doelgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau naar doelgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Procent
Vorselaar,13044,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Rechthebbend,2,4,0.5
Vorselaar,13044,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Verplicht           ,2,4,0.5
Vorselaar,13044,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,0,9,0.0
Vorselaar,13044,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,3,9,0.333333
Vorselaar,13044,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,6,9,0.666667
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,2,21,0.0952381
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,3,21,0.142857
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,16,21,0.761905
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,0,10,0.0
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,5,10,0.5
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,5,10,0.5
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,5,12,0.416667
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,1,12,0.0833333
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,6,12,0.5
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,1,12,0.0833333
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,10,12,0.833333
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,1,12,0.0833333
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Nader te bepalen,0,11,0.0
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Rechthebbend,8,11,0.727273
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Verplicht           ,3,11,0.272727
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,0,11,0.0
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,8,11,0.727273
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,3,11,0.272727
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Nader te bepalen,1,23,0.0434783
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Rechthebbend,13,23,0.565217
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Verplicht           ,9,23,0.391304
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,0,12,0.0
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,4,12,0.333333
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Verplicht           ,8,12,0.666667
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Nader te bepalen,1,14,0.0714286
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,6,14,0.428571
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,7,14,0.5
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Nader te bepalen,0,18,0.0
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Rechthebbend,9,18,0.5
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Verplicht           ,9,18,0.5
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Nader te bepalen,0,10,0.0
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Rechthebbend,5,10,0.5
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Verplicht           ,5,10,0.5
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,0,8,0.0
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,2,8,0.25
Vosselaar,13046,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,6,8,0.75
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,0,32,0.0
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,3,32,0.09375
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,29,32,0.90625
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,0,30,0.0
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,15,30,0.5
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,15,30,0.5
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,1,33,0.030303
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,18,33,0.545455
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,14,33,0.424242
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,0,22,0.0
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,12,22,0.545455
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,10,22,0.454545
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Nader te bepalen,0,27,0.0
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Rechthebbend,15,27,0.555556
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Verplicht           ,12,27,0.444444
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,0,32,0.0
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,18,32,0.5625
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,14,32,0.4375
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Nader te bepalen,1,28,0.0357143
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Rechthebbend,13,28,0.464286
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Verplicht           ,14,28,0.5
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,0,41,0.0
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,22,41,0.536585
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Verplicht           ,19,41,0.463415
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Nader te bepalen,0,29,0.0
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,10,29,0.344828
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,19,29,0.655172
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Nader te bepalen,1,38,0.0263158
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Rechthebbend,25,38,0.657895
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Verplicht           ,12,38,0.315789
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Nader te bepalen,0,13,0.0
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Rechthebbend,5,13,0.384615
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Verplicht           ,8,13,0.615385
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,1,31,0.0322581
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,15,31,0.483871
Westerlo,13049,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,15,31,0.483871
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,1,9,0.111111
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,2,9,0.222222
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,6,9,0.666667
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,0,18,0.0
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,7,18,0.388889
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,11,18,0.611111
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,0,9,0.0
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,6,9,0.666667
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,3,9,0.333333
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,0,17,0.0
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,13,17,0.764706
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,4,17,0.235294
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Nader te bepalen,0,15,0.0
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Rechthebbend,7,15,0.466667
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Verplicht           ,8,15,0.533333
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,0,9,0.0
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,6,9,0.666667
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,3,9,0.333333
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Nader te bepalen,0,12,0.0
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Rechthebbend,7,12,0.583333
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Verplicht           ,5,12,0.416667
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,0,12,0.0
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,7,12,0.583333
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Verplicht           ,5,12,0.416667
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Nader te bepalen,1,18,0.0555556
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,9,18,0.5
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,8,18,0.444444
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Nader te bepalen,0,7,0.0
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Rechthebbend,3,7,0.428571
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Verplicht           ,4,7,0.571429
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Nader te bepalen,0,13,0.0
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Rechthebbend,5,13,0.384615
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Verplicht           ,8,13,0.615385
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,0,13,0.0
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,8,13,0.615385
Laakdal,13053,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,5,13,0.384615
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,1,94,0.0106383
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,35,94,0.37234
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,58,94,0.617021
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,5,92,0.0543478
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,35,92,0.380435
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,52,92,0.565217
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,3,101,0.029703
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,53,101,0.524752
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,45,101,0.445545
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,2,77,0.025974
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,46,77,0.597403
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,29,77,0.376623
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Nader te bepalen,2,70,0.0285714
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Rechthebbend,33,70,0.471429
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Verplicht           ,35,70,0.5
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,2,115,0.0173913
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,70,115,0.608696
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,43,115,0.373913
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Nader te bepalen,1,123,0.00813008
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Rechthebbend,50,123,0.406504
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Verplicht           ,72,123,0.585366
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,3,119,0.0252101
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,59,119,0.495798
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Verplicht           ,57,119,0.478992
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Nader te bepalen,3,105,0.0285714
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,43,105,0.409524
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,59,105,0.561905
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Nader te bepalen,0,97,0.0
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Rechthebbend,54,97,0.556701
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Verplicht           ,43,97,0.443299
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Nader te bepalen,1,83,0.0120482
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Rechthebbend,39,83,0.46988
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Verplicht           ,43,83,0.518072
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,3,102,0.0294118
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,52,102,0.509804
Asse,23002,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,47,102,0.460784
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,2,76,0.0263158
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,9,76,0.118421
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,65,76,0.855263
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,3,145,0.0206897
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,14,145,0.0965517
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,128,145,0.882759
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,5,127,0.0393701
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,76,127,0.598425
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,46,127,0.362205
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,2,34,0.0588235
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,18,34,0.529412
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,14,34,0.411765
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Nader te bepalen,4,32,0.125
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Rechthebbend,19,32,0.59375
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2014,Verplicht           ,9,32,0.28125
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,1,25,0.04
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,15,25,0.6
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,9,25,0.36
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Nader te bepalen,3,91,0.032967
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Rechthebbend,73,91,0.802198
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2016,Verplicht           ,15,91,0.164835
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,5,42,0.119048
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,22,42,0.52381
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Verplicht           ,15,42,0.357143
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Nader te bepalen,3,64,0.046875
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,44,64,0.6875
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,17,64,0.265625
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Nader te bepalen,1,66,0.0151515
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Rechthebbend,48,66,0.727273
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2019,Verplicht           ,17,66,0.257576
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Nader te bepalen,1,49,0.0204082
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Rechthebbend,32,49,0.653061
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2020,Verplicht           ,16,49,0.326531
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,0,54,0.0
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,31,54,0.574074
Beersel,23003,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,23,54,0.425926
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,0,2,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,1,2,0.5
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,1,2,0.5
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,0,1,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,0,1,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,1,1,1.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,0,1,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,0,1,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,1,1,1.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Nader te bepalen,0,1,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Rechthebbend,0,1,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2015,Verplicht           ,1,1,1.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Nader te bepalen,0,2,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Rechthebbend,0,2,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2017,Verplicht           ,2,2,1.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Nader te bepalen,0,3,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Rechthebbend,0,3,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2018,Verplicht           ,3,3,1.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Nader te bepalen,0,1,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Rechthebbend,0,1,0.0
Bever,23009,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2021,Verplicht           ,1,1,1.0
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Nader te bepalen,1,66,0.0151515
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Rechthebbend,13,66,0.19697
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2010,Verplicht           ,52,66,0.787879
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Nader te bepalen,0,76,0.0
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Rechthebbend,22,76,0.289474
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2011,Verplicht           ,54,76,0.710526
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Nader te bepalen,0,59,0.0
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Rechthebbend,32,59,0.542373
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2012,Verplicht           ,27,59,0.457627
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Nader te bepalen,3,61,0.0491803
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Rechthebbend,27,61,0.442623
Dilbeek,23016,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar doelgroep",2013,Verplicht           ,31,61,0.508197
