Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Doelgroep,Aantal inburgeraars die een inburgeringscontract hebben ondertekend naar doelgroep,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Procent
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Rechthebbend,20,38,0.526316
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Verplicht           ,18,38,0.473684
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Rechthebbend,25,52,0.480769
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Verplicht           ,27,52,0.519231
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Rechthebbend,16,36,0.444444
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Verplicht           ,20,36,0.555556
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Rechthebbend,25,56,0.446429
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Verplicht           ,31,56,0.553571
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Nader te bepalen,0,34,0.0
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Rechthebbend,21,34,0.617647
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Verplicht           ,13,34,0.382353
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Nader te bepalen,0,44,0.0
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Rechthebbend,21,44,0.477273
Essen,11016,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Verplicht           ,23,44,0.522727
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Nader te bepalen,0,26,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Rechthebbend,1,26,0.0384615
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Verplicht           ,25,26,0.961538
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Nader te bepalen,0,17,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Rechthebbend,3,17,0.176471
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Verplicht           ,14,17,0.823529
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Nader te bepalen,0,11,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Rechthebbend,3,11,0.272727
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Verplicht           ,8,11,0.727273
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Nader te bepalen,0,23,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Rechthebbend,12,23,0.521739
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Verplicht           ,11,23,0.478261
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Rechthebbend,11,18,0.611111
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Verplicht           ,7,18,0.388889
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Rechthebbend,16,27,0.592593
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Verplicht           ,11,27,0.407407
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Rechthebbend,12,22,0.545455
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Verplicht           ,10,22,0.454545
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Rechthebbend,7,17,0.411765
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Verplicht           ,10,17,0.588235
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Rechthebbend,12,22,0.545455
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Verplicht           ,10,22,0.454545
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Rechthebbend,10,19,0.526316
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Verplicht           ,9,19,0.473684
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Nader te bepalen,0,17,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Rechthebbend,11,17,0.647059
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Verplicht           ,6,17,0.352941
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Nader te bepalen,0,29,0.0
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Rechthebbend,11,29,0.37931
Hemiksem,11018,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Verplicht           ,18,29,0.62069
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Nader te bepalen,0,9,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Rechthebbend,0,9,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Verplicht           ,9,9,1.0
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Nader te bepalen,0,10,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Rechthebbend,0,10,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2011,Verplicht           ,10,10,1.0
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Nader te bepalen,0,11,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Rechthebbend,1,11,0.0909091
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2012,Verplicht           ,10,11,0.909091
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Nader te bepalen,0,8,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Rechthebbend,5,8,0.625
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2013,Verplicht           ,3,8,0.375
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Rechthebbend,7,8,0.875
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2014,Verplicht           ,1,8,0.125
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Rechthebbend,4,6,0.666667
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2015,Verplicht           ,2,6,0.333333
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Rechthebbend,3,7,0.428571
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2016,Verplicht           ,4,7,0.571429
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Rechthebbend,7,13,0.538462
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2017,Verplicht           ,6,13,0.461538
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Rechthebbend,3,6,0.5
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2018,Verplicht           ,3,6,0.5
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Rechthebbend,7,12,0.583333
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2019,Verplicht           ,5,12,0.416667
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Nader te bepalen,0,7,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Rechthebbend,5,7,0.714286
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2020,Verplicht           ,2,7,0.285714
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Nader te bepalen,0,19,0.0
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Rechthebbend,7,19,0.368421
Hove,11021,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2021,Verplicht           ,12,19,0.631579
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Nader te bepalen,0,19,0.0
Kalmthout,11022,Nee,"Inburgeraars met inburgeringscontract, naar doelgroep",2010,Rechthebbend,3,19,0.157895
