Gemeente,Nis-code,Centrumstad?,Indicator,Leeftijdsgroep,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar leeftijdsgroep,Aantal inwoners naar leeftijdsgroep,Procent
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2000,61639,1221662,0.050455
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2000,87252,1342165,0.0650084
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2000,74952,1354902,0.0553191
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2000,45663,1027706,0.044432
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2000,24144,993816,0.0242942
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2001,53430,1214063,0.0440092
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2001,83371,1322378,0.0630463
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2001,73176,1368095,0.0534875
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2001,46071,1039132,0.044336
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2001,24914,1008884,0.0246946
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2002,48197,1209065,0.039863
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2002,81845,1306552,0.062642
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2002,73374,1380662,0.0531441
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2002,46171,1051849,0.0438951
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2002,25636,1024653,0.0250192
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2003,47690,1206487,0.039528
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2003,83860,1294310,0.0647913
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2003,75441,1387678,0.0543649
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2003,47163,1066524,0.0442212
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2003,26589,1040554,0.0255527
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2004,49298,1205679,0.0408882
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2004,84765,1281148,0.0661633
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2004,78104,1392298,0.0560972
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2004,48280,1079925,0.0447068
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2004,27928,1056974,0.0264226
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2005,51159,1205674,0.0424319
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2005,86184,1271480,0.0677824
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2005,80990,1394483,0.0580789
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2005,49716,1097644,0.0452934
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2005,29240,1073880,0.0272284
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2006,55443,1209615,0.0458352
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2006,90666,1264655,0.0716923
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2006,85970,1396799,0.0615479
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2006,51375,1123285,0.0457364
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2006,30748,1084246,0.0283589
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2007,59509,1213269,0.0490485
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2007,96485,1262745,0.0764089
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2007,90624,1396176,0.0649087
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2007,53219,1155943,0.0460395
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2007,31857,1089307,0.0292452
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2008,64261,1217914,0.0527632
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2008,104092,1265927,0.0822259
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2008,97259,1392547,0.0698425
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2008,55489,1185528,0.0468053
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2008,33161,1099522,0.0301595
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2009,69476,1222370,0.0568371
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2009,113149,1277604,0.0885634
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2009,102876,1383336,0.074368
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2009,57853,1209160,0.0478456
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2009,34488,1116407,0.030892
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2010,75162,1225426,0.0613354
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2010,119724,1289391,0.0928531
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2010,108278,1370016,0.0790341
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2010,60287,1232105,0.0489301
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2010,35982,1135045,0.0317009
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2011,82286,1232119,0.0667841
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2011,129337,1307860,0.0988921
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2011,115360,1357945,0.0849519
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2011,63729,1255366,0.0507653
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2011,37274,1153348,0.0323181
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2012,89477,1237629,0.0722971
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2012,137311,1318722,0.104124
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2012,121848,1343483,0.0906956
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2012,65941,1271119,0.0518763
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2012,38822,1179812,0.0329052
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2013,93518,1242790,0.0752484
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2013,141419,1321263,0.107033
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2013,125688,1328637,0.0945992
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2013,67414,1288204,0.0523318
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2013,39843,1200965,0.0331758
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2014,96961,1247596,0.0777183
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2014,145494,1321120,0.110129
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2014,129156,1313471,0.0983318
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2014,69214,1306165,0.0529902
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2014,41057,1222353,0.0335885
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2015,102858,1252370,0.0821307
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2015,151737,1319956,0.114956
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2015,135063,1299716,0.103917
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2015,72112,1326619,0.0543577
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2015,42360,1245466,0.0340114
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2016,108617,1256931,0.0864144
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2016,157898,1320205,0.119601
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2016,141108,1291500,0.109259
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2016,75099,1343502,0.0558979
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2016,43672,1265666,0.0345052
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2017,114756,1264376,0.090761
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2017,164777,1320395,0.124794
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2017,146046,1285754,0.113588
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2017,78685,1358451,0.0579226
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2017,44646,1287035,0.034689
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2018,120706,1271607,0.094924
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2018,171525,1321656,0.12978
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2018,151158,1282286,0.117882
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2018,82131,1367322,0.0600671
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2018,45779,1310096,0.0349432
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2019,126753,1277456,0.099223
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2019,178209,1324424,0.134556
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2019,157223,1279524,0.122876
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2019,86835,1375614,0.0631245
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2019,46901,1332051,0.0352096
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2020,132213,1285337,0.102863
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2020,184111,1328055,0.138632
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2020,163125,1276925,0.127748
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2020,91174,1381295,0.0660062
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2020,48120,1357531,0.0354467
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2021,134992,1289987,0.104646
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2021,185269,1328253,0.139483
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2021,168584,1272250,0.132509
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2021,95799,1386014,0.0691183
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2021,49339,1376558,0.0358423
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",0-17 jaar,2022,138267,1299256,0.10642
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",18-34 jaar,2022,193263,1335000,0.144766
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",35-49 jaar,2022,175235,1273092,0.137645
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",50-64 jaar,2022,100777,1388539,0.0725777
Vlaams Gewest,2000,/,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2022,50728,1402989,0.0361571
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2000,54,2834,0.0190543
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2000,86,3282,0.0262035
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2000,97,3452,0.0280997
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2000,38,3021,0.0125786
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2000,27,1849,0.0146025
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2001,53,2824,0.0187677
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2001,83,3145,0.0263911
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2001,98,3454,0.0283729
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2001,43,3072,0.0139974
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2001,30,1945,0.0154242
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2002,46,2787,0.0165052
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2002,74,3035,0.0243822
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2002,104,3427,0.0303472
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2002,42,3109,0.0135092
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2002,28,2020,0.0138614
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2003,48,2740,0.0175182
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2003,67,2915,0.0229846
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2003,103,3433,0.0300029
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2003,48,3116,0.0154044
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2003,31,2113,0.0146711
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2004,46,2695,0.0170686
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2004,66,2778,0.0237581
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2004,105,3401,0.0308733
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2004,52,3153,0.0164922
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2004,34,2210,0.0153846
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2005,51,2696,0.0189169
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2005,66,2731,0.024167
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2005,106,3353,0.0316135
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2005,62,3182,0.0194846
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2005,34,2310,0.0147186
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2006,55,2631,0.0209046
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2006,83,2761,0.0300616
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2006,125,3338,0.0374476
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2006,65,3196,0.0203379
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2006,37,2449,0.0151082
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2007,58,2635,0.0220114
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2007,77,2667,0.0288714
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2007,119,3307,0.0359843
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2007,61,3228,0.0188971
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2007,38,2488,0.0152733
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2008,73,2603,0.0280446
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2008,90,2576,0.0349379
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2008,129,3246,0.0397412
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2008,69,3307,0.0208648
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2008,34,2541,0.0133806
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2009,76,2576,0.0295031
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2009,107,2546,0.0420267
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2009,138,3169,0.0435469
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2009,65,3326,0.019543
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2009,39,2648,0.0147281
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2010,78,2561,0.0304569
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2010,104,2519,0.0412862
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2010,135,3126,0.0431862
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2010,68,3283,0.0207128
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2010,39,2801,0.0139236
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2011,82,2507,0.0327084
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2011,119,2504,0.047524
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",35-49 jaar,2011,152,3025,0.0502479
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",50-64 jaar,2011,74,3340,0.0221557
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",65 jaar en ouder,2011,48,2935,0.0163543
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",0-17 jaar,2012,78,2508,0.0311005
Aartselaar,11001,Nee,"Vreemdelingen, naar leeftijd",18-34 jaar,2012,118,2443,0.0483013
