België,Gewest,Provincie,Arrondissement,Sex ratio
België,Vlaams Gewest,Provincie Antwerpen,,101.827
België,Vlaams Gewest,Provincie Vlaams-Brabant,,103.986
België,Vlaams Gewest,Provincie West-Vlaanderen,,102.636
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,102.9
België,Vlaams Gewest,Provincie Limburg,,100.464
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,105.016
België,Waals Gewest,Provincie Waals-Brabant,,106.035
België,Waals Gewest,Provincie Henegouwen,,106.713
België,Waals Gewest,Provincie Luik,,105.079
België,Waals Gewest,Provincie Luxemburg,,101.526
België,Waals Gewest,Provincie Namen,,104.8
België,,,,103.651
