Totaal,Niveau 1,Trimester,Maand,HICP-Indexcijfer
Totaal,6. Gezondheidsuitgaven,2de kwartaal 2022,Mei 2022,107.251
Totaal,6. Gezondheidsuitgaven,2de kwartaal 2022,Juni 2022,107.486
Totaal,6. Gezondheidsuitgaven,3de kwartaal 2022,Juli 2022,107.692
Totaal,6. Gezondheidsuitgaven,3de kwartaal 2022,Augustus 2022,107.935
Totaal,6. Gezondheidsuitgaven,3de kwartaal 2022,September 2022,108.08
Totaal,6. Gezondheidsuitgaven,4de kwartaal 2022,Oktober 2022,108.298
Totaal,6. Gezondheidsuitgaven,4de kwartaal 2022,November 2022,108.454
Totaal,6. Gezondheidsuitgaven,4de kwartaal 2022,December 2022,108.576
Totaal,7. Vervoer,1ste kwartaal 2022,Januari 2022,120.629
Totaal,7. Vervoer,1ste kwartaal 2022,Februari 2022,122.499
Totaal,7. Vervoer,1ste kwartaal 2022,Maart 2022,126.903
Totaal,7. Vervoer,2de kwartaal 2022,April 2022,126.447
Totaal,7. Vervoer,2de kwartaal 2022,Mei 2022,128.655
Totaal,7. Vervoer,2de kwartaal 2022,Juni 2022,132.213
Totaal,7. Vervoer,3de kwartaal 2022,Juli 2022,131.838
Totaal,7. Vervoer,3de kwartaal 2022,Augustus 2022,129.641
Totaal,7. Vervoer,3de kwartaal 2022,September 2022,128.574
Totaal,7. Vervoer,4de kwartaal 2022,Oktober 2022,131.676
Totaal,7. Vervoer,4de kwartaal 2022,November 2022,132.051
Totaal,7. Vervoer,4de kwartaal 2022,December 2022,127.795
Totaal,8. Communicatie,1ste kwartaal 2022,Januari 2022,107.746
Totaal,8. Communicatie,1ste kwartaal 2022,Februari 2022,107.762
Totaal,8. Communicatie,1ste kwartaal 2022,Maart 2022,107.519
Totaal,8. Communicatie,2de kwartaal 2022,April 2022,106.288
Totaal,8. Communicatie,2de kwartaal 2022,Mei 2022,106.515
Totaal,8. Communicatie,2de kwartaal 2022,Juni 2022,108.166
Totaal,8. Communicatie,3de kwartaal 2022,Juli 2022,108.272
Totaal,8. Communicatie,3de kwartaal 2022,Augustus 2022,108.395
Totaal,8. Communicatie,3de kwartaal 2022,September 2022,108.409
Totaal,8. Communicatie,4de kwartaal 2022,Oktober 2022,107.51
Totaal,8. Communicatie,4de kwartaal 2022,November 2022,107.331
Totaal,8. Communicatie,4de kwartaal 2022,December 2022,106.766
Totaal,9. Recreatie en cultuur,1ste kwartaal 2022,Januari 2022,109.801
Totaal,9. Recreatie en cultuur,1ste kwartaal 2022,Februari 2022,112.191
Totaal,9. Recreatie en cultuur,1ste kwartaal 2022,Maart 2022,111.278
Totaal,9. Recreatie en cultuur,2de kwartaal 2022,April 2022,111.136
Totaal,9. Recreatie en cultuur,2de kwartaal 2022,Mei 2022,111.71
Totaal,9. Recreatie en cultuur,2de kwartaal 2022,Juni 2022,112.204
Totaal,9. Recreatie en cultuur,3de kwartaal 2022,Juli 2022,112.484
Totaal,9. Recreatie en cultuur,3de kwartaal 2022,Augustus 2022,112.862
Totaal,9. Recreatie en cultuur,3de kwartaal 2022,September 2022,112.789
Totaal,9. Recreatie en cultuur,4de kwartaal 2022,Oktober 2022,113.867
Totaal,9. Recreatie en cultuur,4de kwartaal 2022,November 2022,113.635
Totaal,9. Recreatie en cultuur,4de kwartaal 2022,December 2022,116.596
Totaal,10. Onderwijs,1ste kwartaal 2022,Januari 2022,127.565
Totaal,10. Onderwijs,1ste kwartaal 2022,Februari 2022,127.565
Totaal,10. Onderwijs,1ste kwartaal 2022,Maart 2022,127.565
Totaal,10. Onderwijs,2de kwartaal 2022,April 2022,127.565
Totaal,10. Onderwijs,2de kwartaal 2022,Mei 2022,127.565
Totaal,10. Onderwijs,2de kwartaal 2022,Juni 2022,127.565
Totaal,10. Onderwijs,3de kwartaal 2022,Juli 2022,127.565
Totaal,10. Onderwijs,3de kwartaal 2022,Augustus 2022,127.565
Totaal,10. Onderwijs,3de kwartaal 2022,September 2022,127.565
Totaal,10. Onderwijs,4de kwartaal 2022,Oktober 2022,129.567
Totaal,10. Onderwijs,4de kwartaal 2022,November 2022,129.567
Totaal,10. Onderwijs,4de kwartaal 2022,December 2022,129.567
Totaal,"11. Hotels, cafés en restaurants",1ste kwartaal 2022,Januari 2022,116.923
Totaal,"11. Hotels, cafés en restaurants",1ste kwartaal 2022,Februari 2022,118.485
Totaal,"11. Hotels, cafés en restaurants",1ste kwartaal 2022,Maart 2022,117.894
Totaal,"11. Hotels, cafés en restaurants",2de kwartaal 2022,April 2022,121.607
Totaal,"11. Hotels, cafés en restaurants",2de kwartaal 2022,Mei 2022,121.011
Totaal,"11. Hotels, cafés en restaurants",2de kwartaal 2022,Juni 2022,121.259
Totaal,"11. Hotels, cafés en restaurants",3de kwartaal 2022,Juli 2022,125.348
Totaal,"11. Hotels, cafés en restaurants",3de kwartaal 2022,Augustus 2022,125.765
Totaal,"11. Hotels, cafés en restaurants",3de kwartaal 2022,September 2022,122.678
Totaal,"11. Hotels, cafés en restaurants",4de kwartaal 2022,Oktober 2022,124.385
Totaal,"11. Hotels, cafés en restaurants",4de kwartaal 2022,November 2022,123.848
Totaal,"11. Hotels, cafés en restaurants",4de kwartaal 2022,December 2022,126.718
Totaal,12. Diverse goederen en diensten,1ste kwartaal 2022,Januari 2022,112.424
Totaal,12. Diverse goederen en diensten,1ste kwartaal 2022,Februari 2022,112.586
Totaal,12. Diverse goederen en diensten,1ste kwartaal 2022,Maart 2022,112.866
Totaal,12. Diverse goederen en diensten,2de kwartaal 2022,April 2022,113.378
Totaal,12. Diverse goederen en diensten,2de kwartaal 2022,Mei 2022,113.837
Totaal,12. Diverse goederen en diensten,2de kwartaal 2022,Juni 2022,114.406
Totaal,12. Diverse goederen en diensten,3de kwartaal 2022,Juli 2022,114.93
Totaal,12. Diverse goederen en diensten,3de kwartaal 2022,Augustus 2022,115.49
Totaal,12. Diverse goederen en diensten,3de kwartaal 2022,September 2022,115.745
Totaal,12. Diverse goederen en diensten,4de kwartaal 2022,Oktober 2022,116.144
Totaal,12. Diverse goederen en diensten,4de kwartaal 2022,November 2022,116.721
Totaal,12. Diverse goederen en diensten,4de kwartaal 2022,December 2022,117.247
Totaal,,1ste kwartaal 2022,Januari 2022,116.986
Totaal,,1ste kwartaal 2022,Februari 2022,119.495
Totaal,,1ste kwartaal 2022,Maart 2022,120.283
Totaal,,2de kwartaal 2022,April 2022,120.612
Totaal,,2de kwartaal 2022,Mei 2022,121.611
Totaal,,2de kwartaal 2022,Juni 2022,122.822
Totaal,,3de kwartaal 2022,Juli 2022,122.032
Totaal,,3de kwartaal 2022,Augustus 2022,124.24
Totaal,,3de kwartaal 2022,September 2022,125.899
Totaal,,4de kwartaal 2022,Oktober 2022,129.303
Totaal,,4de kwartaal 2022,November 2022,128.066
Totaal,,4de kwartaal 2022,December 2022,127.766
