Alle producten,Product groep,Product niveau 1,Alle indicatoren,Indicator groep,Indicator niveau 1,Indicator niveau 2,Gigawattuur
Alle producten,Hernieuwbare energie en biobrandstoffen,Hernieuwbaar huishoudelijk afval,Alle indicatoren,,,,936.6
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,0.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Alle indicatoren,,,,0.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,13.2
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,1.0
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Alle indicatoren,,,,14.2
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,5.2
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,206.2
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,113.3
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Alle indicatoren,,,,324.7
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,537.5
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,388.4
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Alle indicatoren,,,,925.9
Alle producten,Andere bronnen,Recuperatiewarmte,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,
Alle producten,Andere bronnen,Recuperatiewarmte,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Andere bronnen,Recuperatiewarmte,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,301.6
Alle producten,Andere bronnen,Recuperatiewarmte,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,196.1
Alle producten,Andere bronnen,Recuperatiewarmte,Alle indicatoren,,,,497.7
Alle producten,Andere bronnen,Gepompte hydro,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,931.7
Alle producten,Andere bronnen,Gepompte hydro,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Andere bronnen,Gepompte hydro,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,
Alle producten,Andere bronnen,Gepompte hydro,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,
Alle producten,Andere bronnen,Gepompte hydro,Alle indicatoren,,,,931.7
Alle producten,Andere bronnen,Andere bronnen,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,6.4
Alle producten,Andere bronnen,Andere bronnen,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,
Alle producten,Andere bronnen,Andere bronnen,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,2.5
Alle producten,Andere bronnen,Andere bronnen,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,
Alle producten,Andere bronnen,Andere bronnen,Alle indicatoren,,,,8.9
Alle producten,,,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Elektriciteitscentrale,78634.0
Alle producten,,,Alle indicatoren,Bruto elektriciteitsproductie,Producent - hoofdactiviteit,Warmtekrachtcentrale,6187.7
Alle producten,,,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Elektriciteitscentrale,5960.2
Alle producten,,,Alle indicatoren,Bruto elektriciteitsproductie,Zelfopwekker,Warmtekrachtcentrale,9683.5
Alle producten,,,Alle indicatoren,,,,100465.4
