Sectie,Maand,Btw-plichtig ond. aan het einde van de maand
"A Landbouw, bosbouw en visserij",November 2021,50200
"A Landbouw, bosbouw en visserij",December 2021,49999
"A Landbouw, bosbouw en visserij",Januari 2022,50021
"A Landbouw, bosbouw en visserij",Februari 2022,50028
"A Landbouw, bosbouw en visserij",Maart 2022,49953
"A Landbouw, bosbouw en visserij",April 2022,49996
"A Landbouw, bosbouw en visserij",Mei 2022,49973
"A Landbouw, bosbouw en visserij",Juni 2022,49921
"A Landbouw, bosbouw en visserij",Juli 2022,49974
"A Landbouw, bosbouw en visserij",Augustus 2022,49999
"A Landbouw, bosbouw en visserij",September 2022,49984
"A Landbouw, bosbouw en visserij",Oktober 2022,50011
"A Landbouw, bosbouw en visserij",November 2022,50009
B Winning van delfstoffen,November 2021,208
B Winning van delfstoffen,December 2021,211
B Winning van delfstoffen,Januari 2022,210
B Winning van delfstoffen,Februari 2022,208
B Winning van delfstoffen,Maart 2022,207
B Winning van delfstoffen,April 2022,207
B Winning van delfstoffen,Mei 2022,209
B Winning van delfstoffen,Juni 2022,209
B Winning van delfstoffen,Juli 2022,209
B Winning van delfstoffen,Augustus 2022,208
B Winning van delfstoffen,September 2022,207
B Winning van delfstoffen,Oktober 2022,208
B Winning van delfstoffen,November 2022,210
C Industrie,November 2021,56001
C Industrie,December 2021,55974
C Industrie,Januari 2022,56081
C Industrie,Februari 2022,56215
C Industrie,Maart 2022,56151
C Industrie,April 2022,56399
C Industrie,Mei 2022,56526
C Industrie,Juni 2022,56491
C Industrie,Juli 2022,56659
C Industrie,Augustus 2022,56767
C Industrie,September 2022,56733
C Industrie,Oktober 2022,56996
C Industrie,November 2022,57095
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",November 2021,1358
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",December 2021,1362
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Januari 2022,1363
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Februari 2022,1360
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Maart 2022,1362
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",April 2022,1359
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Mei 2022,1357
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Juni 2022,1350
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Juli 2022,1354
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Augustus 2022,1359
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",September 2022,1354
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Oktober 2022,1363
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",November 2022,1364
