Alle producten,Product groep,Product niveau 1,Indicator groep,Jaar,Gigawattuur
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Bruto elektriciteitsproductie,2016,14.2
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Bruto elektriciteitsproductie,2017,11.2
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Bruto elektriciteitsproductie,2018,11.5
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Bruto elektriciteitsproductie,2019,12.0
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Bruto elektriciteitsproductie,2020,5.2
Alle producten,Hernieuwbare energie en biobrandstoffen,Biodiesel,Bruto elektriciteitsproductie,2021,0.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Bruto elektriciteitsproductie,2014,77.1
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Bruto elektriciteitsproductie,2015,116.1
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Bruto elektriciteitsproductie,2016,17.0
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Bruto elektriciteitsproductie,2017,24.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Bruto elektriciteitsproductie,2018,62.7
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Bruto elektriciteitsproductie,2019,59.4
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Bruto elektriciteitsproductie,2020,19.5
Alle producten,Hernieuwbare energie en biobrandstoffen,Andere vloeibare biobrandstoffen,Bruto elektriciteitsproductie,2021,14.2
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Bruto elektriciteitsproductie,2014,370.3
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Bruto elektriciteitsproductie,2015,398.5
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Bruto elektriciteitsproductie,2016,421.8
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Bruto elektriciteitsproductie,2017,434.9
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Bruto elektriciteitsproductie,2018,437.9
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Bruto elektriciteitsproductie,2019,419.1
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Bruto elektriciteitsproductie,2020,394.7
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar industrieel afval,Bruto elektriciteitsproductie,2021,324.7
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2014,840.7
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2015,837.7
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2016,854.9
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2017,853.5
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2018,827.5
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2019,789.2
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2020,839.7
Alle producten,Niet-hernieuwbaar afval,Niet-hernieuwbaar huishoudelijk afval,Bruto elektriciteitsproductie,2021,925.9
Alle producten,Andere bronnen,Recuperatiewarmte,Bruto elektriciteitsproductie,2014,418.8
Alle producten,Andere bronnen,Recuperatiewarmte,Bruto elektriciteitsproductie,2015,458.7
Alle producten,Andere bronnen,Recuperatiewarmte,Bruto elektriciteitsproductie,2016,512.9
Alle producten,Andere bronnen,Recuperatiewarmte,Bruto elektriciteitsproductie,2017,540.1
Alle producten,Andere bronnen,Recuperatiewarmte,Bruto elektriciteitsproductie,2018,477.7
Alle producten,Andere bronnen,Recuperatiewarmte,Bruto elektriciteitsproductie,2019,424.9
Alle producten,Andere bronnen,Recuperatiewarmte,Bruto elektriciteitsproductie,2020,487.4
Alle producten,Andere bronnen,Recuperatiewarmte,Bruto elektriciteitsproductie,2021,497.7
Alle producten,Andere bronnen,Gepompte hydro,Bruto elektriciteitsproductie,2014,1173.0
Alle producten,Andere bronnen,Gepompte hydro,Bruto elektriciteitsproductie,2015,1099.1
Alle producten,Andere bronnen,Gepompte hydro,Bruto elektriciteitsproductie,2016,1119.1
Alle producten,Andere bronnen,Gepompte hydro,Bruto elektriciteitsproductie,2017,1127.3
Alle producten,Andere bronnen,Gepompte hydro,Bruto elektriciteitsproductie,2018,1015.3
Alle producten,Andere bronnen,Gepompte hydro,Bruto elektriciteitsproductie,2019,879.2
Alle producten,Andere bronnen,Gepompte hydro,Bruto elektriciteitsproductie,2020,1047.7
Alle producten,Andere bronnen,Gepompte hydro,Bruto elektriciteitsproductie,2021,931.7
Alle producten,Andere bronnen,Andere bronnen,Bruto elektriciteitsproductie,2014,8.0
Alle producten,Andere bronnen,Andere bronnen,Bruto elektriciteitsproductie,2015,10.6
Alle producten,Andere bronnen,Andere bronnen,Bruto elektriciteitsproductie,2016,11.4
Alle producten,Andere bronnen,Andere bronnen,Bruto elektriciteitsproductie,2017,10.8
Alle producten,Andere bronnen,Andere bronnen,Bruto elektriciteitsproductie,2018,9.4
Alle producten,Andere bronnen,Andere bronnen,Bruto elektriciteitsproductie,2019,10.9
Alle producten,Andere bronnen,Andere bronnen,Bruto elektriciteitsproductie,2020,10.8
Alle producten,Andere bronnen,Andere bronnen,Bruto elektriciteitsproductie,2021,8.9
Alle producten,,,Bruto elektriciteitsproductie,2014,72545.5
Alle producten,,,Bruto elektriciteitsproductie,2015,69708.4
Alle producten,,,Bruto elektriciteitsproductie,2016,85609.7
Alle producten,,,Bruto elektriciteitsproductie,2017,86618.8
Alle producten,,,Bruto elektriciteitsproductie,2018,75039.7
Alle producten,,,Bruto elektriciteitsproductie,2019,93645.8
Alle producten,,,Bruto elektriciteitsproductie,2020,89455.4
Alle producten,,,Bruto elektriciteitsproductie,2021,100465.4
