Jaar,Diersoort,Aantal slachtingen,Totaal slachtgewicht
2021,Runderen,208757,89125962
2021,Varkens,791347,77232197
2021,Schapen (totaal),47592,1049373
2021,Geiten,1878,23329
2021,Paarden totaal,10,3673
2021,Gevogelte,49291104,63845715
