België,Gewest,Provincie,Arrondissement,Gemeente,Woningen gebouwd vanaf 1991
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,0.237
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,0.237
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,0.237
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lovendegem,0.237
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,0.236
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Haacht,0.236
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Maasmechelen,0.236
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kontich,0.236
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,0.236
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Oud-Heverlee,0.236
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,0.235
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,0.235
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,0.235
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,0.235
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Ternat,0.234
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,0.234
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,0.234
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,0.233
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,0.232
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,0.232
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zedelgem,0.232
België,Waals Gewest,Provincie Namen,Arrondissement Namen,La Bruyère,0.232
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,0.231
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,0.231
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Messancy,0.231
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zemst,0.23
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,0.23
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Tielt (Tielt),0.23
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,0.229
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Huldenberg,0.227
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,0.227
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wetteren,0.227
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Wachtebeke,0.227
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Oudenaarde,0.227
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schilde,0.227
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Sint-Laureins,0.227
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,0.227
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boutersem,0.226
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,0.226
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Court-Saint-Etienne,0.226
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,0.226
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,0.226
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Remicourt,0.226
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,0.226
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Hannuit,0.226
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,0.225
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Fauvillers,0.224
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Opzullik,0.224
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Assenede,0.223
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,0.223
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Staden,0.223
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,0.223
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chastre,0.223
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zwalm,0.223
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,0.223
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,0.222
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kapellen (Antwerpen),0.222
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,0.222
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,0.222
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Galmaarden,0.222
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Houthulst,0.221
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,0.221
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,0.221
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,0.221
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,0.221
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Geldenaken,0.221
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,0.221
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,0.221
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Ninove,0.22
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Soumagne,0.22
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Zonnebeke,0.219
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Genk,0.219
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,0.219
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,0.219
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zaventem,0.219
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,0.219
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,0.218
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,0.218
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kampenhout,0.218
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Moerbeke (Gent),0.218
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Gooik,0.218
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Hoegaarden,0.218
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,0.217
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Niel,0.217
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,0.216
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,0.216
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,0.216
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Melle,0.215
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,0.215
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,0.214
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,0.214
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,0.214
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,0.214
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Zwevegem,0.214
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,0.213
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,0.213
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Zottegem,0.213
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,0.213
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,0.212
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Kasteelbrakel,0.212
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Profondeville,0.211
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,0.211
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Roosdaal,0.211
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,0.21
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Destelbergen,0.21
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,0.209
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,0.209
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Lebbeke,0.208
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Meulebeke,0.208
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Villers-la-Ville,0.207
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kapelle-op-den-Bos,0.207
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,0.207
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,0.207
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bertem,0.207
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Oerle,0.207
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,0.206
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Aat,0.206
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Izegem,0.205
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,0.205
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,0.205
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,0.204
