Sectie,Jaar,Trimester,Omzet
I Verschaffen van accommodatie en maaltijden,2022,1ste kwartaal 2022,3857595
I Verschaffen van accommodatie en maaltijden,2022,2de kwartaal 2022,5093839
I Verschaffen van accommodatie en maaltijden,2022,3de kwartaal 2022,5262802
J Informatie en communicatie,2020,4de kwartaal 2020,11248224
J Informatie en communicatie,2021,1ste kwartaal 2021,9914719
J Informatie en communicatie,2021,2de kwartaal 2021,10153674
J Informatie en communicatie,2021,3de kwartaal 2021,9858021
J Informatie en communicatie,2021,4de kwartaal 2021,12333836
J Informatie en communicatie,2022,1ste kwartaal 2022,10995903
J Informatie en communicatie,2022,2de kwartaal 2022,11351094
J Informatie en communicatie,2022,3de kwartaal 2022,11271448
M Vrije beroepen en wetenschappelijke en technische activiteiten,2020,4de kwartaal 2020,17983347
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,1ste kwartaal 2021,15572647
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,2de kwartaal 2021,17081264
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,3de kwartaal 2021,16096925
M Vrije beroepen en wetenschappelijke en technische activiteiten,2021,4de kwartaal 2021,20775433
M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,1ste kwartaal 2022,18836140
M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,2de kwartaal 2022,19852955
M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,3de kwartaal 2022,19172341
N Administratieve en ondersteunende diensten,2020,4de kwartaal 2020,13586654
N Administratieve en ondersteunende diensten,2021,1ste kwartaal 2021,12205370
N Administratieve en ondersteunende diensten,2021,2de kwartaal 2021,13246649
N Administratieve en ondersteunende diensten,2021,3de kwartaal 2021,13559214
N Administratieve en ondersteunende diensten,2021,4de kwartaal 2021,15319383
N Administratieve en ondersteunende diensten,2022,1ste kwartaal 2022,13828994
N Administratieve en ondersteunende diensten,2022,2de kwartaal 2022,15499049
N Administratieve en ondersteunende diensten,2022,3de kwartaal 2022,15237592
"R Kunst, amusement en recreatie",2020,4de kwartaal 2020,1000089
"R Kunst, amusement en recreatie",2021,1ste kwartaal 2021,747912
"R Kunst, amusement en recreatie",2021,2de kwartaal 2021,867661
"R Kunst, amusement en recreatie",2021,3de kwartaal 2021,1512338
