Sectie,Referentiejaar,Omzet,Productiewaarde,Aankopen goederen en diensten,Arbeidsproductiviteit,Omzet per werkzame persoon,Gemiddelde personeelskosten
B Winning van delfstoffen,2020,740877,690489,495738,94,303,65
C Industrie,2020,245417007,224528402,189109249,120,480,66
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2020,28456918,19816820,22018141,309,1323,104
E Distributie van water/ afval- en afvalwaterbeheer en sanering,2020,9391106,9219475,6275974,139,374,66
F Bouwnijverheid,2020,75404566,73218561,55916268,57,217,51
