België,Gewest,Mannen en vrouwen,Geslacht,Alle leeftijden,Leeftijdsgroep,Alle burgerlijke staten,Burgerlijke staat,Bevolking op 01 januari 2022
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Ongehuwd,634618.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gehuwd,6.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Verweduwd,
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,Gescheiden,
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Minder dan 18 jaar,Alle burgerlijke staten,,634624.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Ongehuwd,801629.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gehuwd,904352.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Verweduwd,35246.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,Gescheiden,240290.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,Van 18 tot 64 jaar,Alle burgerlijke staten,,1981517.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Ongehuwd,34575.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gehuwd,383244.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Verweduwd,261405.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,Gescheiden,86900.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,65 jaar en meer,Alle burgerlijke staten,,766124.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Ongehuwd,1470822.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Gehuwd,1287602.0
België,Vlaams Gewest,Mannen en vrouwen,Vrouwen,Alle leeftijden,,Alle burgerlijke staten,Verweduwd,296651.0
