Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Niveau 1,Kiloton olie equivalent (ovw)
Energie sector,Productie van elektriciteit en warmte,,Fotovoltaïsche zonne-energie,
Energie sector,Productie van elektriciteit en warmte,,Thermische zonne-energie,
Energie sector,Productie van elektriciteit en warmte,,Geothermische energie,0.482
Energie sector,Productie van elektriciteit en warmte,,Vaste biobrandstoffen,
Energie sector,Productie van elektriciteit en warmte,,Houtskool,
Energie sector,Productie van elektriciteit en warmte,,Biogas,
Energie sector,Productie van elektriciteit en warmte,,Hernieuwbaar huishoudelijk afval,13.445
Energie sector,Productie van elektriciteit en warmte,,Biobenzine,
Energie sector,Productie van elektriciteit en warmte,,Biodiesel,
Energie sector,Productie van elektriciteit en warmte,,Andere vloeibare biobrandstoffen,
Energie sector,Productie van elektriciteit en warmte,,Warmtepompen,
Energie sector,,,Waterkracht,
Energie sector,,,Windenergie,
Energie sector,,,Fotovoltaïsche zonne-energie,
Energie sector,,,Thermische zonne-energie,
Energie sector,,,Geothermische energie,0.482
Energie sector,,,Vaste biobrandstoffen,
Energie sector,,,Houtskool,
Energie sector,,,Biogas,
Energie sector,,,Hernieuwbaar huishoudelijk afval,13.445
Energie sector,,,Biobenzine,
Energie sector,,,Biodiesel,
Energie sector,,,Andere vloeibare biobrandstoffen,
Energie sector,,,Warmtepompen,
Distributieverliezen,,,Waterkracht,
Distributieverliezen,,,Windenergie,
Distributieverliezen,,,Fotovoltaïsche zonne-energie,
Distributieverliezen,,,Thermische zonne-energie,
Distributieverliezen,,,Geothermische energie,
Distributieverliezen,,,Vaste biobrandstoffen,
Distributieverliezen,,,Houtskool,
Distributieverliezen,,,Biogas,0.917
Distributieverliezen,,,Hernieuwbaar huishoudelijk afval,
Distributieverliezen,,,Biobenzine,
Distributieverliezen,,,Biodiesel,
Distributieverliezen,,,Andere vloeibare biobrandstoffen,
Distributieverliezen,,,Warmtepompen,
Finale consumptie,Industrie sector,Chemie en petrochemie,Waterkracht,
Finale consumptie,Industrie sector,Chemie en petrochemie,Windenergie,
Finale consumptie,Industrie sector,Chemie en petrochemie,Fotovoltaïsche zonne-energie,
Finale consumptie,Industrie sector,Chemie en petrochemie,Thermische zonne-energie,
Finale consumptie,Industrie sector,Chemie en petrochemie,Geothermische energie,
