Alle groepen/getuigen,Groep,Subgroep 1,Subgroep 2,Basisjaar,Jaar,Maand,Index
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2020,november,126.129
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2020,december,137.248
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2021,januari,163.429
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2021,februari,173.256
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2021,maart,208.785
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2021,april,245.187
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2021,mei,199.584
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Volle grond,2015,2021,juni,88.662
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2020,september,128.571
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2020,oktober,146.136
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2020,november,96.265
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2020,december,152.591
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2021,januari,198.943
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2021,februari,157.532
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2021,maart,159.504
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2021,april,130.85
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2021,mei,83.246
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Onder glas,2015,2021,juni,80.346
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2020,september,119.053
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2020,oktober,128.703
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2020,november,125.946
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2020,december,136.849
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2021,januari,136.348
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2021,februari,125.946
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2021,maart,132.588
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2021,april,127.513
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2021,mei,143.992
Alle groepen/getuigen,Tuinbouwproducten,Groenten,Champignons,2015,2021,juni,121.748
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2020,september,142.685
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2020,oktober,141.057
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2020,november,124.156
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2020,december,110.728
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2021,januari,117.632
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2021,februari,113.135
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2021,maart,111.744
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2021,april,117.614
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2021,mei,203.536
Alle groepen/getuigen,Tuinbouwproducten,Fruit,Verse vruchten,2015,2021,juni,180.655
Alle groepen/getuigen,Tuinbouwproducten,Tuinbouwproducten Niet-eetbare,Snijbloemen,2015,2020,september,130.047
