Productgroep,Product,Jaar,Gemiddelde prijs incl. BTW
Benzines,Benzine 95 RON E5 (€/L),2016,1.337
Benzines,Benzine 95 RON E5 (€/L),2017,1.405
Benzines,Benzine 95 RON E5 (€/L),2018,1.469
Benzines,Benzine 95 RON E5 (€/L),2019,1.457
Benzines,Benzine 95 RON E5 (€/L),2020,1.389
Benzines,Benzine 95 RON E5 (€/L),2021,1.606
Benzines,Benzine 95 RON E5 (€/L),2022,1.918
Benzines,Benzine 95 RON E5 (€/L),2023,1.827
Benzines,Benzine 95 RON E10 (€/L),2016,1.349
Benzines,Benzine 95 RON E10 (€/L),2017,1.424
Benzines,Benzine 95 RON E10 (€/L),2018,1.478
Benzines,Benzine 95 RON E10 (€/L),2019,1.473
Benzines,Benzine 95 RON E10 (€/L),2020,1.349
Benzines,Benzine 95 RON E10 (€/L),2021,1.562
Benzines,Benzine 95 RON E10 (€/L),2022,1.852
Benzines,Benzine 95 RON E10 (€/L),2023,1.773
Benzines,Benzine 98 RON E5 (€/L),2016,1.402
Benzines,Benzine 98 RON E5 (€/L),2017,1.486
Benzines,Benzine 98 RON E5 (€/L),2018,1.551
Benzines,Benzine 98 RON E5 (€/L),2019,1.531
Benzines,Benzine 98 RON E5 (€/L),2020,1.417
Benzines,Benzine 98 RON E5 (€/L),2021,1.636
Benzines,Benzine 98 RON E5 (€/L),2022,2.029
Benzines,Benzine 98 RON E5 (€/L),2023,1.97
Benzines,Benzine 98 RON E10 (€/L),2016,1.41
Benzines,Benzine 98 RON E10 (€/L),2017,1.495
Benzines,Benzine 98 RON E10 (€/L),2018,1.559
Benzines,Benzine 98 RON E10 (€/L),2019,1.54
Benzines,Benzine 98 RON E10 (€/L),2020,1.386
Benzines,Benzine 98 RON E10 (€/L),2021,1.608
Benzines,Benzine 98 RON E10 (€/L),2022,1.982
Benzines,Benzine 98 RON E10 (€/L),2023,1.924
Gasolie Diesel wegvervoer,Diesel B7 (€/L),2016,1.187
Gasolie Diesel wegvervoer,Diesel B7 (€/L),2017,1.328
Gasolie Diesel wegvervoer,Diesel B7 (€/L),2018,1.504
Gasolie Diesel wegvervoer,Diesel B7 (€/L),2019,1.522
Gasolie Diesel wegvervoer,Diesel B7 (€/L),2020,1.368
Gasolie Diesel wegvervoer,Diesel B7 (€/L),2021,1.573
Gasolie Diesel wegvervoer,Diesel B7 (€/L),2022,1.989
Gasolie Diesel wegvervoer,Diesel B7 (€/L),2023,1.806
Gasolie Diesel wegvervoer,Diesel B10 (€/L),2016,
Gasolie Diesel wegvervoer,Diesel B10 (€/L),2017,
Gasolie Diesel wegvervoer,Diesel B10 (€/L),2018,1.579
Gasolie Diesel wegvervoer,Diesel B10 (€/L),2019,1.531
Gasolie Diesel wegvervoer,Diesel B10 (€/L),2020,1.344
Gasolie Diesel wegvervoer,Diesel B10 (€/L),2021,1.562
Gasolie Diesel wegvervoer,Diesel B10 (€/L),2022,1.961
Gasolie Diesel wegvervoer,Diesel B10 (€/L),2023,1.788
Gasolie Diesel wegvervoer,Diesel B20 (€/L),2016,
Gasolie Diesel wegvervoer,Diesel B20 (€/L),2017,
Gasolie Diesel wegvervoer,Diesel B20 (€/L),2018,1.597
Gasolie Diesel wegvervoer,Diesel B20 (€/L),2019,1.545
Gasolie Diesel wegvervoer,Diesel B20 (€/L),2020,1.369
Gasolie Diesel wegvervoer,Diesel B20 (€/L),2021,1.611
Gasolie Diesel wegvervoer,Diesel B20 (€/L),2022,1.989
Gasolie Diesel wegvervoer,Diesel B20 (€/L),2023,1.821
Gasolie Diesel wegvervoer,Diesel B30 (€/L),2016,
Gasolie Diesel wegvervoer,Diesel B30 (€/L),2017,
Gasolie Diesel wegvervoer,Diesel B30 (€/L),2018,1.635
Gasolie Diesel wegvervoer,Diesel B30 (€/L),2019,1.576
Gasolie Diesel wegvervoer,Diesel B30 (€/L),2020,1.419
Gasolie Diesel wegvervoer,Diesel B30 (€/L),2021,1.709
Gasolie Diesel wegvervoer,Diesel B30 (€/L),2022,2.061
Gasolie Diesel wegvervoer,Diesel B30 (€/L),2023,1.896
Gasolie Diesel wegvervoer,Diesel XTL (€/L),2016,
Gasolie Diesel wegvervoer,Diesel XTL (€/L),2017,
Gasolie Diesel wegvervoer,Diesel XTL (€/L),2018,1.999
Gasolie Diesel wegvervoer,Diesel XTL (€/L),2019,2.007
Gasolie Diesel wegvervoer,Diesel XTL (€/L),2020,2.25
Gasolie Diesel wegvervoer,Diesel XTL (€/L),2021,2.545
Gasolie Diesel wegvervoer,Diesel XTL (€/L),2022,3.582
Gasolie Diesel wegvervoer,Diesel XTL (€/L),2023,3.097
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),2016,0.483
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),2017,0.567
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),2018,0.683
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),2019,0.673
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),2020,0.464
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),2021,0.653
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),2022,1.2
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),2023,1.056
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),2016,0.509
Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),2017,0.594
