België,Gewest,Jaar,Aantal aangiften,Gemiddeld inkomen per inwoner,Mediaan inkomen per aangifte,Tot. netto belastbaar inkomen,Totale belastingen
België,Vlaams Gewest,2014,3642974,18948.647,25422.56,122107486161.092,29050792621.719
België,Vlaams Gewest,2015,3666095,18970.298,25412.11,122885871652.513,29214014001.34
België,Vlaams Gewest,2016,3688596,19101.545,25401.495,124465879415.857,29186806010.242
België,Vlaams Gewest,2017,3719171,19636.41,26018.52,128676748403.586,30428779425.092
België,Vlaams Gewest,2018,3747118,20124.679,26518.09,132602901263.802,30836132232.919
België,Vlaams Gewest,2019,3756242,20500.635,27279.75,135901642238.967,30647346917.382
België,Vlaams Gewest,2020,3753640,21078.368,28285.635,140235686250.393,31746324705.911
België,Brussels Hoofdstedelijk Gewest,2014,596777,13839.272,19043.75,16263538381.198,3715137294.19
België,Brussels Hoofdstedelijk Gewest,2015,598584,13831.454,19087.955,16430245908.408,3766459344.26
België,Brussels Hoofdstedelijk Gewest,2016,601323,13980.443,19072.04,16659152064.167,3745536862.43
België,Brussels Hoofdstedelijk Gewest,2017,610330,14372.454,19539.785,17228633748.788,3891675388.47
België,Brussels Hoofdstedelijk Gewest,2018,617105,14668.193,19723.4,17727126824.809,3927219598.85
België,Brussels Hoofdstedelijk Gewest,2019,619548,14972.541,20427.085,18240373233.702,3940340527.77
België,Brussels Hoofdstedelijk Gewest,2020,615779,15444.48,21508.36,18841802130.957,4074508459.27
België,Waals Gewest,2014,2022079,16670.884,22211.76,59844207343.465,12900385161.301
België,Waals Gewest,2015,2025071,16683.707,22301.85,60098318062.577,12993285021.31
België,Waals Gewest,2016,2028546,16786.554,22320.235,60674547634.136,12897991386.64
België,Waals Gewest,2017,2042084,17280.967,22848.925,62632739351.334,13402455206.101
België,Waals Gewest,2018,2055299,17672.385,23224.92,64217823067.921,13451990192.79
België,Waals Gewest,2019,2049544,17948.834,23942.36,65427863143.209,13219454074.039
België,Waals Gewest,2020,2048541,18517.97,24807.62,67557367931.477,13618905252.119
België,,2014,6261830,17683.509,23742.12,198215231885.789,45666315077.207
België,,2015,6289750,17697.553,23772.685,199414435623.209,45973758366.908
België,,2016,6318465,17823.53,23773.49,201799579113.979,45830334259.311
België,,2017,6371585,18331.297,24344.77,208538121503.549,47722910019.657
België,,2018,6419522,18768.282,24772.0,214547851156.328,48215342024.565
België,,2019,6425334,19105.259,25474.63,219569878615.558,47807141519.205
België,,2020,6417960,19671.051,26412.135,226634856312.903,49439738417.292
