Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Alle producten,Product Groep,Kiloton olie equivalent (ovw)
Totale energievoorziening,,,Alle producten,Elektriciteit,-677.257
Totale energievoorziening,,,Alle producten,,55246.46
Transformatie input,Productie van elektriciteit en warmte,,Alle producten,Vaste fossiele brandstoffen,4.264
Transformatie input,Productie van elektriciteit en warmte,,Alle producten,Siderurgische gassen,412.429
Transformatie input,Productie van elektriciteit en warmte,,Alle producten,Aardolie en aardolieproducten,25.41
Transformatie input,Productie van elektriciteit en warmte,,Alle producten,Aardgas,3374.77
Transformatie input,Productie van elektriciteit en warmte,,Alle producten,Hernieuwbare energie en biobrandstoffen,2660.116
Transformatie input,Productie van elektriciteit en warmte,,Alle producten,Niet-hernieuwbaar afval,501.254
Transformatie input,Productie van elektriciteit en warmte,,Alle producten,Kernenergie,12223.0
Transformatie input,Productie van elektriciteit en warmte,,Alle producten,Warmte,547.937
Transformatie input,Productie van elektriciteit en warmte,,Alle producten,Elektriciteit,105.761
Transformatie input,Productie van elektriciteit en warmte,,Alle producten,,19854.942
Transformatie input,Cokesovens,,Alle producten,Vaste fossiele brandstoffen,1158.352
Transformatie input,Cokesovens,,Alle producten,Siderurgische gassen,
Transformatie input,Cokesovens,,Alle producten,Aardolie en aardolieproducten,
Transformatie input,Cokesovens,,Alle producten,Aardgas,
Transformatie input,Cokesovens,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Transformatie input,Cokesovens,,Alle producten,Niet-hernieuwbaar afval,
Transformatie input,Cokesovens,,Alle producten,Kernenergie,
Transformatie input,Cokesovens,,Alle producten,Warmte,
Transformatie input,Cokesovens,,Alle producten,Elektriciteit,
Transformatie input,Cokesovens,,Alle producten,,1158.352
Transformatie input,Hoogovens,,Alle producten,Vaste fossiele brandstoffen,1761.127
Transformatie input,Hoogovens,,Alle producten,Siderurgische gassen,
Transformatie input,Hoogovens,,Alle producten,Aardolie en aardolieproducten,
Transformatie input,Hoogovens,,Alle producten,Aardgas,43.53
Transformatie input,Hoogovens,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Transformatie input,Hoogovens,,Alle producten,Niet-hernieuwbaar afval,
Transformatie input,Hoogovens,,Alle producten,Kernenergie,
Transformatie input,Hoogovens,,Alle producten,Warmte,
Transformatie input,Hoogovens,,Alle producten,Elektriciteit,
Transformatie input,Hoogovens,,Alle producten,,1804.657
Transformatie input,Raffinaderijen en petrochemische industrie,,Alle producten,Vaste fossiele brandstoffen,
Transformatie input,Raffinaderijen en petrochemische industrie,,Alle producten,Siderurgische gassen,
Transformatie input,Raffinaderijen en petrochemische industrie,,Alle producten,Aardolie en aardolieproducten,40127.591
Transformatie input,Raffinaderijen en petrochemische industrie,,Alle producten,Aardgas,
Transformatie input,Raffinaderijen en petrochemische industrie,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Transformatie input,Raffinaderijen en petrochemische industrie,,Alle producten,Niet-hernieuwbaar afval,
Transformatie input,Raffinaderijen en petrochemische industrie,,Alle producten,Kernenergie,
Transformatie input,Raffinaderijen en petrochemische industrie,,Alle producten,Warmte,
Transformatie input,Raffinaderijen en petrochemische industrie,,Alle producten,Elektriciteit,
Transformatie input,Raffinaderijen en petrochemische industrie,,Alle producten,,40127.591
Transformatie input,Voor gemengd aardgas,,Alle producten,Vaste fossiele brandstoffen,
Transformatie input,Voor gemengd aardgas,,Alle producten,Siderurgische gassen,
Transformatie input,Voor gemengd aardgas,,Alle producten,Aardolie en aardolieproducten,
Transformatie input,Voor gemengd aardgas,,Alle producten,Aardgas,
Transformatie input,Voor gemengd aardgas,,Alle producten,Hernieuwbare energie en biobrandstoffen,6.783
Transformatie input,Voor gemengd aardgas,,Alle producten,Niet-hernieuwbaar afval,
Transformatie input,Voor gemengd aardgas,,Alle producten,Kernenergie,
Transformatie input,Voor gemengd aardgas,,Alle producten,Warmte,
Transformatie input,Voor gemengd aardgas,,Alle producten,Elektriciteit,
Transformatie input,Voor gemengd aardgas,,Alle producten,,6.783
Transformatie input,,,Alle producten,Vaste fossiele brandstoffen,2923.743
Transformatie input,,,Alle producten,Siderurgische gassen,412.429
Transformatie input,,,Alle producten,Aardolie en aardolieproducten,40153.001
Transformatie input,,,Alle producten,Aardgas,3418.3
Transformatie input,,,Alle producten,Hernieuwbare energie en biobrandstoffen,2666.899
Transformatie input,,,Alle producten,Niet-hernieuwbaar afval,501.254
Transformatie input,,,Alle producten,Kernenergie,12223.0
Transformatie input,,,Alle producten,Warmte,547.937
Transformatie input,,,Alle producten,Elektriciteit,105.761
Transformatie input,,,Alle producten,,62952.324
Transformatie output,Productie van elektriciteit en warmte,,Alle producten,Vaste fossiele brandstoffen,
Transformatie output,Productie van elektriciteit en warmte,,Alle producten,Siderurgische gassen,
Transformatie output,Productie van elektriciteit en warmte,,Alle producten,Aardolie en aardolieproducten,
Transformatie output,Productie van elektriciteit en warmte,,Alle producten,Aardgas,
Transformatie output,Productie van elektriciteit en warmte,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Transformatie output,Productie van elektriciteit en warmte,,Alle producten,Niet-hernieuwbaar afval,
Transformatie output,Productie van elektriciteit en warmte,,Alle producten,Kernenergie,
Transformatie output,Productie van elektriciteit en warmte,,Alle producten,Warmte,725.92
Transformatie output,Productie van elektriciteit en warmte,,Alle producten,Elektriciteit,8638.469
Transformatie output,Productie van elektriciteit en warmte,,Alle producten,,9364.389
Transformatie output,Cokesovens,,Alle producten,Vaste fossiele brandstoffen,917.625
Transformatie output,Cokesovens,,Alle producten,Siderurgische gassen,222.412
Transformatie output,Cokesovens,,Alle producten,Aardolie en aardolieproducten,
Transformatie output,Cokesovens,,Alle producten,Aardgas,
Transformatie output,Cokesovens,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Transformatie output,Cokesovens,,Alle producten,Niet-hernieuwbaar afval,
Transformatie output,Cokesovens,,Alle producten,Kernenergie,
Transformatie output,Cokesovens,,Alle producten,Warmte,
Transformatie output,Cokesovens,,Alle producten,Elektriciteit,
Transformatie output,Cokesovens,,Alle producten,,1140.037
Transformatie output,Hoogovens,,Alle producten,Vaste fossiele brandstoffen,
Transformatie output,Hoogovens,,Alle producten,Siderurgische gassen,594.757
Transformatie output,Hoogovens,,Alle producten,Aardolie en aardolieproducten,
Transformatie output,Hoogovens,,Alle producten,Aardgas,
Transformatie output,Hoogovens,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Transformatie output,Hoogovens,,Alle producten,Niet-hernieuwbaar afval,
Transformatie output,Hoogovens,,Alle producten,Kernenergie,
Transformatie output,Hoogovens,,Alle producten,Warmte,
Transformatie output,Hoogovens,,Alle producten,Elektriciteit,
Transformatie output,Hoogovens,,Alle producten,,594.757
Transformatie output,Raffinaderijen en petrochemische industrie,,Alle producten,Vaste fossiele brandstoffen,
Transformatie output,Raffinaderijen en petrochemische industrie,,Alle producten,Siderurgische gassen,
Transformatie output,Raffinaderijen en petrochemische industrie,,Alle producten,Aardolie en aardolieproducten,40092.894
Transformatie output,Raffinaderijen en petrochemische industrie,,Alle producten,Aardgas,
Transformatie output,Raffinaderijen en petrochemische industrie,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Transformatie output,Raffinaderijen en petrochemische industrie,,Alle producten,Niet-hernieuwbaar afval,
Transformatie output,Raffinaderijen en petrochemische industrie,,Alle producten,Kernenergie,
Transformatie output,Raffinaderijen en petrochemische industrie,,Alle producten,Warmte,
Transformatie output,Raffinaderijen en petrochemische industrie,,Alle producten,Elektriciteit,
Transformatie output,Raffinaderijen en petrochemische industrie,,Alle producten,,40092.894
Transformatie output,Gemengd in aardgas,,Alle producten,Vaste fossiele brandstoffen,
Transformatie output,Gemengd in aardgas,,Alle producten,Siderurgische gassen,
Transformatie output,Gemengd in aardgas,,Alle producten,Aardolie en aardolieproducten,
Transformatie output,Gemengd in aardgas,,Alle producten,Aardgas,6.728
Transformatie output,Gemengd in aardgas,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Transformatie output,Gemengd in aardgas,,Alle producten,Niet-hernieuwbaar afval,
Transformatie output,Gemengd in aardgas,,Alle producten,Kernenergie,
Transformatie output,Gemengd in aardgas,,Alle producten,Warmte,
Transformatie output,Gemengd in aardgas,,Alle producten,Elektriciteit,
Transformatie output,Gemengd in aardgas,,Alle producten,,6.728
Transformatie output,Niet gespecifieerd Transformatie output,,Alle producten,Vaste fossiele brandstoffen,
Transformatie output,Niet gespecifieerd Transformatie output,,Alle producten,Siderurgische gassen,
Transformatie output,Niet gespecifieerd Transformatie output,,Alle producten,Aardolie en aardolieproducten,111.78
Transformatie output,Niet gespecifieerd Transformatie output,,Alle producten,Aardgas,
Transformatie output,Niet gespecifieerd Transformatie output,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Transformatie output,Niet gespecifieerd Transformatie output,,Alle producten,Niet-hernieuwbaar afval,
Transformatie output,Niet gespecifieerd Transformatie output,,Alle producten,Kernenergie,
Transformatie output,Niet gespecifieerd Transformatie output,,Alle producten,Warmte,
Transformatie output,Niet gespecifieerd Transformatie output,,Alle producten,Elektriciteit,
Transformatie output,Niet gespecifieerd Transformatie output,,Alle producten,,111.78
Transformatie output,,,Alle producten,Vaste fossiele brandstoffen,917.625
Transformatie output,,,Alle producten,Siderurgische gassen,817.169
Transformatie output,,,Alle producten,Aardolie en aardolieproducten,40204.674
Transformatie output,,,Alle producten,Aardgas,6.728
