Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Alle producten,Product Groep,Kiloton olie equivalent (ovw)
Finale consumptie,Industrie sector,Extractieve industrie,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Industrie sector,Extractieve industrie,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Industrie sector,Extractieve industrie,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,Extractieve industrie,Alle producten,Warmte,
Finale consumptie,Industrie sector,Extractieve industrie,Alle producten,Elektriciteit,36.44
Finale consumptie,Industrie sector,Extractieve industrie,Alle producten,,53.887
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Alle producten,Vaste fossiele brandstoffen,16.74
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Alle producten,Aardolie en aardolieproducten,16.916
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Alle producten,Aardgas,994.211
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Alle producten,Hernieuwbare energie en biobrandstoffen,93.276
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Alle producten,Kernenergie,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Alle producten,Warmte,49.518
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Alle producten,Elektriciteit,518.169
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Alle producten,,1688.83
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Alle producten,Vaste fossiele brandstoffen,18.082
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Alle producten,Aardolie en aardolieproducten,9.704
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Alle producten,Aardgas,141.692
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Alle producten,Hernieuwbare energie en biobrandstoffen,275.0
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Alle producten,Niet-hernieuwbaar afval,14.868
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Alle producten,Kernenergie,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Alle producten,Warmte,21.112
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Alle producten,Elektriciteit,160.86
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Alle producten,,641.318
Finale consumptie,Industrie sector,Hout en houtproducten,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Industrie sector,Hout en houtproducten,Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,Hout en houtproducten,Alle producten,Aardolie en aardolieproducten,10.168
Finale consumptie,Industrie sector,Hout en houtproducten,Alle producten,Aardgas,22.758
Finale consumptie,Industrie sector,Hout en houtproducten,Alle producten,Hernieuwbare energie en biobrandstoffen,181.919
Finale consumptie,Industrie sector,Hout en houtproducten,Alle producten,Niet-hernieuwbaar afval,1.672
Finale consumptie,Industrie sector,Hout en houtproducten,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,Hout en houtproducten,Alle producten,Warmte,0.036
Finale consumptie,Industrie sector,Hout en houtproducten,Alle producten,Elektriciteit,69.028
Finale consumptie,Industrie sector,Hout en houtproducten,Alle producten,,285.582
Finale consumptie,Industrie sector,Bouw,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Industrie sector,Bouw,Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,Bouw,Alle producten,Aardolie en aardolieproducten,62.227
Finale consumptie,Industrie sector,Bouw,Alle producten,Aardgas,76.119
Finale consumptie,Industrie sector,Bouw,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Industrie sector,Bouw,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Industrie sector,Bouw,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,Bouw,Alle producten,Warmte,
Finale consumptie,Industrie sector,Bouw,Alle producten,Elektriciteit,84.867
Finale consumptie,Industrie sector,Bouw,Alle producten,,223.213
Finale consumptie,Industrie sector,Textiel en leer,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Industrie sector,Textiel en leer,Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,Textiel en leer,Alle producten,Aardolie en aardolieproducten,1.551
Finale consumptie,Industrie sector,Textiel en leer,Alle producten,Aardgas,79.568
Finale consumptie,Industrie sector,Textiel en leer,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Industrie sector,Textiel en leer,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Industrie sector,Textiel en leer,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,Textiel en leer,Alle producten,Warmte,0.15
Finale consumptie,Industrie sector,Textiel en leer,Alle producten,Elektriciteit,80.834
Finale consumptie,Industrie sector,Textiel en leer,Alle producten,,162.103
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Alle producten,Aardolie en aardolieproducten,25.446
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Alle producten,Aardgas,91.952
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Alle producten,Hernieuwbare energie en biobrandstoffen,10.133
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Alle producten,Warmte,2.754
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Alle producten,Elektriciteit,153.783
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Alle producten,,284.068
Finale consumptie,Industrie sector,,Alle producten,Vaste fossiele brandstoffen,369.068
Finale consumptie,Industrie sector,,Alle producten,Siderurgische gassen,180.261
Finale consumptie,Industrie sector,,Alle producten,Aardolie en aardolieproducten,1459.831
Finale consumptie,Industrie sector,,Alle producten,Aardgas,4080.757
Finale consumptie,Industrie sector,,Alle producten,Hernieuwbare energie en biobrandstoffen,720.573
Finale consumptie,Industrie sector,,Alle producten,Niet-hernieuwbaar afval,118.845
Finale consumptie,Industrie sector,,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,,Alle producten,Warmte,366.774
Finale consumptie,Industrie sector,,Alle producten,Elektriciteit,3287.524
Finale consumptie,Industrie sector,,Alle producten,,10583.633
Finale consumptie,Transport sector,Spoorverkeer,Alle producten,Vaste fossiele brandstoffen,0.058
Finale consumptie,Transport sector,Spoorverkeer,Alle producten,Siderurgische gassen,
Finale consumptie,Transport sector,Spoorverkeer,Alle producten,Aardolie en aardolieproducten,24.649
Finale consumptie,Transport sector,Spoorverkeer,Alle producten,Aardgas,
Finale consumptie,Transport sector,Spoorverkeer,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Transport sector,Spoorverkeer,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Transport sector,Spoorverkeer,Alle producten,Kernenergie,
Finale consumptie,Transport sector,Spoorverkeer,Alle producten,Warmte,
Finale consumptie,Transport sector,Spoorverkeer,Alle producten,Elektriciteit,130.98
Finale consumptie,Transport sector,Spoorverkeer,Alle producten,,155.688
Finale consumptie,Transport sector,Wegverkeer,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Transport sector,Wegverkeer,Alle producten,Siderurgische gassen,
Finale consumptie,Transport sector,Wegverkeer,Alle producten,Aardolie en aardolieproducten,7351.491
Finale consumptie,Transport sector,Wegverkeer,Alle producten,Aardgas,69.576
Finale consumptie,Transport sector,Wegverkeer,Alle producten,Hernieuwbare energie en biobrandstoffen,772.078
Finale consumptie,Transport sector,Wegverkeer,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Transport sector,Wegverkeer,Alle producten,Kernenergie,
Finale consumptie,Transport sector,Wegverkeer,Alle producten,Warmte,
Finale consumptie,Transport sector,Wegverkeer,Alle producten,Elektriciteit,21.874
Finale consumptie,Transport sector,Wegverkeer,Alle producten,,8215.019
Finale consumptie,Transport sector,Binnenlandse luchtvaart,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Transport sector,Binnenlandse luchtvaart,Alle producten,Siderurgische gassen,
Finale consumptie,Transport sector,Binnenlandse luchtvaart,Alle producten,Aardolie en aardolieproducten,3.057
Finale consumptie,Transport sector,Binnenlandse luchtvaart,Alle producten,Aardgas,
Finale consumptie,Transport sector,Binnenlandse luchtvaart,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Transport sector,Binnenlandse luchtvaart,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Transport sector,Binnenlandse luchtvaart,Alle producten,Kernenergie,
Finale consumptie,Transport sector,Binnenlandse luchtvaart,Alle producten,Warmte,
Finale consumptie,Transport sector,Binnenlandse luchtvaart,Alle producten,Elektriciteit,
Finale consumptie,Transport sector,Binnenlandse luchtvaart,Alle producten,,3.057
Finale consumptie,Transport sector,Binnenlandse scheepvaart,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Transport sector,Binnenlandse scheepvaart,Alle producten,Siderurgische gassen,
Finale consumptie,Transport sector,Binnenlandse scheepvaart,Alle producten,Aardolie en aardolieproducten,126.924
Finale consumptie,Transport sector,Binnenlandse scheepvaart,Alle producten,Aardgas,0.515
Finale consumptie,Transport sector,Binnenlandse scheepvaart,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Transport sector,Binnenlandse scheepvaart,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Transport sector,Binnenlandse scheepvaart,Alle producten,Kernenergie,
Finale consumptie,Transport sector,Binnenlandse scheepvaart,Alle producten,Warmte,
Finale consumptie,Transport sector,Binnenlandse scheepvaart,Alle producten,Elektriciteit,
Finale consumptie,Transport sector,Binnenlandse scheepvaart,Alle producten,,127.439
Finale consumptie,Transport sector,Transport via pijpleiding,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Transport sector,Transport via pijpleiding,Alle producten,Siderurgische gassen,
Finale consumptie,Transport sector,Transport via pijpleiding,Alle producten,Aardolie en aardolieproducten,
Finale consumptie,Transport sector,Transport via pijpleiding,Alle producten,Aardgas,26.817
Finale consumptie,Transport sector,Transport via pijpleiding,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Transport sector,Transport via pijpleiding,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Transport sector,Transport via pijpleiding,Alle producten,Kernenergie,
Finale consumptie,Transport sector,Transport via pijpleiding,Alle producten,Warmte,
Finale consumptie,Transport sector,Transport via pijpleiding,Alle producten,Elektriciteit,3.233
Finale consumptie,Transport sector,Transport via pijpleiding,Alle producten,,30.05
Finale consumptie,Transport sector,Niet gespecifieerd Transport,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Transport sector,Niet gespecifieerd Transport,Alle producten,Siderurgische gassen,
Finale consumptie,Transport sector,Niet gespecifieerd Transport,Alle producten,Aardolie en aardolieproducten,0.106
Finale consumptie,Transport sector,Niet gespecifieerd Transport,Alle producten,Aardgas,
Finale consumptie,Transport sector,Niet gespecifieerd Transport,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Transport sector,Niet gespecifieerd Transport,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Transport sector,Niet gespecifieerd Transport,Alle producten,Kernenergie,
Finale consumptie,Transport sector,Niet gespecifieerd Transport,Alle producten,Warmte,
Finale consumptie,Transport sector,Niet gespecifieerd Transport,Alle producten,Elektriciteit,
Finale consumptie,Transport sector,Niet gespecifieerd Transport,Alle producten,,0.106
Finale consumptie,Transport sector,,Alle producten,Vaste fossiele brandstoffen,0.058
Finale consumptie,Transport sector,,Alle producten,Siderurgische gassen,
Finale consumptie,Transport sector,,Alle producten,Aardolie en aardolieproducten,7506.226
Finale consumptie,Transport sector,,Alle producten,Aardgas,96.908
Finale consumptie,Transport sector,,Alle producten,Hernieuwbare energie en biobrandstoffen,772.078
Finale consumptie,Transport sector,,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Transport sector,,Alle producten,Kernenergie,
Finale consumptie,Transport sector,,Alle producten,Warmte,
Finale consumptie,Transport sector,,Alle producten,Elektriciteit,156.088
Finale consumptie,Transport sector,,Alle producten,,8531.358
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Alle producten,Siderurgische gassen,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Alle producten,Aardolie en aardolieproducten,618.812
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Alle producten,Aardgas,1990.363
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Alle producten,Hernieuwbare energie en biobrandstoffen,80.145
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Alle producten,Niet-hernieuwbaar afval,28.662
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Alle producten,Kernenergie,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Alle producten,Warmte,73.395
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Alle producten,Elektriciteit,1752.072
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Alle producten,,4543.449
Finale consumptie,Andere sectoren,Huishoudens,Alle producten,Vaste fossiele brandstoffen,39.092
Finale consumptie,Andere sectoren,Huishoudens,Alle producten,Siderurgische gassen,
Finale consumptie,Andere sectoren,Huishoudens,Alle producten,Aardolie en aardolieproducten,2446.102
Finale consumptie,Andere sectoren,Huishoudens,Alle producten,Aardgas,3599.383
Finale consumptie,Andere sectoren,Huishoudens,Alle producten,Hernieuwbare energie en biobrandstoffen,833.543
Finale consumptie,Andere sectoren,Huishoudens,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Andere sectoren,Huishoudens,Alle producten,Kernenergie,
Finale consumptie,Andere sectoren,Huishoudens,Alle producten,Warmte,14.696
Finale consumptie,Andere sectoren,Huishoudens,Alle producten,Elektriciteit,1656.707
Finale consumptie,Andere sectoren,Huishoudens,Alle producten,,8589.523
Finale consumptie,Andere sectoren,Land- en bosbouw,Alle producten,Vaste fossiele brandstoffen,12.52
Finale consumptie,Andere sectoren,Land- en bosbouw,Alle producten,Siderurgische gassen,
Finale consumptie,Andere sectoren,Land- en bosbouw,Alle producten,Aardolie en aardolieproducten,297.598
Finale consumptie,Andere sectoren,Land- en bosbouw,Alle producten,Aardgas,384.002
Finale consumptie,Andere sectoren,Land- en bosbouw,Alle producten,Hernieuwbare energie en biobrandstoffen,35.036
Finale consumptie,Andere sectoren,Land- en bosbouw,Alle producten,Niet-hernieuwbaar afval,0.239
Finale consumptie,Andere sectoren,Land- en bosbouw,Alle producten,Kernenergie,
Finale consumptie,Andere sectoren,Land- en bosbouw,Alle producten,Warmte,1.084
Finale consumptie,Andere sectoren,Land- en bosbouw,Alle producten,Elektriciteit,139.647
Finale consumptie,Andere sectoren,Land- en bosbouw,Alle producten,,870.127
Finale consumptie,Andere sectoren,Visserij,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Andere sectoren,Visserij,Alle producten,Siderurgische gassen,
Finale consumptie,Andere sectoren,Visserij,Alle producten,Aardolie en aardolieproducten,29.065
Finale consumptie,Andere sectoren,Visserij,Alle producten,Aardgas,
Finale consumptie,Andere sectoren,Visserij,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Andere sectoren,Visserij,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Andere sectoren,Visserij,Alle producten,Kernenergie,
Finale consumptie,Andere sectoren,Visserij,Alle producten,Warmte,
Finale consumptie,Andere sectoren,Visserij,Alle producten,Elektriciteit,
Finale consumptie,Andere sectoren,Visserij,Alle producten,,29.065
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Alle producten,Siderurgische gassen,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Alle producten,Aardolie en aardolieproducten,30.542
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Alle producten,Aardgas,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Alle producten,Hernieuwbare energie en biobrandstoffen,0.088
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Alle producten,Kernenergie,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Alle producten,Warmte,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Alle producten,Elektriciteit,3.852
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Alle producten,,34.482
Finale consumptie,Andere sectoren,,Alle producten,Vaste fossiele brandstoffen,51.613
Finale consumptie,Andere sectoren,,Alle producten,Siderurgische gassen,
Finale consumptie,Andere sectoren,,Alle producten,Aardolie en aardolieproducten,3422.119
Finale consumptie,Andere sectoren,,Alle producten,Aardgas,5973.748
Finale consumptie,Andere sectoren,,Alle producten,Hernieuwbare energie en biobrandstoffen,948.812
Finale consumptie,Andere sectoren,,Alle producten,Niet-hernieuwbaar afval,28.9
Finale consumptie,Andere sectoren,,Alle producten,Kernenergie,
Finale consumptie,Andere sectoren,,Alle producten,Warmte,89.176
Finale consumptie,Andere sectoren,,Alle producten,Elektriciteit,3552.279
Finale consumptie,Andere sectoren,,Alle producten,,14066.647
Finale consumptie,Niet energetisch verbruik,,Alle producten,Vaste fossiele brandstoffen,214.135
Finale consumptie,Niet energetisch verbruik,,Alle producten,Siderurgische gassen,
Finale consumptie,Niet energetisch verbruik,,Alle producten,Aardolie en aardolieproducten,6293.148
Finale consumptie,Niet energetisch verbruik,,Alle producten,Aardgas,1023.888
Finale consumptie,Niet energetisch verbruik,,Alle producten,Hernieuwbare energie en biobrandstoffen,
Finale consumptie,Niet energetisch verbruik,,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Niet energetisch verbruik,,Alle producten,Kernenergie,
Finale consumptie,Niet energetisch verbruik,,Alle producten,Warmte,
Finale consumptie,Niet energetisch verbruik,,Alle producten,Elektriciteit,
Finale consumptie,Niet energetisch verbruik,,Alle producten,,7531.172
Finale consumptie,,,Alle producten,Vaste fossiele brandstoffen,634.875
Finale consumptie,,,Alle producten,Siderurgische gassen,180.261
Finale consumptie,,,Alle producten,Aardolie en aardolieproducten,18681.325
Finale consumptie,,,Alle producten,Aardgas,11175.302
Finale consumptie,,,Alle producten,Hernieuwbare energie en biobrandstoffen,2441.462
Finale consumptie,,,Alle producten,Niet-hernieuwbaar afval,147.745
Finale consumptie,,,Alle producten,Kernenergie,
Finale consumptie,,,Alle producten,Warmte,455.95
Finale consumptie,,,Alle producten,Elektriciteit,6995.89
Finale consumptie,,,Alle producten,,40712.81
Statistisch verschil,,,Alle producten,Vaste fossiele brandstoffen,-43.674
Statistisch verschil,,,Alle producten,Siderurgische gassen,-19.987
Statistisch verschil,,,Alle producten,Aardolie en aardolieproducten,185.426
Statistisch verschil,,,Alle producten,Aardgas,-35.523
Statistisch verschil,,,Alle producten,Hernieuwbare energie en biobrandstoffen,-0.024
Statistisch verschil,,,Alle producten,Niet-hernieuwbaar afval,-0.002
Statistisch verschil,,,Alle producten,Kernenergie,
Statistisch verschil,,,Alle producten,Warmte,0.934
Statistisch verschil,,,Alle producten,Elektriciteit,72.545
Statistisch verschil,,,Alle producten,,159.696
