Jaar,Maand,Productgroep,Product,Gemiddelde prijs incl. BTW
2019,2,Benzines,Benzine 95 RON E10 (€/L),1.401
2019,2,Benzines,Benzine 98 RON E5 (€/L),1.468
2019,2,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.521
2019,2,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.522
2019,3,Benzines,Benzine 95 RON E10 (€/L),1.447
2019,3,Benzines,Benzine 98 RON E5 (€/L),1.52
2019,3,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.536
2019,3,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.543
2019,4,Benzines,Benzine 95 RON E10 (€/L),1.526
2019,4,Benzines,Benzine 98 RON E5 (€/L),1.609
2019,4,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.546
2019,4,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.549
2019,5,Benzines,Benzine 95 RON E10 (€/L),1.558
2019,5,Benzines,Benzine 98 RON E5 (€/L),1.629
2019,5,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.559
2019,5,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.534
2019,6,Benzines,Benzine 95 RON E10 (€/L),1.489
2019,6,Benzines,Benzine 98 RON E5 (€/L),1.53
2019,6,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.497
2019,6,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.477
2019,7,Benzines,Benzine 95 RON E10 (€/L),1.51
2019,7,Benzines,Benzine 98 RON E5 (€/L),1.547
2019,7,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.513
2019,7,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.479
2019,8,Benzines,Benzine 95 RON E10 (€/L),1.473
2019,8,Benzines,Benzine 98 RON E5 (€/L),1.515
2019,8,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.495
2019,8,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.438
2019,9,Benzines,Benzine 95 RON E10 (€/L),1.474
2019,9,Benzines,Benzine 98 RON E5 (€/L),1.521
2019,9,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.526
2019,9,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.477
2019,10,Benzines,Benzine 95 RON E10 (€/L),1.471
2019,10,Benzines,Benzine 98 RON E5 (€/L),1.521
2019,10,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.521
2019,10,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.511
2019,11,Benzines,Benzine 95 RON E10 (€/L),1.474
2019,11,Benzines,Benzine 98 RON E5 (€/L),1.538
2019,11,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.527
2019,11,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.536
2019,12,Benzines,Benzine 95 RON E10 (€/L),1.476
2019,12,Benzines,Benzine 98 RON E5 (€/L),1.542
2019,12,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.538
2019,12,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.552
2020,1,Benzines,Benzine 95 RON E10 (€/L),1.501
2020,1,Benzines,Benzine 98 RON E5 (€/L),1.592
2020,1,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.565
2020,1,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.589
2020,2,Benzines,Benzine 95 RON E10 (€/L),1.458
2020,2,Benzines,Benzine 98 RON E5 (€/L),1.546
2020,2,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.495
2020,2,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.532
2020,3,Benzines,Benzine 95 RON E10 (€/L),1.281
2020,3,Benzines,Benzine 98 RON E5 (€/L),1.358
2020,3,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.359
2020,3,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.432
2020,4,Benzines,Benzine 95 RON E10 (€/L),1.177
2020,4,Benzines,Benzine 98 RON E5 (€/L),1.256
2020,4,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.265
2020,4,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.387
2020,5,Benzines,Benzine 95 RON E10 (€/L),1.251
2020,5,Benzines,Benzine 98 RON E5 (€/L),1.309
2020,5,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.263
2020,5,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.39
2020,6,Benzines,Benzine 95 RON E10 (€/L),1.336
