België,Gewest,Provincie,Arrondissement,Gemeente,Aantal woningen
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,22341
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,21061
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,20652
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Dendermonde,18934
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),18924
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Turnhout,17925
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,17151
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,16557
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,16543
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,16430
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,16321
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,15840
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Lokeren,15730
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Herstal,15614
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,15490
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,15457
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Vilvoorde,15456
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,15392
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Ninove,15366
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,15265
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brasschaat,15082
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Halle (Halle-Vilvoorde),14914
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,14808
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,14676
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,14565
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Ieper,14499
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Mol,14333
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Maasmechelen,14238
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tienen,14114
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,13966
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,13841
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Menen,13737
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schoten,13655
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Geraardsbergen,13502
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,13280
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,13273
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,13219
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,13166
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zaventem,12605
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,12535
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Wevelgem,12525
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Oudenaarde,12518
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Tongeren,12496
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Pieters-Leeuw,12455
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Asse,12401
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,12380
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,12190
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Deinze,12138
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Aat,11833
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,11706
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Heusden-Zolder,11672
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herentals,11529
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,11387
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sambreville,11378
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,11376
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Izegem,11367
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Temse,11332
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,11280
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Harelbeke,11244
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Houthalen-Helchteren,11033
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,10937
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Zottegem,10751
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Koksijde,10721
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,10708
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,10630
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,10579
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,10553
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kapellen (Antwerpen),10496
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Mortsel,10480
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wetteren,10349
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,10283
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Ronse,10226
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Oupeye,10078
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Andenne,9981
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,9926
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),9904
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,9824
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Willebroek,9800
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,9701
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,9646
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Zwevegem,9572
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Scherpenheuvel-Zichem,9512
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,9489
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),9482
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Blankenberge,9468
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,9366
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Tubeke,9290
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Overijse,9274
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Merelbeke,9228
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Middelkerke,9198
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,9149
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Beersel,9148
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,9132
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,9108
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,9021
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,9019
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,8965
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Grâce-Hollogne,8952
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Oostkamp,8941
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,8859
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Eeklo,8847
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Nijlen,8753
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zedelgem,8649
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,8624
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,8597
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Colfontaine,8537
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,8518
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zemst,8459
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Boussu,8444
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,8398
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Koekelberg,8369
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,’s Gravenbrakel,8326
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Torhout,8221
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lochristi,8205
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tervuren,8166
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Tielt (Tielt),8099
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Zele,8091
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kontich,8082
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zoersel,8047
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,7985
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,7983
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zonhoven,7956
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Poperinge,7942
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Aalter,7843
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,7777
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Herent,7750
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,7737
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zwijndrecht,7683
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hoogstraten,7672
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,7635
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Dilsen-Stokkem,7630
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schilde,7611
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,7541
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Lessen,7525
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,7522
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Lebbeke,7437
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,7436
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,7420
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Wervik,7398
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,7379
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,7322
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Diepenbeek,7270
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,7261
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Komen-Waasten,7253
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Walcourt,7235
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Destelbergen,7227
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,7217
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Gillis-Waas,7197
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,7187
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Jemeppe-sur-Sambre,7176
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,7095
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,7068
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Dour,7026
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,7020
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,7020
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,7011
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,6974
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,6959
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Péruwelz,6959
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,6935
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Bredene,6932
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kalmthout,6867
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,6862
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Marche-en-Famenne,6854
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,6744
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Genesius-Rode,6722
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Duffel,6672
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,6641
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Pont-à-Celles,6619
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,6575
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Herve,6565
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,6544
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,6541
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Beerse,6496
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,6454
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Ciney,6438
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Landen,6361
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,6352
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Merchtem,6337
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Soumagne,6335
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,6333
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Lille,6320
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,6248
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,6187
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Peer,6151
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,6090
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,6083
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Thuin,6064
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zulte,6052
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Hannuit,6037
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,De Haan,6036
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wemmel,6028
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Berlare,5998
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,5958
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Ternat,5918
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Dinant,5878
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Brakel,5789
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,5777
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Rumst,5767
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,5756
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,5752
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,5752
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Beernem,5751
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Aartselaar,5741
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Dison,5738
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Genepiën,5678
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Esneux,5672
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,5671
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,5668
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Assenede,5666
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bonheiden,5663
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Beloeil,5661
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Amay,5654
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,5624
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Leuze-en-Hainaut,5612
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Anzegem,5608
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,5585
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,5577
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hamont-Achel,5554
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,5553
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Nieuwpoort,5537
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,5532
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Haacht,5508
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Ham-sur-Heure-Nalinnes,5493
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,5418
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wingene,5408
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Opwijk,5396
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Zelzate,5367
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Jabbeke,5299
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kuurne,5283
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,5241
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Wanze,5225
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,5224
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,5199
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Oosterzele,5173
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kraainem,5133
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wezembeek-Oppem,5093
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Machelen (Halle-Vilvoorde),5085
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,5064
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Arendonk,5047
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,5041
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Blégny,5040
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Geldenaken,5021
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Laarne,5019
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,5019
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,4969
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,4954
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,4927
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,4923
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gavere,4904
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Rochefort,4894
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,4878
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Herk-de-Stad,4871
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,4870
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,4854
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,4848
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Mettet,4844
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Meeuwen-Gruitrode,4840
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,4839
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,4833
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,4828
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,4801
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Bernissart,4795
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,4768
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Zonnebeke,4749
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Graven,4737
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,4687
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,4686
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,4685
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,4663
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,4660
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nevele,4649
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Theux,4634
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,4620
