België,Gewest,Provincie,Arrondissement,Gemeente,Aantal woningen
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Antwerpen,213778
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gent,111016
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,89215
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Luik,88275
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,71801
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Brugge,51183
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Schaarbeek,46501
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,45479
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Leuven,43933
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Elsene,42030
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,41750
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Anderlecht,41264
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),35461
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,34366
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Mechelen,34223
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oostende,34047
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,33172
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Hasselt,32592
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,32442
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kortrijk,31847
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Doornik,30238
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Niklaas (Sint-Niklaas),30100
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,27980
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,24915
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Roeselare,24351
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Genk,24259
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Verviers,23113
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Moeskroen,23074
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),22901
