België,Gewest,Provincie,Arrondissement,Gemeente,Activiteitsgraad 15-64-jarigen
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,0.516
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,0.522
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,0.541
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,0.55
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Elsene,0.554
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Schaarbeek,0.564
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,0.565
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,0.569
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,0.59
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,0.59
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Anderlecht,0.591
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,0.601
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,0.603
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Watermaal-Bosvoorde,0.606
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),0.62
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Koekelberg,0.627
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,0.645
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Agatha-Berchem,0.655
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ganshoren,0.655
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Farciennes,0.554
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,0.579
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,0.594
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Aiseau-Presles,0.615
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,0.624
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,0.625
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,0.625
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,0.626
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fleurus,0.634
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Seneffe,0.664
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,0.664
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Montigny-le-Tilleul,0.671
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Pont-à-Celles,0.675
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Les Bons Villers,0.676
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Colfontaine,0.582
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,0.584
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,0.595
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Boussu,0.598
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quiévrain,0.614
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Dour,0.619
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,0.62
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Hensies,0.622
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Saint-Ghislain,0.631
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Jurbeke,0.649
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,0.661
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Lens,0.682
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quévy,0.686
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,0.614
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Zinnik,0.633
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Lessen,0.666
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,’s Gravenbrakel,0.671
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Le Roeulx,0.673
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Opzullik,0.685
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Ecaussinnes,0.685
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,0.702
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,0.612
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,0.621
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,0.625
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,0.628
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Chimay,0.633
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,0.638
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Erquelinnes,0.643
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,0.646
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Thuin,0.655
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,0.657
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Estinnes,0.658
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Beaumont,0.661
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Ham-sur-Heure-Nalinnes,0.679
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Lobbes,0.685
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Péruwelz,0.625
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Doornik,0.636
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Antoing,0.66
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Estaimpuis,0.672
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Leuze-en-Hainaut,0.674
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Pecq,0.683
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Rumes,0.683
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Brunehaut,0.688
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),0.706
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Mont-de-l’Enclus,0.724
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Komen-Waasten,0.654
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Moeskroen,0.658
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Bernissart,0.64
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Beloeil,0.658
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,0.665
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Vloesberg,0.67
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Aat,0.679
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Elzele,0.684
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Chièvres,0.698
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,0.71
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Luik,0.58
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,0.596
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Saint-Nicolas (Luik),0.603
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Herstal,0.613
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Grâce-Hollogne,0.624
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Flémalle,0.633
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,0.637
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,0.641
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,0.642
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,0.647
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,0.647
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,0.647
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,0.659
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Oupeye,0.66
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,0.66
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Neupré,0.662
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Comblain-au-Pont,0.664
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Esneux,0.665
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Awans,0.671
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,0.681
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Soumagne,0.69
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Bitsingen,0.696
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Blégny,0.699
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Dalhem,0.712
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Dison,0.587
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Verviers,0.589
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,0.614
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,0.641
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,0.654
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,0.655
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,0.664
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Raeren,0.669
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Pepinster,0.672
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Plombières,0.673
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Stavelot,0.681
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,0.683
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,0.683
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,0.686
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Herve,0.686
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,0.692
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,0.693
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,0.693
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Welkenraedt,0.694
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,0.695
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Trois-Ponts,0.697
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,0.701
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,0.701
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,0.703
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Theux,0.705
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,0.712
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,0.714
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,0.715
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Aubel,0.718
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Engis,0.636
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,0.639
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hamoir,0.647
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Amay,0.661
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,0.669
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Wanze,0.679
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,0.685
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,0.686
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ferrières,0.692
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Ouffet,0.694
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Héron,0.697
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Tinlot,0.697
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Villers-Le-Bouillet,0.701
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,0.706
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,0.715
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Clavier,0.717
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,0.717
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Saint-Georges-sur-Meuse,0.646
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,0.676
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Crisnée,0.687
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Hannuit,0.688
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Fexhe-le-Haut-Clocher,0.688
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Wasseiges,0.689
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,0.707
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,0.707
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Oerle,0.712
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,0.712
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Lijsem,0.713
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Berloz,0.717
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Remicourt,0.718
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,0.731
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,0.621
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,0.637
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,0.643
