Industrie (zonder bouw),Belangrijke industriegroepen,Referentiemaand,Basisjaar,Index - Binnenlandse markt
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,Juli 2022,2010,141.92
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,Augustus 2022,2010,143.3
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,September 2022,2010,143.74
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,Oktober 2022,2010,144.9
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,November 2022,2010,146.06
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,December 2022,2010,148.18
Industrie (zonder bouw),Consumptiegoederen,December 2021,2010,127.53
Industrie (zonder bouw),Consumptiegoederen,Januari 2022,2010,130.28
Industrie (zonder bouw),Consumptiegoederen,Februari 2022,2010,131.91
Industrie (zonder bouw),Consumptiegoederen,Maart 2022,2010,134.11
Industrie (zonder bouw),Consumptiegoederen,April 2022,2010,136.53
Industrie (zonder bouw),Consumptiegoederen,Mei 2022,2010,138.03
Industrie (zonder bouw),Consumptiegoederen,Juni 2022,2010,140.39
Industrie (zonder bouw),Consumptiegoederen,Juli 2022,2010,141.7
Industrie (zonder bouw),Consumptiegoederen,Augustus 2022,2010,143.04
Industrie (zonder bouw),Consumptiegoederen,September 2022,2010,143.51
Industrie (zonder bouw),Consumptiegoederen,Oktober 2022,2010,144.61
Industrie (zonder bouw),Consumptiegoederen,November 2022,2010,145.58
Industrie (zonder bouw),Consumptiegoederen,December 2022,2010,147.41
Industrie (zonder bouw),Energie,December 2021,2010,227.89
Industrie (zonder bouw),Energie,Januari 2022,2010,285.57
Industrie (zonder bouw),Energie,Februari 2022,2010,283.51
Industrie (zonder bouw),Energie,Maart 2022,2010,294.33
Industrie (zonder bouw),Energie,April 2022,2010,295.67
Industrie (zonder bouw),Energie,Mei 2022,2010,301.89
Industrie (zonder bouw),Energie,Juni 2022,2010,305.44
Industrie (zonder bouw),Energie,Juli 2022,2010,304.45
