België,Gewest,Provincie,Arrondissement,Bevolking die in het buitenland verbleef
België,Vlaams Gewest,Provincie Antwerpen,,0.156
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.129
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.063
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.086
België,Vlaams Gewest,Provincie Limburg,,0.114
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.401
België,Waals Gewest,Provincie Waals-Brabant,,0.146
België,Waals Gewest,Provincie Henegouwen,,0.11
België,Waals Gewest,Provincie Luik,,0.136
België,Waals Gewest,Provincie Luxemburg,,0.14
België,Waals Gewest,Provincie Namen,,0.088
België,,,,0.145
