België,Gewest,Provincie,Arrondissement,Gebouwen met één woning
België,Vlaams Gewest,Provincie Antwerpen,,0.652
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.799
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.787
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.808
België,Vlaams Gewest,Provincie Limburg,,0.798
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.173
België,Waals Gewest,Provincie Waals-Brabant,,0.777
België,Waals Gewest,Provincie Henegouwen,,0.832
België,Waals Gewest,Provincie Luik,,0.732
België,Waals Gewest,Provincie Luxemburg,,0.83
België,Waals Gewest,Provincie Namen,,0.795
België,,,,0.706
