totaal,Geboorteplaats niveau 1,Totaal,Arbeidsmarktsituatie niveau 1,Bevolking
totaal,Geboren in België,Totaal,Beroepsactief (werkend of werkloos),4141228
totaal,Geboren in België,Totaal,Inactief,5230054
totaal,Geboren in België,Totaal,,9371282
totaal,Geboren in het buitenland,Totaal,Beroepsactief (werkend of werkloos),652176
totaal,Geboren in het buitenland,Totaal,Inactief,865432
totaal,Geboren in het buitenland,Totaal,,1517608
totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",Totaal,Beroepsactief (werkend of werkloos),40608
totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",Totaal,Inactief,70596
totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",Totaal,,111204
totaal,Niet aangegeven,Totaal,Beroepsactief (werkend of werkloos),48
totaal,Niet aangegeven,Totaal,Inactief,496
totaal,Niet aangegeven,Totaal,,544
totaal,,Totaal,Beroepsactief (werkend of werkloos),4834060
totaal,,Totaal,Inactief,6166578
totaal,,Totaal,,11000638
