Totaal,Niveau 1,Jaar,Maand,Consumptieprijsindex
Totaal,7. Vervoer,2022,Juni 2022,127.195
Totaal,7. Vervoer,2022,Juli 2022,128.553
Totaal,7. Vervoer,2022,Augustus 2022,126.862
Totaal,7. Vervoer,2022,September 2022,125.487
Totaal,7. Vervoer,2022,Oktober 2022,127.897
Totaal,7. Vervoer,2022,November 2022,128.428
Totaal,7. Vervoer,2022,December 2022,125.817
Totaal,7. Vervoer,2023,Januari 2023,126.232
Totaal,8. Communicatie,2022,Januari 2022,104.334
Totaal,8. Communicatie,2022,Februari 2022,104.349
Totaal,8. Communicatie,2022,Maart 2022,103.972
Totaal,8. Communicatie,2022,April 2022,102.756
Totaal,8. Communicatie,2022,Mei 2022,103.035
Totaal,8. Communicatie,2022,Juni 2022,104.437
Totaal,8. Communicatie,2022,Juli 2022,104.437
Totaal,8. Communicatie,2022,Augustus 2022,104.562
Totaal,8. Communicatie,2022,September 2022,104.551
Totaal,8. Communicatie,2022,Oktober 2022,103.749
Totaal,8. Communicatie,2022,November 2022,103.819
Totaal,8. Communicatie,2022,December 2022,103.062
Totaal,8. Communicatie,2023,Januari 2023,106.217
Totaal,9. Recreatie en cultuur,2022,Januari 2022,114.791
Totaal,9. Recreatie en cultuur,2022,Februari 2022,115.336
Totaal,9. Recreatie en cultuur,2022,Maart 2022,115.205
Totaal,9. Recreatie en cultuur,2022,April 2022,115.806
Totaal,9. Recreatie en cultuur,2022,Mei 2022,116.873
Totaal,9. Recreatie en cultuur,2022,Juni 2022,117.431
Totaal,9. Recreatie en cultuur,2022,Juli 2022,117.726
Totaal,9. Recreatie en cultuur,2022,Augustus 2022,117.864
Totaal,9. Recreatie en cultuur,2022,September 2022,118.594
Totaal,9. Recreatie en cultuur,2022,Oktober 2022,119.586
Totaal,9. Recreatie en cultuur,2022,November 2022,121.007
Totaal,9. Recreatie en cultuur,2022,December 2022,123.056
Totaal,9. Recreatie en cultuur,2023,Januari 2023,122.905
Totaal,10. Onderwijs,2022,Januari 2022,140.419
Totaal,10. Onderwijs,2022,Februari 2022,140.419
Totaal,10. Onderwijs,2022,Maart 2022,140.419
Totaal,10. Onderwijs,2022,April 2022,140.419
Totaal,10. Onderwijs,2022,Mei 2022,140.419
Totaal,10. Onderwijs,2022,Juni 2022,140.419
Totaal,10. Onderwijs,2022,Juli 2022,140.419
Totaal,10. Onderwijs,2022,Augustus 2022,140.419
Totaal,10. Onderwijs,2022,September 2022,140.419
Totaal,10. Onderwijs,2022,Oktober 2022,142.62
Totaal,10. Onderwijs,2022,November 2022,142.62
Totaal,10. Onderwijs,2022,December 2022,142.62
Totaal,10. Onderwijs,2023,Januari 2023,142.62
Totaal,"11. Hotels, restaurants en cafés",2022,Januari 2022,124.972
Totaal,"11. Hotels, restaurants en cafés",2022,Februari 2022,125.514
Totaal,"11. Hotels, restaurants en cafés",2022,Maart 2022,125.477
Totaal,"11. Hotels, restaurants en cafés",2022,April 2022,127.175
Totaal,"11. Hotels, restaurants en cafés",2022,Mei 2022,127.273
Totaal,"11. Hotels, restaurants en cafés",2022,Juni 2022,128.315
Totaal,"11. Hotels, restaurants en cafés",2022,Juli 2022,130.356
Totaal,"11. Hotels, restaurants en cafés",2022,Augustus 2022,131.644
Totaal,"11. Hotels, restaurants en cafés",2022,September 2022,130.682
Totaal,"11. Hotels, restaurants en cafés",2022,Oktober 2022,131.788
Totaal,"11. Hotels, restaurants en cafés",2022,November 2022,132.31
Totaal,"11. Hotels, restaurants en cafés",2022,December 2022,133.401
Totaal,"11. Hotels, restaurants en cafés",2023,Januari 2023,135.52
Totaal,12. Diverse goederen en diensten,2022,Januari 2022,117.128
Totaal,12. Diverse goederen en diensten,2022,Februari 2022,116.68
Totaal,12. Diverse goederen en diensten,2022,Maart 2022,117.441
Totaal,12. Diverse goederen en diensten,2022,April 2022,118.096
Totaal,12. Diverse goederen en diensten,2022,Mei 2022,118.577
Totaal,12. Diverse goederen en diensten,2022,Juni 2022,118.911
Totaal,12. Diverse goederen en diensten,2022,Juli 2022,119.838
Totaal,12. Diverse goederen en diensten,2022,Augustus 2022,120.369
Totaal,12. Diverse goederen en diensten,2022,September 2022,120.123
Totaal,12. Diverse goederen en diensten,2022,Oktober 2022,120.842
Totaal,12. Diverse goederen en diensten,2022,November 2022,121.269
Totaal,12. Diverse goederen en diensten,2022,December 2022,121.543
Totaal,12. Diverse goederen en diensten,2023,Januari 2023,125.683
Totaal,,2022,Januari 2022,118.32
Totaal,,2022,Februari 2022,119.07
Totaal,,2022,Maart 2022,119.69
Totaal,,2022,April 2022,120.09
Totaal,,2022,Mei 2022,121.01
Totaal,,2022,Juni 2022,122.04
Totaal,,2022,Juli 2022,123.05
Totaal,,2022,Augustus 2022,124.05
Totaal,,2022,September 2022,125.24
Totaal,,2022,Oktober 2022,128.21
Totaal,,2022,November 2022,127.92
Totaal,,2022,December 2022,127.72
Totaal,,2023,Januari 2023,127.84
