Industrie (zonder bouw),Belangrijke industriegroepen,Basisjaar,Referentiemaand,Index - Totale markt
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,December 2021,133.18
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,Januari 2022,136.5
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,Februari 2022,138.37
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,Maart 2022,143.15
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,April 2022,146.8
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,Mei 2022,148.32
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,Juni 2022,150.07
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,Juli 2022,149.48
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,Augustus 2022,150.69
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,September 2022,149.83
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,Oktober 2022,150.17
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,November 2022,150.38
Industrie (zonder bouw),"Totale industrie, zonder energie",2010,December 2022,150.71
Industrie (zonder bouw),Intermediaire goederen en energie,2010,December 2021,176.52
Industrie (zonder bouw),Intermediaire goederen en energie,2010,Januari 2022,196.55
Industrie (zonder bouw),Intermediaire goederen en energie,2010,Februari 2022,198.92
Industrie (zonder bouw),Intermediaire goederen en energie,2010,Maart 2022,209.27
Industrie (zonder bouw),Intermediaire goederen en energie,2010,April 2022,214.73
Industrie (zonder bouw),Intermediaire goederen en energie,2010,Mei 2022,217.78
Industrie (zonder bouw),Intermediaire goederen en energie,2010,Juni 2022,219.89
Industrie (zonder bouw),Intermediaire goederen en energie,2010,Juli 2022,217.13
Industrie (zonder bouw),Intermediaire goederen en energie,2010,Augustus 2022,225.38
Industrie (zonder bouw),Intermediaire goederen en energie,2010,September 2022,230.51
Industrie (zonder bouw),Intermediaire goederen en energie,2010,Oktober 2022,237.01
Industrie (zonder bouw),Intermediaire goederen en energie,2010,November 2022,231.23
Industrie (zonder bouw),Intermediaire goederen en energie,2010,December 2022,229.44
Industrie (zonder bouw),Intermediaire goederen,2010,December 2021,151.76
Industrie (zonder bouw),Intermediaire goederen,2010,Januari 2022,157.46
Industrie (zonder bouw),Intermediaire goederen,2010,Februari 2022,160.59
Industrie (zonder bouw),Intermediaire goederen,2010,Maart 2022,168.85
Industrie (zonder bouw),Intermediaire goederen,2010,April 2022,175.31
Industrie (zonder bouw),Intermediaire goederen,2010,Mei 2022,177.52
Industrie (zonder bouw),Intermediaire goederen,2010,Juni 2022,178.0
Industrie (zonder bouw),Intermediaire goederen,2010,Juli 2022,175.51
Industrie (zonder bouw),Intermediaire goederen,2010,Augustus 2022,176.89
Industrie (zonder bouw),Intermediaire goederen,2010,September 2022,174.14
Industrie (zonder bouw),Intermediaire goederen,2010,Oktober 2022,173.59
Industrie (zonder bouw),Intermediaire goederen,2010,November 2022,173.51
Industrie (zonder bouw),Intermediaire goederen,2010,December 2022,173.27
Industrie (zonder bouw),Investeringsgoederen,2010,December 2021,113.73
Industrie (zonder bouw),Investeringsgoederen,2010,Januari 2022,114.32
Industrie (zonder bouw),Investeringsgoederen,2010,Februari 2022,114.81
Industrie (zonder bouw),Investeringsgoederen,2010,Maart 2022,118.25
Industrie (zonder bouw),Investeringsgoederen,2010,April 2022,119.56
Industrie (zonder bouw),Investeringsgoederen,2010,Mei 2022,120.37
Industrie (zonder bouw),Investeringsgoederen,2010,Juni 2022,119.81
Industrie (zonder bouw),Investeringsgoederen,2010,Juli 2022,119.59
Industrie (zonder bouw),Investeringsgoederen,2010,Augustus 2022,120.41
Industrie (zonder bouw),Investeringsgoederen,2010,September 2022,120.39
Industrie (zonder bouw),Investeringsgoederen,2010,Oktober 2022,120.79
Industrie (zonder bouw),Investeringsgoederen,2010,November 2022,121.1
Industrie (zonder bouw),Investeringsgoederen,2010,December 2022,120.62
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,December 2021,118.31
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,Januari 2022,120.52
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,Februari 2022,121.1
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,Maart 2022,122.3
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,April 2022,124.7
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,Mei 2022,125.47
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,Juni 2022,127.09
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,Juli 2022,128.4
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,Augustus 2022,128.96
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,September 2022,129.47
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,Oktober 2022,129.8
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,November 2022,129.17
Industrie (zonder bouw),Duurzame consumptiegoederen,2010,December 2022,128.59
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,December 2021,121.63
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,Januari 2022,123.84
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,Februari 2022,125.17
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,Maart 2022,126.82
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,April 2022,128.76
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,Mei 2022,129.97
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,Juni 2022,134.64
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,Juli 2022,135.88
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,Augustus 2022,137.17
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,September 2022,137.9
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,Oktober 2022,139.27
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,November 2022,139.81
Industrie (zonder bouw),Niet-duurzame consumptiegoederen,2010,December 2022,141.47
Industrie (zonder bouw),Consumptiegoederen,2010,December 2021,121.41
Industrie (zonder bouw),Consumptiegoederen,2010,Januari 2022,123.62
Industrie (zonder bouw),Consumptiegoederen,2010,Februari 2022,124.9
Industrie (zonder bouw),Consumptiegoederen,2010,Maart 2022,126.52
Industrie (zonder bouw),Consumptiegoederen,2010,April 2022,128.49
Industrie (zonder bouw),Consumptiegoederen,2010,Mei 2022,129.67
Industrie (zonder bouw),Consumptiegoederen,2010,Juni 2022,134.13
Industrie (zonder bouw),Consumptiegoederen,2010,Juli 2022,135.38
Industrie (zonder bouw),Consumptiegoederen,2010,Augustus 2022,136.62
Industrie (zonder bouw),Consumptiegoederen,2010,September 2022,137.34
Industrie (zonder bouw),Consumptiegoederen,2010,Oktober 2022,138.64
Industrie (zonder bouw),Consumptiegoederen,2010,November 2022,139.1
Industrie (zonder bouw),Consumptiegoederen,2010,December 2022,140.61
Industrie (zonder bouw),Energie,2010,December 2021,206.28
Industrie (zonder bouw),Energie,2010,Januari 2022,254.76
Industrie (zonder bouw),Energie,2010,Februari 2022,254.75
Industrie (zonder bouw),Energie,2010,Maart 2022,268.62
Industrie (zonder bouw),Energie,2010,April 2022,269.22
Industrie (zonder bouw),Energie,2010,Mei 2022,275.34
Industrie (zonder bouw),Energie,2010,Juni 2022,280.96
Industrie (zonder bouw),Energie,2010,Juli 2022,278.01
Industrie (zonder bouw),Energie,2010,Augustus 2022,302.13
Industrie (zonder bouw),Energie,2010,September 2022,327.31
Industrie (zonder bouw),Energie,2010,Oktober 2022,352.75
Industrie (zonder bouw),Energie,2010,November 2022,330.77
Industrie (zonder bouw),Energie,2010,December 2022,325.04
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,December 2021,152.34
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,Januari 2022,161.81
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,Februari 2022,163.98
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,Maart 2022,173.83
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,April 2022,178.84
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,Mei 2022,177.11
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,Juni 2022,174.17
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,Juli 2022,166.41
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,Augustus 2022,166.76
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,September 2022,165.65
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,Oktober 2022,162.95
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,November 2022,163.64
Industrie (zonder bouw),Metallurgie en producten van metaal (24-25),2010,December 2022,160.37
Industrie (zonder bouw),Metaalverwerking (25-30),2010,December 2021,119.56
Industrie (zonder bouw),Metaalverwerking (25-30),2010,Januari 2022,119.71
Industrie (zonder bouw),Metaalverwerking (25-30),2010,Februari 2022,120.55
Industrie (zonder bouw),Metaalverwerking (25-30),2010,Maart 2022,123.88
Industrie (zonder bouw),Metaalverwerking (25-30),2010,April 2022,126.61
Industrie (zonder bouw),Metaalverwerking (25-30),2010,Mei 2022,127.71
Industrie (zonder bouw),Metaalverwerking (25-30),2010,Juni 2022,127.33
Industrie (zonder bouw),Metaalverwerking (25-30),2010,Juli 2022,126.83
Industrie (zonder bouw),Metaalverwerking (25-30),2010,Augustus 2022,127.58
Industrie (zonder bouw),Metaalverwerking (25-30),2010,September 2022,128.0
Industrie (zonder bouw),Metaalverwerking (25-30),2010,Oktober 2022,127.2
Industrie (zonder bouw),Metaalverwerking (25-30),2010,November 2022,127.88
Industrie (zonder bouw),Metaalverwerking (25-30),2010,December 2022,127.4
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,December 2021,118.48
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,Januari 2022,119.75
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,Februari 2022,121.45
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,Maart 2022,122.08
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,April 2022,126.56
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,Mei 2022,127.29
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,Juni 2022,128.54
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,Juli 2022,126.77
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,Augustus 2022,126.96
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,September 2022,127.49
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,Oktober 2022,127.36
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,November 2022,128.3
Industrie (zonder bouw),"Vervaardiging van elektrische machines en van audio-, video- en communicatieapparatuur (261-264 + 27)",2010,December 2022,129.22
Industrie (zonder bouw),,2010,December 2021,151.39
Industrie (zonder bouw),,2010,Januari 2022,162.57
Industrie (zonder bouw),,2010,Februari 2022,164.28
Industrie (zonder bouw),,2010,Maart 2022,170.69
Industrie (zonder bouw),,2010,April 2022,174.32
Industrie (zonder bouw),,2010,Mei 2022,176.39
Industrie (zonder bouw),,2010,Juni 2022,178.82
Industrie (zonder bouw),,2010,Juli 2022,177.83
Industrie (zonder bouw),,2010,Augustus 2022,182.5
Industrie (zonder bouw),,2010,September 2022,185.25
Industrie (zonder bouw),,2010,Oktober 2022,188.93
Industrie (zonder bouw),,2010,November 2022,186.37
Industrie (zonder bouw),,2010,December 2022,185.9
