Jaar,Diersoort,Aantal slachtingen,Totaal slachtgewicht
2021,Runderen,766939,247121746
2021,Varkens,11584659,1140002368
2021,Schapen (totaal),121274,2673298
2021,Geiten,22299,384275
2021,Paarden totaal,1531,493627
2021,Gevogelte,303392286,455115385
