Gewest,Provincie,Arrondissement,Jaar,Rubrieken niveau 1,Totale oppervlakte
Waals Gewest,Provincie Luxemburg,,2022,totaal onbebouwde percelen  (1TOT),409678.719
Waals Gewest,Provincie Luxemburg,,2022,totaal bebouwde percelen  (2TOT),17221.057
Waals Gewest,Provincie Luxemburg,,2022,niet genormaliseerde percelen  (3TOT),
Waals Gewest,Provincie Luxemburg,,2022,gekadastreerde oppervlakte  (4TOT),426899.776
Waals Gewest,Provincie Luxemburg,,2022,niet gekadastreerde oppervlakte  (5TOT),19025.388
Waals Gewest,Provincie Luxemburg,,2022,totale oppervlakte  (6TOT),445925.164
Waals Gewest,Provincie Namen,,2022,totaal onbebouwde percelen  (1TOT),326128.118
Waals Gewest,Provincie Namen,,2022,totaal bebouwde percelen  (2TOT),24768.056
Waals Gewest,Provincie Namen,,2022,niet genormaliseerde percelen  (3TOT),
Waals Gewest,Provincie Namen,,2022,gekadastreerde oppervlakte  (4TOT),350896.174
Waals Gewest,Provincie Namen,,2022,niet gekadastreerde oppervlakte  (5TOT),16585.709
Waals Gewest,Provincie Namen,,2022,totale oppervlakte  (6TOT),367481.883
