België,Gewest,Provincie,Arrondissement,Aantal particuliere huishoudens
België,Vlaams Gewest,Provincie Antwerpen,,754676
België,Vlaams Gewest,Provincie Vlaams-Brabant,,448142
België,Vlaams Gewest,Provincie West-Vlaanderen,,501212
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,615307
België,Vlaams Gewest,Provincie Limburg,,339414
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,544529
België,Waals Gewest,Provincie Waals-Brabant,,154382
België,Waals Gewest,Provincie Henegouwen,,573219
België,Waals Gewest,Provincie Luik,,481992
België,Waals Gewest,Provincie Luxemburg,,112474
België,Waals Gewest,Provincie Namen,,202484
België,,,,4727831
