Soort zuivelproduct,Jaar,Hoeveelheid in voorraad
Poeder op basis van andere melkproducten,2020,615083.0
Poeder op basis van andere melkproducten,2021,2180337.0
Gecondenseerde melk (gesuikerd),2012,
Gecondenseerde melk (gesuikerd),2013,1070706.0
Gecondenseerde melk (gesuikerd),2014,540404.0
Gecondenseerde melk (gesuikerd),2015,166385.0
Gecondenseerde melk (gesuikerd),2016,167807.0
Gecondenseerde melk (gesuikerd),2017,172400.0
Gecondenseerde melk (gesuikerd),2018,42886.0
Gecondenseerde melk (gesuikerd),2019,22000.0
Gecondenseerde melk (gesuikerd),2020,255932.0
Gecondenseerde melk (gesuikerd),2021,1218307.0
Kaas,2012,3040620.0
Kaas,2013,12658220.0
Kaas,2014,10834910.0
Kaas,2015,14177983.0
Kaas,2016,11845885.0
Kaas,2017,10992081.0
Kaas,2018,15773839.0
Kaas,2019,16505911.0
Kaas,2020,15249563.0
Kaas,2021,24681840.0
Smeltkaas,2012,
Smeltkaas,2013,1438261.0
Smeltkaas,2014,312590.0
Smeltkaas,2015,1190305.0
Smeltkaas,2016,1228101.0
Smeltkaas,2017,1121909.0
Smeltkaas,2018,965657.0
Smeltkaas,2019,829872.0
Smeltkaas,2020,902555.0
Smeltkaas,2021,1370222.0
Geitenkaas,2012,
Geitenkaas,2013,670074.0
Geitenkaas,2014,690739.0
Geitenkaas,2015,870011.0
Geitenkaas,2016,1009421.0
Geitenkaas,2017,538149.0
Geitenkaas,2018,725572.0
Geitenkaas,2019,1125504.0
Geitenkaas,2020,2659254.0
Geitenkaas,2021,1560436.0
Schapenkaas,2012,
Schapenkaas,2013,86806.0
Schapenkaas,2014,35988.0
Schapenkaas,2015,72200.0
Schapenkaas,2016,66914.0
Schapenkaas,2017,76542.0
Schapenkaas,2018,46018.0
Schapenkaas,2019,58016.0
Schapenkaas,2020,58182.0
Schapenkaas,2021,67296.0
