Sectie,Afdeling,Groep,Referentiemaand,Basisjaar,Index - Binnenlandse markt
B Winning van delfstoffen,08 Overige winning van delfstoffen,,December 2021,2010,138.34
B Winning van delfstoffen,08 Overige winning van delfstoffen,,Januari 2022,2010,140.39
B Winning van delfstoffen,08 Overige winning van delfstoffen,,Februari 2022,2010,143.63
B Winning van delfstoffen,08 Overige winning van delfstoffen,,Maart 2022,2010,147.09
B Winning van delfstoffen,08 Overige winning van delfstoffen,,April 2022,2010,146.72
B Winning van delfstoffen,08 Overige winning van delfstoffen,,Mei 2022,2010,146.85
B Winning van delfstoffen,08 Overige winning van delfstoffen,,Juni 2022,2010,146.86
B Winning van delfstoffen,08 Overige winning van delfstoffen,,Juli 2022,2010,147.28
B Winning van delfstoffen,08 Overige winning van delfstoffen,,Augustus 2022,2010,148.06
B Winning van delfstoffen,08 Overige winning van delfstoffen,,September 2022,2010,149.92
B Winning van delfstoffen,08 Overige winning van delfstoffen,,Oktober 2022,2010,150.07
B Winning van delfstoffen,08 Overige winning van delfstoffen,,November 2022,2010,150.11
B Winning van delfstoffen,08 Overige winning van delfstoffen,,December 2022,2010,149.03
B Winning van delfstoffen,,,December 2021,2010,145.23
B Winning van delfstoffen,,,Januari 2022,2010,147.35
B Winning van delfstoffen,,,Februari 2022,2010,150.7
B Winning van delfstoffen,,,Maart 2022,2010,154.28
B Winning van delfstoffen,,,April 2022,2010,153.9
B Winning van delfstoffen,,,Mei 2022,2010,154.68
B Winning van delfstoffen,,,Juni 2022,2010,154.69
B Winning van delfstoffen,,,Juli 2022,2010,155.13
B Winning van delfstoffen,,,Augustus 2022,2010,155.94
B Winning van delfstoffen,,,September 2022,2010,157.87
B Winning van delfstoffen,,,Oktober 2022,2010,158.03
B Winning van delfstoffen,,,November 2022,2010,158.29
B Winning van delfstoffen,,,December 2022,2010,157.91
C Industrie,13 Vervaardiging van textiel,,December 2021,2010,132.61
C Industrie,13 Vervaardiging van textiel,,Januari 2022,2010,134.38
C Industrie,13 Vervaardiging van textiel,,Februari 2022,2010,136.43
C Industrie,13 Vervaardiging van textiel,,Maart 2022,2010,140.56
C Industrie,13 Vervaardiging van textiel,,April 2022,2010,140.28
C Industrie,13 Vervaardiging van textiel,,Mei 2022,2010,143.57
C Industrie,13 Vervaardiging van textiel,,Juni 2022,2010,146.14
C Industrie,13 Vervaardiging van textiel,,Juli 2022,2010,146.91
C Industrie,13 Vervaardiging van textiel,,Augustus 2022,2010,148.92
C Industrie,13 Vervaardiging van textiel,,September 2022,2010,148.96
C Industrie,13 Vervaardiging van textiel,,Oktober 2022,2010,149.09
