België,Gewest,Provincie,Arrondissement,Gemeente,Totale bevolking
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zemst,21990
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Grâce-Hollogne,21937
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Nijlen,21833
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lochristi,21616
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zoersel,21455
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,21339
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,’s Gravenbrakel,21313
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tervuren,21238
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Hoei,21204
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Frameries,21189
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Edegem,21178
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,21000
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zonhoven,20858
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Zele,20778
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,20739
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kontich,20631
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Herent,20442
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,20362
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Koekelberg,20335
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Eeklo,20324
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Colfontaine,20198
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Boussu,20105
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hoogstraten,20072
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Poperinge,20010
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Torhout,19993
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Dilsen-Stokkem,19868
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Tielt (Tielt),19779
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Aalter,19735
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schilde,19441
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,19420
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,19385
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,19203
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,19158
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Blankenberge,19114
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,19099
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,18989
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Middelkerke,18902
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,18890
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Gillis-Waas,18811
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,18805
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zwijndrecht,18677
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Jemeppe-sur-Sambre,18494
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Lessen,18412
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,18353
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Wervik,18278
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Diepenbeek,18272
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Lebbeke,18267
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,18168
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Walcourt,18114
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Genesius-Rode,17972
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,17965
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,17963
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,17963
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kalmthout,17960
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,17896
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Komen-Waasten,17810
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,17794
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Destelbergen,17672
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,17669
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,17448
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Marche-en-Famenne,17418
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,17244
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,17180
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Herve,17152
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,17124
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Péruwelz,17108
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Beerse,17056
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,17042
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Dour,16943
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Pont-à-Celles,16842
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Duffel,16779
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,16633
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,16592
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,16588
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Bredene,16411
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,16403
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Lille,16395
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Soumagne,16277
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,16250
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,16232
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Peer,16185
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,15994
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,15858
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,15768
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Ciney,15714
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Merchtem,15582
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Landen,15462
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,15439
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Hannuit,15404
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wemmel,15326
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,15275
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,15263
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Beernem,15231
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Dison,15147
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zulte,15130
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,15114
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Ternat,15085
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,15059
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Genepiën,14913
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Rumst,14780
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,14754
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bonheiden,14686
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,14645
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Thuin,14641
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,14606
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Berlare,14588
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,14455
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,14433
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,14400
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Anzegem,14345
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,14344
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Aartselaar,14335
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,14299
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hamont-Achel,14199
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Haacht,14195
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Brakel,14191
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,14183
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,14079
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wingene,14016
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Assenede,13896
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,13889
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,13881
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,13878
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,13795
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Dinant,13780
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Beloeil,13761
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Amay,13727
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wezembeek-Oppem,13715
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Jabbeke,13710
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Machelen (Halle-Vilvoorde),13585
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Leuze-en-Hainaut,13535
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Opwijk,13474
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Geldenaken,13431
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kraainem,13415
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Ham-sur-Heure-Nalinnes,13384
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Oosterzele,13372
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Arendonk,13227
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Blégny,13197
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Esneux,13172
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Wanze,13131
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,13006
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kuurne,12986
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Meeuwen-Gruitrode,12927
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,12924
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Graven,12774
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,12764
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,12749
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,12731
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Mettet,12711
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Zelzate,12582
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,12543
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,12541
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,De Haan,12533
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,12476
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gavere,12457
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,12405
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Rochefort,12403
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Zonnebeke,12317
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,12291
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Herk-de-Stad,12282
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,12232
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,12230
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Laarne,12218
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,12187
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,12092
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,12036
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Theux,12007
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nevele,11953
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boortmeerbeek,11891
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hechtel-Eksel,11886
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,11822
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,11806
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,11794
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,11763
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Bernissart,11729
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,11587
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Veurne,11571
