Alle werknemersklassen,NIS werknemersklasse,Jaar,Alle economische activiteiten,Sectie,Aantal schrappingen
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",1903.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,B Winning van delfstoffen,7.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,C Industrie,3051.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",132.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,91.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,F Bouwnijverheid,10226.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,14677.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,H Vervoer en opslag,2081.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,4562.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,J Informatie en communicatie,3709.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,389.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,1537.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,11807.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,N Administratieve en ondersteunende diensten,4728.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,5.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,P Onderwijs,1570.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,1372.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,"R Kunst, amusement en recreatie",2089.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,S Overige diensten,4456.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,6.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,0.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,Onbekende economische activiteit,13.0
Alle werknemersklassen,Geen werknemer,2021,Alle economische activiteiten,,68411.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",25.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,B Winning van delfstoffen,0.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,C Industrie,114.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",1.0
Alle werknemersklassen,1-4 werknemers,2021,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,1.0
