Nace,Jaar,Gewest,Gebruikt computers,Beschikt over internettoegang,Breedbandaansluiting,Heeft een website,"Gebruikersprofiel, account of licentie op sociale netwerken",Online bestellen of reserveren,Ontvangt bestellingen op web,Ontvangt bestellingen via EDI,Aankoop van cloudcomputingdiensten
Vervoer en opslag,2022,Vlaams Gewest,,,0.929,,,,0.077,0.012,
Vervoer en opslag,2022,Waals Gewest,,,1.0,,,,0.018,0.0,
Vervoer en opslag,2022,Brussels Hoofdstedelijk Gewest,,,1.0,,,,0.167,0.033,
Verschaffen van accommodatie en maaltijden,2019,Vlaams Gewest,0.927,0.896,0.865,0.577,0.642,0.281,0.21,0.035,
Verschaffen van accommodatie en maaltijden,2019,Waals Gewest,0.734,0.645,0.641,0.425,0.54,0.194,0.135,0.009,
Verschaffen van accommodatie en maaltijden,2019,Brussels Hoofdstedelijk Gewest,1.0,0.995,0.863,0.602,0.656,0.355,0.274,0.012,
Verschaffen van accommodatie en maaltijden,2020,Vlaams Gewest,,,0.767,0.625,,0.351,0.161,0.007,0.205
Verschaffen van accommodatie en maaltijden,2020,Waals Gewest,,,0.79,0.423,,0.208,0.171,0.017,0.075
Verschaffen van accommodatie en maaltijden,2020,Brussels Hoofdstedelijk Gewest,,,0.944,0.558,,0.256,0.226,0.012,0.178
Verschaffen van accommodatie en maaltijden,2021,Vlaams Gewest,,,,,0.556,,0.118,0.015,0.324
Verschaffen van accommodatie en maaltijden,2021,Waals Gewest,,,,,0.525,,0.1,0.004,0.253
Verschaffen van accommodatie en maaltijden,2021,Brussels Hoofdstedelijk Gewest,,,,,0.306,,0.046,0.022,0.265
Verschaffen van accommodatie en maaltijden,2022,Vlaams Gewest,,,0.88,,,,0.098,0.032,
Verschaffen van accommodatie en maaltijden,2022,Waals Gewest,,,0.948,,,,0.049,0.004,
Verschaffen van accommodatie en maaltijden,2022,Brussels Hoofdstedelijk Gewest,,,0.779,,,,0.059,0.009,
Informatie en communicatie,2019,Vlaams Gewest,1.0,1.0,1.0,0.974,0.766,0.306,0.262,0.097,
Informatie en communicatie,2019,Waals Gewest,1.0,1.0,1.0,0.887,0.795,0.172,0.375,0.0,
Informatie en communicatie,2019,Brussels Hoofdstedelijk Gewest,1.0,1.0,1.0,0.834,0.708,0.294,0.316,0.016,
Informatie en communicatie,2020,Vlaams Gewest,,,1.0,0.93,,0.146,0.25,0.064,0.845
Informatie en communicatie,2020,Waals Gewest,,,1.0,0.698,,0.033,0.345,0.0,0.55
Informatie en communicatie,2020,Brussels Hoofdstedelijk Gewest,,,1.0,0.826,,0.364,0.351,0.039,0.714
Informatie en communicatie,2021,Vlaams Gewest,,,,,0.643,,0.3,0.093,0.381
Informatie en communicatie,2021,Waals Gewest,,,,,0.579,,0.244,0.05,0.235
Informatie en communicatie,2021,Brussels Hoofdstedelijk Gewest,,,,,0.474,,0.269,0.069,0.274
Informatie en communicatie,2022,Vlaams Gewest,,,0.917,,,,0.324,0.071,
Informatie en communicatie,2022,Waals Gewest,,,0.917,,,,0.228,0.069,
Informatie en communicatie,2022,Brussels Hoofdstedelijk Gewest,,,0.826,,,,0.236,0.079,
Exploitatie van en handel in onroerend goed,2019,Vlaams Gewest,1.0,1.0,1.0,0.809,0.638,0.166,0.251,0.075,
