Gewest,Totaal,Leeftijd (15-24/25-54/55-64),Jaar,Totaal.1,Geslacht,Totaal.2,Onderwijsniveau (ISCED 2011),Totale bevolking
Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Vrouwen,Totaal,,353619.0
Vlaams Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,,Totaal,,723838.75
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Mannen,Totaal,Laag,197622.25
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Mannen,Totaal,Midden,565384.25
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Mannen,Totaal,Hoog,516318.25
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Mannen,Totaal,,1279324.75
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Vrouwen,Totaal,Laag,148094.0
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Vrouwen,Totaal,Midden,450401.25
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Vrouwen,Totaal,Hoog,667416.5
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Vrouwen,Totaal,,1265911.75
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,,Totaal,,2545236.5
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Mannen,Totaal,Laag,168169.5
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Mannen,Totaal,Midden,560101.0
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Mannen,Totaal,Hoog,549807.5
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Mannen,Totaal,,1278078.0
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Vrouwen,Totaal,Laag,141765.25
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Vrouwen,Totaal,Midden,428210.25
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Vrouwen,Totaal,Hoog,695512.25
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Vrouwen,Totaal,,1265487.5
Vlaams Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,,Totaal,,2543565.5
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Mannen,Totaal,Laag,134631.0
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Mannen,Totaal,Midden,177891.75
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Mannen,Totaal,Hoog,147765.5
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Mannen,Totaal,,460288.0
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Vrouwen,Totaal,Laag,132581.75
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Vrouwen,Totaal,Midden,178335.5
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Vrouwen,Totaal,Hoog,145886.5
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Vrouwen,Totaal,,456803.75
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,,Totaal,,917091.75
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Mannen,Totaal,Laag,123251.0
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Mannen,Totaal,Midden,178064.5
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Mannen,Totaal,Hoog,163530.0
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Mannen,Totaal,,464845.5
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Vrouwen,Totaal,Laag,117818.25
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Vrouwen,Totaal,Midden,176020.5
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Vrouwen,Totaal,Hoog,166534.0
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,Vrouwen,Totaal,,460372.75
Vlaams Gewest,Totaal,Van 55 tot 64 jaar,2021,Totaal,,Totaal,,925218.25
Vlaams Gewest,Totaal,,2020,Totaal,Mannen,Totaal,Laag,502040.0
Vlaams Gewest,Totaal,,2020,Totaal,Mannen,Totaal,Midden,888806.75
Vlaams Gewest,Totaal,,2020,Totaal,Mannen,Totaal,Hoog,715843.75
Vlaams Gewest,Totaal,,2020,Totaal,Mannen,Totaal,,2106690.5
Vlaams Gewest,Totaal,,2020,Totaal,Vrouwen,Totaal,Laag,428219.75
Vlaams Gewest,Totaal,,2020,Totaal,Vrouwen,Totaal,Midden,761080.25
Vlaams Gewest,Totaal,,2020,Totaal,Vrouwen,Totaal,Hoog,884669.5
Vlaams Gewest,Totaal,,2020,Totaal,Vrouwen,Totaal,,2073969.25
Vlaams Gewest,Totaal,,2020,Totaal,,Totaal,,4180659.75
Vlaams Gewest,Totaal,,2021,Totaal,Mannen,Totaal,Laag,443678.0
Vlaams Gewest,Totaal,,2021,Totaal,Mannen,Totaal,Midden,904100.25
Vlaams Gewest,Totaal,,2021,Totaal,Mannen,Totaal,Hoog,765365.0
Vlaams Gewest,Totaal,,2021,Totaal,Mannen,Totaal,,2113143.25
Vlaams Gewest,Totaal,,2021,Totaal,Vrouwen,Totaal,Laag,392888.25
Vlaams Gewest,Totaal,,2021,Totaal,Vrouwen,Totaal,Midden,747619.0
Vlaams Gewest,Totaal,,2021,Totaal,Vrouwen,Totaal,Hoog,938972.0
Vlaams Gewest,Totaal,,2021,Totaal,Vrouwen,Totaal,,2079479.25
Vlaams Gewest,Totaal,,2021,Totaal,,Totaal,,4192622.5
Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Mannen,Totaal,Laag,119789.75
Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Mannen,Totaal,Midden,83325.75
Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Mannen,Totaal,Hoog,19589.0
Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Mannen,Totaal,,222704.5
Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Vrouwen,Totaal,Laag,101303.25
Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Vrouwen,Totaal,Midden,79054.5
Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Vrouwen,Totaal,Hoog,33788.75
Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,Vrouwen,Totaal,,214146.5
Waals Gewest,Totaal,Van 15 tot 24 jaar,2020,Totaal,,Totaal,,436851.0
Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Mannen,Totaal,Laag,108526.5
Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Mannen,Totaal,Midden,92633.5
Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Mannen,Totaal,Hoog,22608.75
Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Mannen,Totaal,,223768.5
Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Vrouwen,Totaal,Laag,88536.75
Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Vrouwen,Totaal,Midden,90331.75
Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Vrouwen,Totaal,Hoog,36231.0
Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,Vrouwen,Totaal,,215099.5
Waals Gewest,Totaal,Van 15 tot 24 jaar,2021,Totaal,,Totaal,,438868.0
Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Mannen,Totaal,Laag,151161.75
Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Mannen,Totaal,Midden,300446.5
Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Mannen,Totaal,Hoog,251151.75
Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Mannen,Totaal,,702760.25
Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Vrouwen,Totaal,Laag,112349.25
Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Vrouwen,Totaal,Midden,241891.5
Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Vrouwen,Totaal,Hoog,347981.25
Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,Vrouwen,Totaal,,702221.75
Waals Gewest,Totaal,Van 25 tot 54 jaar,2020,Totaal,,Totaal,,1404982.0
Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Mannen,Totaal,Laag,139015.75
Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Mannen,Totaal,Midden,297489.5
Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Mannen,Totaal,Hoog,265369.0
Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Mannen,Totaal,,701874.25
Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Vrouwen,Totaal,Laag,106459.75
Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Vrouwen,Totaal,Midden,239426.5
Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Vrouwen,Totaal,Hoog,355494.25
Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,Vrouwen,Totaal,,701380.5
Waals Gewest,Totaal,Van 25 tot 54 jaar,2021,Totaal,,Totaal,,1403254.75
Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Mannen,Totaal,Laag,80496.25
Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Mannen,Totaal,Midden,86864.5
Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Mannen,Totaal,Hoog,69405.25
Waals Gewest,Totaal,Van 55 tot 64 jaar,2020,Totaal,Mannen,Totaal,,236766.0
