Sectie,Jaar,Trimester,Investeringen
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2019,3de kwartaal 2019,1509788
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2019,4de kwartaal 2019,1868776
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2020,1ste kwartaal 2020,1335596
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2020,2de kwartaal 2020,1074916
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2020,3de kwartaal 2020,1261415
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2020,4de kwartaal 2020,1826213
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,1ste kwartaal 2021,1335303
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,2de kwartaal 2021,1604384
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,3de kwartaal 2021,1436790
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2021,4de kwartaal 2021,1760608
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,1ste kwartaal 2022,1602854
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,2de kwartaal 2022,1646073
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,3de kwartaal 2022,1508593
H Vervoer en opslag,2019,1ste kwartaal 2019,884926
H Vervoer en opslag,2019,2de kwartaal 2019,1060749
H Vervoer en opslag,2019,3de kwartaal 2019,977465
H Vervoer en opslag,2019,4de kwartaal 2019,1329506
H Vervoer en opslag,2020,1ste kwartaal 2020,994200
H Vervoer en opslag,2020,2de kwartaal 2020,911572
H Vervoer en opslag,2020,3de kwartaal 2020,887463
H Vervoer en opslag,2020,4de kwartaal 2020,1299956
H Vervoer en opslag,2021,1ste kwartaal 2021,1262681
H Vervoer en opslag,2021,2de kwartaal 2021,1082488
H Vervoer en opslag,2021,3de kwartaal 2021,1140956
H Vervoer en opslag,2021,4de kwartaal 2021,1392931
H Vervoer en opslag,2022,1ste kwartaal 2022,1121757
H Vervoer en opslag,2022,2de kwartaal 2022,1307900
H Vervoer en opslag,2022,3de kwartaal 2022,1163675
I Verschaffen van accommodatie en maaltijden,2019,1ste kwartaal 2019,311816
I Verschaffen van accommodatie en maaltijden,2019,2de kwartaal 2019,332903
I Verschaffen van accommodatie en maaltijden,2019,3de kwartaal 2019,298349
I Verschaffen van accommodatie en maaltijden,2019,4de kwartaal 2019,397299
I Verschaffen van accommodatie en maaltijden,2020,1ste kwartaal 2020,269138
I Verschaffen van accommodatie en maaltijden,2020,2de kwartaal 2020,235677
I Verschaffen van accommodatie en maaltijden,2020,3de kwartaal 2020,236241
I Verschaffen van accommodatie en maaltijden,2020,4de kwartaal 2020,287675
I Verschaffen van accommodatie en maaltijden,2021,1ste kwartaal 2021,220405
I Verschaffen van accommodatie en maaltijden,2021,2de kwartaal 2021,281018
I Verschaffen van accommodatie en maaltijden,2021,3de kwartaal 2021,274413
I Verschaffen van accommodatie en maaltijden,2021,4de kwartaal 2021,410699
I Verschaffen van accommodatie en maaltijden,2022,1ste kwartaal 2022,304060
I Verschaffen van accommodatie en maaltijden,2022,2de kwartaal 2022,384017
I Verschaffen van accommodatie en maaltijden,2022,3de kwartaal 2022,321776
J Informatie en communicatie,2019,1ste kwartaal 2019,501472
J Informatie en communicatie,2019,2de kwartaal 2019,537727
J Informatie en communicatie,2019,3de kwartaal 2019,538033
J Informatie en communicatie,2019,4de kwartaal 2019,649175
J Informatie en communicatie,2020,1ste kwartaal 2020,558250
