Jaar,Trimester,Maand,HICP-Indexcijfer,Inflatie (HICP),HICP-Indexcijfer met vaste belastingstarieven,Inflatie (HICP met vaste belastingstarieven)
2021,1ste kwartaal 2021,Januari 2021,107.825,0.006,106.545,0.007
2021,1ste kwartaal 2021,Februari 2021,109.084,0.003,107.413,0.001
2021,1ste kwartaal 2021,Maart 2021,110.066,0.016,108.389,0.014
2021,2de kwartaal 2021,April 2021,110.321,0.021,108.635,0.018
2021,2de kwartaal 2021,Mei 2021,110.619,0.025,109.302,0.026
2021,2de kwartaal 2021,Juni 2021,111.106,0.026,109.787,0.027
2021,3de kwartaal 2021,Juli 2021,110.582,0.014,109.263,0.011
2021,3de kwartaal 2021,Augustus 2021,112.414,0.047,111.087,0.044
2021,3de kwartaal 2021,September 2021,112.352,0.038,111.025,0.035
2021,4de kwartaal 2021,Oktober 2021,114.334,0.054,112.596,0.048
2021,4de kwartaal 2021,November 2021,115.946,0.071,114.193,0.064
2021,4de kwartaal 2021,December 2021,115.929,0.066,114.175,0.059
2022,1ste kwartaal 2022,Januari 2022,116.986,0.085,115.228,0.082
2022,1ste kwartaal 2022,Februari 2022,119.495,0.095,117.685,0.096
2022,1ste kwartaal 2022,Maart 2022,120.283,0.093,119.136,0.099
2022,2de kwartaal 2022,April 2022,120.612,0.093,120.334,0.108
2022,2de kwartaal 2022,Mei 2022,121.611,0.099,121.329,0.11
2022,2de kwartaal 2022,Juni 2022,122.822,0.105,122.36,0.114
2022,3de kwartaal 2022,Juli 2022,122.032,0.104,121.597,0.113
2022,3de kwartaal 2022,Augustus 2022,124.24,0.105,123.912,0.115
2022,3de kwartaal 2022,September 2022,125.899,0.121,125.695,0.132
2022,4de kwartaal 2022,Oktober 2022,129.303,0.131,129.278,0.148
2022,4de kwartaal 2022,November 2022,128.066,0.105,127.724,0.118
2022,4de kwartaal 2022,December 2022,127.766,0.102,127.483,0.117
