Niveau 1,Jaar,Trimester,Bruto index
I Verschaffen van accommodatie en maaltijden,2021,4de kwartaal 2021,127.523
I Verschaffen van accommodatie en maaltijden,2022,1ste kwartaal 2022,116.469
I Verschaffen van accommodatie en maaltijden,2022,2de kwartaal 2022,152.697
I Verschaffen van accommodatie en maaltijden,2022,3de kwartaal 2022,157.793
J58 Uitgeverijen,2018,,83.756
J58 Uitgeverijen,2019,,74.83
J58 Uitgeverijen,2020,,72.955
J58 Uitgeverijen,2021,1ste kwartaal 2021,72.063
J58 Uitgeverijen,2021,2de kwartaal 2021,77.182
J58 Uitgeverijen,2021,3de kwartaal 2021,75.675
J58 Uitgeverijen,2021,4de kwartaal 2021,87.93
J58 Uitgeverijen,2022,1ste kwartaal 2022,73.343
J58 Uitgeverijen,2022,2de kwartaal 2022,80.622
J58 Uitgeverijen,2022,3de kwartaal 2022,76.183
"J59 Productie van films en video- en televisieprogramma’s, maken van geluidsopnamen en uitgeverijen van muziekopnamen",2018,,105.808
"J59 Productie van films en video- en televisieprogramma’s, maken van geluidsopnamen en uitgeverijen van muziekopnamen",2019,,104.836
"J59 Productie van films en video- en televisieprogramma’s, maken van geluidsopnamen en uitgeverijen van muziekopnamen",2020,,77.22
"J59 Productie van films en video- en televisieprogramma’s, maken van geluidsopnamen en uitgeverijen van muziekopnamen",2021,1ste kwartaal 2021,66.302
"J59 Productie van films en video- en televisieprogramma’s, maken van geluidsopnamen en uitgeverijen van muziekopnamen",2021,2de kwartaal 2021,74.804
"J59 Productie van films en video- en televisieprogramma’s, maken van geluidsopnamen en uitgeverijen van muziekopnamen",2021,3de kwartaal 2021,101.042
"J59 Productie van films en video- en televisieprogramma’s, maken van geluidsopnamen en uitgeverijen van muziekopnamen",2021,4de kwartaal 2021,136.472
"J59 Productie van films en video- en televisieprogramma’s, maken van geluidsopnamen en uitgeverijen van muziekopnamen",2022,1ste kwartaal 2022,101.445
"J59 Productie van films en video- en televisieprogramma’s, maken van geluidsopnamen en uitgeverijen van muziekopnamen",2022,2de kwartaal 2022,118.492
"J59 Productie van films en video- en televisieprogramma’s, maken van geluidsopnamen en uitgeverijen van muziekopnamen",2022,3de kwartaal 2022,125.214
"J60 Uitzending van radio- en televisieprogramma’s, abonneetelevisie",2018,,99.904
"J60 Uitzending van radio- en televisieprogramma’s, abonneetelevisie",2019,,113.872
"J60 Uitzending van radio- en televisieprogramma’s, abonneetelevisie",2020,,111.048
"J60 Uitzending van radio- en televisieprogramma’s, abonneetelevisie",2021,1ste kwartaal 2021,96.919
"J60 Uitzending van radio- en televisieprogramma’s, abonneetelevisie",2021,2de kwartaal 2021,103.264
"J60 Uitzending van radio- en televisieprogramma’s, abonneetelevisie",2021,3de kwartaal 2021,100.236
"J60 Uitzending van radio- en televisieprogramma’s, abonneetelevisie",2021,4de kwartaal 2021,145.952
"J60 Uitzending van radio- en televisieprogramma’s, abonneetelevisie",2022,1ste kwartaal 2022,100.093
