Gebouwtype,Gewest,Jaar,Semester,Mediaanprijs
"appartementen, flats, studio’s",Vlaams Gewest,1992,,57016.0
"appartementen, flats, studio’s",Vlaams Gewest,2000,,79326.0
"appartementen, flats, studio’s",Vlaams Gewest,2005,,126000.0
"appartementen, flats, studio’s",Vlaams Gewest,2010,,173525.0
"appartementen, flats, studio’s",Vlaams Gewest,2015,,200000.0
"appartementen, flats, studio’s",Vlaams Gewest,2017,,195000.0
"appartementen, flats, studio’s",Vlaams Gewest,2018,1ste semester 2018,197500.0
"appartementen, flats, studio’s",Brussels Hoofdstedelijk Gewest,1992,,61973.0
"appartementen, flats, studio’s",Brussels Hoofdstedelijk Gewest,2000,,74368.0
"appartementen, flats, studio’s",Brussels Hoofdstedelijk Gewest,2005,,132000.0
"appartementen, flats, studio’s",Brussels Hoofdstedelijk Gewest,2010,,170000.0
"appartementen, flats, studio’s",Brussels Hoofdstedelijk Gewest,2015,,195000.0
"appartementen, flats, studio’s",Brussels Hoofdstedelijk Gewest,2017,,205000.0
"appartementen, flats, studio’s",Brussels Hoofdstedelijk Gewest,2018,1ste semester 2018,210000.0
"appartementen, flats, studio’s",Waals Gewest,1992,,47224.0
"appartementen, flats, studio’s",Waals Gewest,2000,,64452.0
"appartementen, flats, studio’s",Waals Gewest,2005,,95000.0
"appartementen, flats, studio’s",Waals Gewest,2010,,138818.5
"appartementen, flats, studio’s",Waals Gewest,2015,,152500.0
"appartementen, flats, studio’s",Waals Gewest,2017,,157000.0
"appartementen, flats, studio’s",Waals Gewest,2018,1ste semester 2018,155000.0
