Gewest,Provincie,Arrondissement,Gemeente,Sex ratio
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Nieuwpoort,102.307
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,102.303
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,102.299
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,102.297
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,102.292
Waals Gewest,Provincie Namen,Arrondissement Namen,Ohey,102.283
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Avelgem,102.28
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,102.279
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Diest,102.266
Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Incourt,102.245
Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Momignies,102.224
Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Libin,102.209
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Beerse,102.205
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,102.199
Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,102.189
Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,102.183
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Turnhout,102.174
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oudenburg,102.164
Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,102.155
Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Berlaar,102.114
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Galmaarden,102.112
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,102.111
Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,102.106
Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,102.084
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Wervik,102.012
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boortmeerbeek,101.987
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Hamme (Dendermonde),101.985
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Poperinge,101.978
Waals Gewest,Provincie Namen,Arrondissement Namen,Fernelmont,101.977
Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Frasnes-lez-Anvaing,101.976
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Herk-de-Stad,101.973
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,101.968
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,101.968
Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Honnelles,101.967
Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Hélécine,101.949
Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Tellin,101.939
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,101.922
Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Neufchâteau (Neufchâteau),101.907
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),101.898
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Aartselaar,101.873
Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Daverdisse,101.868
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brecht,101.834
Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,101.832
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,101.818
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Wachtebeke,101.813
Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Itter,101.812
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,101.786
Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,101.758
Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Brugelette,101.734
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Houthulst,101.714
Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,101.705
Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Nijlen,101.691
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Antwerpen,101.654
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Tielt (Tielt),101.641
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Gistel,101.64
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,101.598
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,101.579
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lochristi,101.567
Waals Gewest,Provincie Namen,Arrondissement Namen,Gembloux,101.553
Waals Gewest,Provincie Namen,Arrondissement Dinant,Onhaye,101.545
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,101.515
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Wevelgem,101.509
Waals Gewest,Provincie Namen,Arrondissement Philippeville,Florennes,101.505
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Nevele,101.5
Waals Gewest,Provincie Namen,Arrondissement Philippeville,Philippeville,101.491
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kluisbergen,101.49
Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Chiny,101.486
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Scherpenheuvel-Zichem,101.47
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,101.425
Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Tenneville,101.422
Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,101.399
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Lendelede,101.389
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,101.388
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Maasmechelen,101.38
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Rumst,101.362
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Oostkamp,101.357
Waals Gewest,Provincie Luik,Arrondissement Hoei,Modave,101.325
Waals Gewest,Provincie Luik,Arrondissement Hoei,Verlaine,101.215
Waals Gewest,Provincie Luik,Arrondissement Borgworm,Fexhe-le-Haut-Clocher,101.201
Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,101.178
Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Meix-devant-Virton,101.176
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Zwevegem,101.158
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Borgloon,101.152
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zedelgem,101.142
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,101.116
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zonhoven,101.099
Waals Gewest,Provincie Luik,Arrondissement Hoei,Anthisnes,101.084
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Lint,101.067
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Hoeselt,100.962
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Oosterzele,100.962
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Assenede,100.954
Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Bevekom,100.954
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Leuven,100.938
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,100.918
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Waarschoot,100.911
Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,100.853
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,100.852
Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Opzullik,100.837
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,100.829
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herenthout,100.804
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Halen,100.803
Waals Gewest,Provincie Luik,Arrondissement Verviers,Plombières,100.771
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,100.757
Waals Gewest,Provincie Namen,Arrondissement Namen,Gesves,100.744
Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,100.717
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Mol,100.715
Waals Gewest,Provincie Namen,Arrondissement Dinant,Somme-Leuze,100.687
Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,100.677
Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Saint-Hubert,100.668
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Moorslede,100.665
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,100.662
Waals Gewest,Provincie Luik,Arrondissement Verviers,Stoumont,100.625
Waals Gewest,Provincie Luik,Arrondissement Verviers,Baelen,100.613
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Oud-Heverlee,100.583
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tielt-Winge,100.577
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Gooik,100.55
Waals Gewest,Provincie Luik,Arrondissement Verviers,Lontzen,100.512
Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Hotton,100.501
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,100.501
Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Sivry-Rance,100.493
Waals Gewest,Provincie Luik,Arrondissement Verviers,Limburg,100.485
Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Habay,100.463
Waals Gewest,Provincie Luik,Arrondissement Hoei,Marchin,100.459
Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,100.447
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,100.425
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,100.407
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,100.403
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Baarle-Hertog,100.385
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Heusden-Zolder,100.381
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Aalter,100.376
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Ham,100.366
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,100.345
Waals Gewest,Provincie Luik,Arrondissement Verviers,Jalhay,100.314
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boutersem,100.312
Waals Gewest,Provincie Namen,Arrondissement Namen,Assesse,100.301
Waals Gewest,Provincie Namen,Arrondissement Philippeville,Cerfontaine,100.29
Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Walhain,100.28
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Torhout,100.271
Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Messancy,100.229
Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Celles (Doornik),100.219
Waals Gewest,Provincie Luik,Arrondissement Hoei,Ferrières,100.212
Waals Gewest,Provincie Luik,Arrondissement Verviers,Thimister-Clermont,100.147
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,100.132
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Harelbeke,100.127
Waals Gewest,Provincie Luik,Arrondissement Verviers,Stavelot,100.116
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Moerbeke (Gent),100.099
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenaken,100.077
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Anzegem,100.014
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Ingelmunster,100.0
Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Paliseul,100.0
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),99.97
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,99.958
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Zonnebeke,99.919
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,99.877
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,99.871
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,99.855
Waals Gewest,Provincie Luik,Arrondissement Verviers,Olne,99.843
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Bredene,99.842
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,99.838
Waals Gewest,Provincie Namen,Arrondissement Dinant,Bièvre,99.748
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Staden,99.745
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,99.741
Waals Gewest,Provincie Luik,Arrondissement Luik,Trooz,99.738
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,99.728
Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vielsalm,99.682
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Meerhout,99.654
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Maaseik,99.637
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Maldegem,99.62
Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,99.581
Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,99.577
Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Etalle,99.573
Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Mont-de-l’Enclus,99.548
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Lichtervelde,99.531
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Holsbeek,99.507
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,99.503
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wielsbeke,99.5
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,99.481
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,99.475
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Houthalen-Helchteren,99.474
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Geetbets,99.462
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Wellen,99.46
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,99.439
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Wortegem-Petegem,99.429
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Kortessem,99.426
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,99.421
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Glabbeek,99.399
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,99.399
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Meulebeke,99.353
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Zele,99.329
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,99.297
Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Vaux-sur-Sûre,99.262
Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,99.26
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Dilsen-Stokkem,99.218
Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Merbes-le-Château,99.209
Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,99.203
Waals Gewest,Provincie Luik,Arrondissement Hoei,Ouffet,99.195
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Grobbendonk,99.171
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,99.16
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,99.156
Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,99.053
Waals Gewest,Provincie Luik,Arrondissement Verviers,Sankt Vith,99.047
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Dentergem,99.018
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vosselaar,98.958
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zutendaal,98.931
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Westerlo,98.9
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,98.896
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,98.78
Waals Gewest,Provincie Namen,Arrondissement Dinant,Hamois,98.762
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,98.711
Waals Gewest,Provincie Luik,Arrondissement Verviers,Weismes,98.704
Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Sainte-Ode,98.698
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vorselaar,98.686
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,As,98.662
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Diepenbeek,98.652
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zulte,98.635
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,98.521
Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,98.5
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,98.491
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Jabbeke,98.466
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Arendonk,98.455
Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,98.451
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Alken,98.437
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Pittem,98.409
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Dessel,98.337
Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Martelange,98.282
Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Froidchapelle,98.268
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Langemark-Poelkapelle,98.208
Waals Gewest,Provincie Luik,Arrondissement Luik,Juprelle,98.159
Waals Gewest,Provincie Luik,Arrondissement Verviers,Burg-Reuland,98.156
Waals Gewest,Provincie Luik,Arrondissement Verviers,Lierneux,97.956
Waals Gewest,Provincie Namen,Arrondissement Namen,Fosses-la-Ville,97.882
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kruishoutem,97.819
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hamont-Achel,97.703
Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,97.677
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Vleteren,97.555
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Lille,97.53
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,97.502
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Rijkevorsel,97.499
Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Nassogne,97.497
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Knesselare,97.42
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Peer,97.378
Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Houffalize,97.371
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Voeren,97.368
Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Léglise,97.347
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,97.309
Waals Gewest,Provincie Namen,Arrondissement Dinant,Hastière,97.283
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Retie,97.181
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,97.176
Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Gouvy,97.149
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hechtel-Eksel,97.082
Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Erezée,97.029
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Zelzate,96.932
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Hooglede,96.861
Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,96.781
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,96.748
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Lanaken,96.741
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,96.73
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wingene,96.605
Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Sint-Laureins,96.459
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,96.015
Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Manhay,95.902
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Meeuwen-Gruitrode,95.656
Waals Gewest,Provincie Luik,Arrondissement Verviers,Amel,95.402
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Beernem,95.194
Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Kinrooi,95.188
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hoogstraten,94.893
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Alveringem,94.89
Waals Gewest,Provincie Luik,Arrondissement Verviers,Büllingen,94.889
Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Heuvelland,94.72
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,93.079
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,92.26
Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Merksplas,90.289
Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,80.851
