Karakteristieken,Jaar,Land,Armoederisico (AR)
Totaal,2018,België,0.164
Mannen,2018,België,0.156
Vrouwen,2018,België,0.171
0-15,2018,België,0.199
16-24,2018,België,0.205
25-49,2018,België,0.143
50-64,2018,België,0.145
65+,2018,België,0.166
