Gewest,Provincie,Arrondissement,Rubrieken niveau 1,Jaar,Totaal kadastraal inkomen
Vlaams Gewest,Provincie Vlaams-Brabant,,niet genormaliseerde percelen  (3TOT),1982,
Vlaams Gewest,Provincie Vlaams-Brabant,,niet genormaliseerde percelen  (3TOT),1990,
Vlaams Gewest,Provincie Vlaams-Brabant,,niet genormaliseerde percelen  (3TOT),2000,2793.76
Vlaams Gewest,Provincie Vlaams-Brabant,,niet genormaliseerde percelen  (3TOT),2005,2788.0
Vlaams Gewest,Provincie Vlaams-Brabant,,niet genormaliseerde percelen  (3TOT),2010,
Vlaams Gewest,Provincie Vlaams-Brabant,,niet genormaliseerde percelen  (3TOT),2015,
Vlaams Gewest,Provincie Vlaams-Brabant,,niet genormaliseerde percelen  (3TOT),2020,
Vlaams Gewest,Provincie Vlaams-Brabant,,gekadastreerde oppervlakte  (4TOT),1982,
Vlaams Gewest,Provincie Vlaams-Brabant,,gekadastreerde oppervlakte  (4TOT),1990,562986968.237
Vlaams Gewest,Provincie Vlaams-Brabant,,gekadastreerde oppervlakte  (4TOT),2000,724731790.361
Vlaams Gewest,Provincie Vlaams-Brabant,,gekadastreerde oppervlakte  (4TOT),2005,789169706.0
Vlaams Gewest,Provincie Vlaams-Brabant,,gekadastreerde oppervlakte  (4TOT),2010,838010282.0
Vlaams Gewest,Provincie Vlaams-Brabant,,gekadastreerde oppervlakte  (4TOT),2015,884220119.0
Vlaams Gewest,Provincie Vlaams-Brabant,,gekadastreerde oppervlakte  (4TOT),2020,932148218.0
Vlaams Gewest,Provincie Vlaams-Brabant,,niet gekadastreerde oppervlakte  (5TOT),1982,
Vlaams Gewest,Provincie Vlaams-Brabant,,niet gekadastreerde oppervlakte  (5TOT),1990,
Vlaams Gewest,Provincie Vlaams-Brabant,,niet gekadastreerde oppervlakte  (5TOT),2000,
Vlaams Gewest,Provincie Vlaams-Brabant,,niet gekadastreerde oppervlakte  (5TOT),2005,
Vlaams Gewest,Provincie Vlaams-Brabant,,niet gekadastreerde oppervlakte  (5TOT),2010,
Vlaams Gewest,Provincie Vlaams-Brabant,,niet gekadastreerde oppervlakte  (5TOT),2015,
Vlaams Gewest,Provincie Vlaams-Brabant,,niet gekadastreerde oppervlakte  (5TOT),2020,
Vlaams Gewest,Provincie Vlaams-Brabant,,totale oppervlakte  (6TOT),1982,
Vlaams Gewest,Provincie Vlaams-Brabant,,totale oppervlakte  (6TOT),1990,
Vlaams Gewest,Provincie Vlaams-Brabant,,totale oppervlakte  (6TOT),2000,
Vlaams Gewest,Provincie Vlaams-Brabant,,totale oppervlakte  (6TOT),2005,
Vlaams Gewest,Provincie Vlaams-Brabant,,totale oppervlakte  (6TOT),2010,
Vlaams Gewest,Provincie Vlaams-Brabant,,totale oppervlakte  (6TOT),2015,
Vlaams Gewest,Provincie Vlaams-Brabant,,totale oppervlakte  (6TOT),2020,
Vlaams Gewest,Provincie West-Vlaanderen,,totaal onbebouwde percelen  (1TOT),1982,
Vlaams Gewest,Provincie West-Vlaanderen,,totaal onbebouwde percelen  (1TOT),1990,18611919.96
Vlaams Gewest,Provincie West-Vlaanderen,,totaal onbebouwde percelen  (1TOT),2000,19590284.557
Vlaams Gewest,Provincie West-Vlaanderen,,totaal onbebouwde percelen  (1TOT),2005,20353432.0
Vlaams Gewest,Provincie West-Vlaanderen,,totaal onbebouwde percelen  (1TOT),2010,21316080.0
Vlaams Gewest,Provincie West-Vlaanderen,,totaal onbebouwde percelen  (1TOT),2015,22156576.0
Vlaams Gewest,Provincie West-Vlaanderen,,totaal onbebouwde percelen  (1TOT),2020,22417305.0
Vlaams Gewest,Provincie West-Vlaanderen,,totaal bebouwde percelen  (2TOT),1982,
Vlaams Gewest,Provincie West-Vlaanderen,,totaal bebouwde percelen  (2TOT),1990,550120192.663
Vlaams Gewest,Provincie West-Vlaanderen,,totaal bebouwde percelen  (2TOT),2000,710928130.709
Vlaams Gewest,Provincie West-Vlaanderen,,totaal bebouwde percelen  (2TOT),2005,771841348.0
Vlaams Gewest,Provincie West-Vlaanderen,,totaal bebouwde percelen  (2TOT),2010,825702997.0
Vlaams Gewest,Provincie West-Vlaanderen,,totaal bebouwde percelen  (2TOT),2015,873080585.0
Vlaams Gewest,Provincie West-Vlaanderen,,totaal bebouwde percelen  (2TOT),2020,930572403.0
Vlaams Gewest,Provincie West-Vlaanderen,,niet genormaliseerde percelen  (3TOT),1982,
Vlaams Gewest,Provincie West-Vlaanderen,,niet genormaliseerde percelen  (3TOT),1990,10220.65
Vlaams Gewest,Provincie West-Vlaanderen,,niet genormaliseerde percelen  (3TOT),2000,23577.153
Vlaams Gewest,Provincie West-Vlaanderen,,niet genormaliseerde percelen  (3TOT),2005,22423.0
Vlaams Gewest,Provincie West-Vlaanderen,,niet genormaliseerde percelen  (3TOT),2010,
Vlaams Gewest,Provincie West-Vlaanderen,,niet genormaliseerde percelen  (3TOT),2015,
Vlaams Gewest,Provincie West-Vlaanderen,,niet genormaliseerde percelen  (3TOT),2020,
Vlaams Gewest,Provincie West-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),1982,
Vlaams Gewest,Provincie West-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),1990,568742333.273
Vlaams Gewest,Provincie West-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),2000,730541992.419
Vlaams Gewest,Provincie West-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),2005,792217203.0
Vlaams Gewest,Provincie West-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),2010,847019077.0
Vlaams Gewest,Provincie West-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),2015,895237161.0
Vlaams Gewest,Provincie West-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),2020,952989708.0
Vlaams Gewest,Provincie West-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),1982,
Vlaams Gewest,Provincie West-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),1990,
Vlaams Gewest,Provincie West-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),2000,
Vlaams Gewest,Provincie West-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),2005,
Vlaams Gewest,Provincie West-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),2010,
Vlaams Gewest,Provincie West-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),2015,
Vlaams Gewest,Provincie West-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),2020,
Vlaams Gewest,Provincie West-Vlaanderen,,totale oppervlakte  (6TOT),1982,
Vlaams Gewest,Provincie West-Vlaanderen,,totale oppervlakte  (6TOT),1990,
Vlaams Gewest,Provincie West-Vlaanderen,,totale oppervlakte  (6TOT),2000,
Vlaams Gewest,Provincie West-Vlaanderen,,totale oppervlakte  (6TOT),2005,
Vlaams Gewest,Provincie West-Vlaanderen,,totale oppervlakte  (6TOT),2010,
Vlaams Gewest,Provincie West-Vlaanderen,,totale oppervlakte  (6TOT),2015,
Vlaams Gewest,Provincie West-Vlaanderen,,totale oppervlakte  (6TOT),2020,
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal onbebouwde percelen  (1TOT),1982,
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal onbebouwde percelen  (1TOT),1990,15287903.044
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal onbebouwde percelen  (1TOT),2000,16581006.398
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal onbebouwde percelen  (1TOT),2005,16781058.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal onbebouwde percelen  (1TOT),2010,17357879.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal onbebouwde percelen  (1TOT),2015,19289152.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal onbebouwde percelen  (1TOT),2020,23521836.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal bebouwde percelen  (2TOT),1982,
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal bebouwde percelen  (2TOT),1990,622215789.082
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal bebouwde percelen  (2TOT),2000,819422799.263
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal bebouwde percelen  (2TOT),2005,879570718.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal bebouwde percelen  (2TOT),2010,957809786.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal bebouwde percelen  (2TOT),2015,1022778301.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,totaal bebouwde percelen  (2TOT),2020,1174737551.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet genormaliseerde percelen  (3TOT),1982,
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet genormaliseerde percelen  (3TOT),1990,
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet genormaliseerde percelen  (3TOT),2000,29308.451
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet genormaliseerde percelen  (3TOT),2005,32223.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet genormaliseerde percelen  (3TOT),2010,
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet genormaliseerde percelen  (3TOT),2015,
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet genormaliseerde percelen  (3TOT),2020,
Vlaams Gewest,Provincie Oost-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),1982,
Vlaams Gewest,Provincie Oost-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),1990,637503692.126
Vlaams Gewest,Provincie Oost-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),2000,836033114.113
Vlaams Gewest,Provincie Oost-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),2005,896383999.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),2010,975167665.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),2015,1042067453.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,gekadastreerde oppervlakte  (4TOT),2020,1198259387.0
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),1982,
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),1990,
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),2000,
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),2005,
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),2010,
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),2015,
Vlaams Gewest,Provincie Oost-Vlaanderen,,niet gekadastreerde oppervlakte  (5TOT),2020,
Vlaams Gewest,Provincie Oost-Vlaanderen,,totale oppervlakte  (6TOT),1982,
Vlaams Gewest,Provincie Oost-Vlaanderen,,totale oppervlakte  (6TOT),1990,
Vlaams Gewest,Provincie Oost-Vlaanderen,,totale oppervlakte  (6TOT),2000,
Vlaams Gewest,Provincie Oost-Vlaanderen,,totale oppervlakte  (6TOT),2005,
Vlaams Gewest,Provincie Oost-Vlaanderen,,totale oppervlakte  (6TOT),2010,
Vlaams Gewest,Provincie Oost-Vlaanderen,,totale oppervlakte  (6TOT),2015,
Vlaams Gewest,Provincie Oost-Vlaanderen,,totale oppervlakte  (6TOT),2020,
Vlaams Gewest,Provincie Limburg,,totaal onbebouwde percelen  (1TOT),1982,
Vlaams Gewest,Provincie Limburg,,totaal onbebouwde percelen  (1TOT),1990,7290883.22
Vlaams Gewest,Provincie Limburg,,totaal onbebouwde percelen  (1TOT),2000,7017564.991
Vlaams Gewest,Provincie Limburg,,totaal onbebouwde percelen  (1TOT),2005,7133921.0
Vlaams Gewest,Provincie Limburg,,totaal onbebouwde percelen  (1TOT),2010,7419847.0
Vlaams Gewest,Provincie Limburg,,totaal onbebouwde percelen  (1TOT),2015,8469521.0
Vlaams Gewest,Provincie Limburg,,totaal onbebouwde percelen  (1TOT),2020,11456804.0
