Gewest,Provincie,Arrondissement,Rubrieken niveau 1,Jaar,Totaal kadastraal inkomen
Waals Gewest,Provincie Waals-Brabant,,niet genormaliseerde percelen  (3TOT),1982,
Waals Gewest,Provincie Waals-Brabant,,niet genormaliseerde percelen  (3TOT),1990,1228.065
Waals Gewest,Provincie Waals-Brabant,,niet genormaliseerde percelen  (3TOT),2000,30920.999
Waals Gewest,Provincie Waals-Brabant,,niet genormaliseerde percelen  (3TOT),2005,30559.0
Waals Gewest,Provincie Waals-Brabant,,niet genormaliseerde percelen  (3TOT),2010,
Waals Gewest,Provincie Waals-Brabant,,niet genormaliseerde percelen  (3TOT),2015,
Waals Gewest,Provincie Waals-Brabant,,niet genormaliseerde percelen  (3TOT),2020,
Waals Gewest,Provincie Waals-Brabant,,gekadastreerde oppervlakte  (4TOT),1982,
Waals Gewest,Provincie Waals-Brabant,,gekadastreerde oppervlakte  (4TOT),1990,204422669.615
Waals Gewest,Provincie Waals-Brabant,,gekadastreerde oppervlakte  (4TOT),2000,264596446.942
Waals Gewest,Provincie Waals-Brabant,,gekadastreerde oppervlakte  (4TOT),2005,281900505.0
Waals Gewest,Provincie Waals-Brabant,,gekadastreerde oppervlakte  (4TOT),2010,309289553.0
Waals Gewest,Provincie Waals-Brabant,,gekadastreerde oppervlakte  (4TOT),2015,339008144.0
Waals Gewest,Provincie Waals-Brabant,,gekadastreerde oppervlakte  (4TOT),2020,360841584.0
Waals Gewest,Provincie Waals-Brabant,,niet gekadastreerde oppervlakte  (5TOT),1982,
Waals Gewest,Provincie Waals-Brabant,,niet gekadastreerde oppervlakte  (5TOT),1990,
Waals Gewest,Provincie Waals-Brabant,,niet gekadastreerde oppervlakte  (5TOT),2000,
Waals Gewest,Provincie Waals-Brabant,,niet gekadastreerde oppervlakte  (5TOT),2005,
Waals Gewest,Provincie Waals-Brabant,,niet gekadastreerde oppervlakte  (5TOT),2010,
Waals Gewest,Provincie Waals-Brabant,,niet gekadastreerde oppervlakte  (5TOT),2015,
Waals Gewest,Provincie Waals-Brabant,,niet gekadastreerde oppervlakte  (5TOT),2020,
Waals Gewest,Provincie Waals-Brabant,,totale oppervlakte  (6TOT),1982,
Waals Gewest,Provincie Waals-Brabant,,totale oppervlakte  (6TOT),1990,
Waals Gewest,Provincie Waals-Brabant,,totale oppervlakte  (6TOT),2000,
Waals Gewest,Provincie Waals-Brabant,,totale oppervlakte  (6TOT),2005,
Waals Gewest,Provincie Waals-Brabant,,totale oppervlakte  (6TOT),2010,
Waals Gewest,Provincie Waals-Brabant,,totale oppervlakte  (6TOT),2015,
Waals Gewest,Provincie Waals-Brabant,,totale oppervlakte  (6TOT),2020,
Waals Gewest,Provincie Henegouwen,,totaal onbebouwde percelen  (1TOT),1982,
Waals Gewest,Provincie Henegouwen,,totaal onbebouwde percelen  (1TOT),1990,19563379.185
Waals Gewest,Provincie Henegouwen,,totaal onbebouwde percelen  (1TOT),2000,19745982.514
Waals Gewest,Provincie Henegouwen,,totaal onbebouwde percelen  (1TOT),2005,19464008.0
Waals Gewest,Provincie Henegouwen,,totaal onbebouwde percelen  (1TOT),2010,20189731.0
Waals Gewest,Provincie Henegouwen,,totaal onbebouwde percelen  (1TOT),2015,23012693.0
Waals Gewest,Provincie Henegouwen,,totaal onbebouwde percelen  (1TOT),2020,24504657.0
Waals Gewest,Provincie Henegouwen,,totaal bebouwde percelen  (2TOT),1982,
Waals Gewest,Provincie Henegouwen,,totaal bebouwde percelen  (2TOT),1990,474425043.443
Waals Gewest,Provincie Henegouwen,,totaal bebouwde percelen  (2TOT),2000,572235768.557
Waals Gewest,Provincie Henegouwen,,totaal bebouwde percelen  (2TOT),2005,606843897.0
Waals Gewest,Provincie Henegouwen,,totaal bebouwde percelen  (2TOT),2010,648672748.0
Waals Gewest,Provincie Henegouwen,,totaal bebouwde percelen  (2TOT),2015,682812805.0
Waals Gewest,Provincie Henegouwen,,totaal bebouwde percelen  (2TOT),2020,724768678.0
Waals Gewest,Provincie Henegouwen,,niet genormaliseerde percelen  (3TOT),1982,
Waals Gewest,Provincie Henegouwen,,niet genormaliseerde percelen  (3TOT),1990,441.25
Waals Gewest,Provincie Henegouwen,,niet genormaliseerde percelen  (3TOT),2000,9990.605
Waals Gewest,Provincie Henegouwen,,niet genormaliseerde percelen  (3TOT),2005,26762.0
Waals Gewest,Provincie Henegouwen,,niet genormaliseerde percelen  (3TOT),2010,
Waals Gewest,Provincie Henegouwen,,niet genormaliseerde percelen  (3TOT),2015,
Waals Gewest,Provincie Henegouwen,,niet genormaliseerde percelen  (3TOT),2020,
Waals Gewest,Provincie Henegouwen,,gekadastreerde oppervlakte  (4TOT),1982,
Waals Gewest,Provincie Henegouwen,,gekadastreerde oppervlakte  (4TOT),1990,493988863.879
Waals Gewest,Provincie Henegouwen,,gekadastreerde oppervlakte  (4TOT),2000,591991741.675
Waals Gewest,Provincie Henegouwen,,gekadastreerde oppervlakte  (4TOT),2005,626334667.0
Waals Gewest,Provincie Henegouwen,,gekadastreerde oppervlakte  (4TOT),2010,668862479.0
Waals Gewest,Provincie Henegouwen,,gekadastreerde oppervlakte  (4TOT),2015,705825498.0
Waals Gewest,Provincie Henegouwen,,gekadastreerde oppervlakte  (4TOT),2020,749273335.0
Waals Gewest,Provincie Henegouwen,,niet gekadastreerde oppervlakte  (5TOT),1982,
Waals Gewest,Provincie Henegouwen,,niet gekadastreerde oppervlakte  (5TOT),1990,
Waals Gewest,Provincie Henegouwen,,niet gekadastreerde oppervlakte  (5TOT),2000,
Waals Gewest,Provincie Henegouwen,,niet gekadastreerde oppervlakte  (5TOT),2005,
Waals Gewest,Provincie Henegouwen,,niet gekadastreerde oppervlakte  (5TOT),2010,
Waals Gewest,Provincie Henegouwen,,niet gekadastreerde oppervlakte  (5TOT),2015,
Waals Gewest,Provincie Henegouwen,,niet gekadastreerde oppervlakte  (5TOT),2020,
Waals Gewest,Provincie Henegouwen,,totale oppervlakte  (6TOT),1982,
Waals Gewest,Provincie Henegouwen,,totale oppervlakte  (6TOT),1990,
Waals Gewest,Provincie Henegouwen,,totale oppervlakte  (6TOT),2000,
Waals Gewest,Provincie Henegouwen,,totale oppervlakte  (6TOT),2005,
Waals Gewest,Provincie Henegouwen,,totale oppervlakte  (6TOT),2010,
Waals Gewest,Provincie Henegouwen,,totale oppervlakte  (6TOT),2015,
Waals Gewest,Provincie Henegouwen,,totale oppervlakte  (6TOT),2020,
Waals Gewest,Provincie Luik,,totaal onbebouwde percelen  (1TOT),1982,
Waals Gewest,Provincie Luik,,totaal onbebouwde percelen  (1TOT),1990,15143359.8
Waals Gewest,Provincie Luik,,totaal onbebouwde percelen  (1TOT),2000,15173052.486
Waals Gewest,Provincie Luik,,totaal onbebouwde percelen  (1TOT),2005,15190935.0
Waals Gewest,Provincie Luik,,totaal onbebouwde percelen  (1TOT),2010,14929640.0
Waals Gewest,Provincie Luik,,totaal onbebouwde percelen  (1TOT),2015,15857467.0
Waals Gewest,Provincie Luik,,totaal onbebouwde percelen  (1TOT),2020,16403045.0
Waals Gewest,Provincie Luik,,totaal bebouwde percelen  (2TOT),1982,
Waals Gewest,Provincie Luik,,totaal bebouwde percelen  (2TOT),1990,465071285.006
Waals Gewest,Provincie Luik,,totaal bebouwde percelen  (2TOT),2000,553816777.682
Waals Gewest,Provincie Luik,,totaal bebouwde percelen  (2TOT),2005,590365999.0
Waals Gewest,Provincie Luik,,totaal bebouwde percelen  (2TOT),2010,619963648.0
Waals Gewest,Provincie Luik,,totaal bebouwde percelen  (2TOT),2015,655026425.0
Waals Gewest,Provincie Luik,,totaal bebouwde percelen  (2TOT),2020,690174300.0
Waals Gewest,Provincie Luik,,niet genormaliseerde percelen  (3TOT),1982,
Waals Gewest,Provincie Luik,,niet genormaliseerde percelen  (3TOT),1990,8743.948
Waals Gewest,Provincie Luik,,niet genormaliseerde percelen  (3TOT),2000,8790.552
Waals Gewest,Provincie Luik,,niet genormaliseerde percelen  (3TOT),2005,22800.0
Waals Gewest,Provincie Luik,,niet genormaliseerde percelen  (3TOT),2010,
Waals Gewest,Provincie Luik,,niet genormaliseerde percelen  (3TOT),2015,
Waals Gewest,Provincie Luik,,niet genormaliseerde percelen  (3TOT),2020,
Waals Gewest,Provincie Luik,,gekadastreerde oppervlakte  (4TOT),1982,
Waals Gewest,Provincie Luik,,gekadastreerde oppervlakte  (4TOT),1990,480223388.754
Waals Gewest,Provincie Luik,,gekadastreerde oppervlakte  (4TOT),2000,568998620.72
Waals Gewest,Provincie Luik,,gekadastreerde oppervlakte  (4TOT),2005,605579734.0
Waals Gewest,Provincie Luik,,gekadastreerde oppervlakte  (4TOT),2010,634893288.0
Waals Gewest,Provincie Luik,,gekadastreerde oppervlakte  (4TOT),2015,670883892.0
Waals Gewest,Provincie Luik,,gekadastreerde oppervlakte  (4TOT),2020,706577345.0
Waals Gewest,Provincie Luik,,niet gekadastreerde oppervlakte  (5TOT),1982,
Waals Gewest,Provincie Luik,,niet gekadastreerde oppervlakte  (5TOT),1990,
Waals Gewest,Provincie Luik,,niet gekadastreerde oppervlakte  (5TOT),2000,
Waals Gewest,Provincie Luik,,niet gekadastreerde oppervlakte  (5TOT),2005,
Waals Gewest,Provincie Luik,,niet gekadastreerde oppervlakte  (5TOT),2010,
Waals Gewest,Provincie Luik,,niet gekadastreerde oppervlakte  (5TOT),2015,
Waals Gewest,Provincie Luik,,niet gekadastreerde oppervlakte  (5TOT),2020,
Waals Gewest,Provincie Luik,,totale oppervlakte  (6TOT),1982,
Waals Gewest,Provincie Luik,,totale oppervlakte  (6TOT),1990,
Waals Gewest,Provincie Luik,,totale oppervlakte  (6TOT),2000,
Waals Gewest,Provincie Luik,,totale oppervlakte  (6TOT),2005,
Waals Gewest,Provincie Luik,,totale oppervlakte  (6TOT),2010,
Waals Gewest,Provincie Luik,,totale oppervlakte  (6TOT),2015,
Waals Gewest,Provincie Luik,,totale oppervlakte  (6TOT),2020,
Waals Gewest,Provincie Luxemburg,,totaal onbebouwde percelen  (1TOT),1982,
Waals Gewest,Provincie Luxemburg,,totaal onbebouwde percelen  (1TOT),1990,9673925.815
Waals Gewest,Provincie Luxemburg,,totaal onbebouwde percelen  (1TOT),2000,9631439.592
Waals Gewest,Provincie Luxemburg,,totaal onbebouwde percelen  (1TOT),2005,9408178.0
Waals Gewest,Provincie Luxemburg,,totaal onbebouwde percelen  (1TOT),2010,9979515.0
Waals Gewest,Provincie Luxemburg,,totaal onbebouwde percelen  (1TOT),2015,10684977.0
Waals Gewest,Provincie Luxemburg,,totaal onbebouwde percelen  (1TOT),2020,11080525.0
Waals Gewest,Provincie Luxemburg,,totaal bebouwde percelen  (2TOT),1982,
Waals Gewest,Provincie Luxemburg,,totaal bebouwde percelen  (2TOT),1990,89904892.179
Waals Gewest,Provincie Luxemburg,,totaal bebouwde percelen  (2TOT),2000,124714677.032
Waals Gewest,Provincie Luxemburg,,totaal bebouwde percelen  (2TOT),2005,138518887.0
Waals Gewest,Provincie Luxemburg,,totaal bebouwde percelen  (2TOT),2010,151847677.0
Waals Gewest,Provincie Luxemburg,,totaal bebouwde percelen  (2TOT),2015,160568268.0
Waals Gewest,Provincie Luxemburg,,totaal bebouwde percelen  (2TOT),2020,172748858.0
Waals Gewest,Provincie Luxemburg,,niet genormaliseerde percelen  (3TOT),1982,
Waals Gewest,Provincie Luxemburg,,niet genormaliseerde percelen  (3TOT),1990,29.747
Waals Gewest,Provincie Luxemburg,,niet genormaliseerde percelen  (3TOT),2000,661.876
Waals Gewest,Provincie Luxemburg,,niet genormaliseerde percelen  (3TOT),2005,661.0
Waals Gewest,Provincie Luxemburg,,niet genormaliseerde percelen  (3TOT),2010,
Waals Gewest,Provincie Luxemburg,,niet genormaliseerde percelen  (3TOT),2015,
Waals Gewest,Provincie Luxemburg,,niet genormaliseerde percelen  (3TOT),2020,
Waals Gewest,Provincie Luxemburg,,gekadastreerde oppervlakte  (4TOT),1982,
Waals Gewest,Provincie Luxemburg,,gekadastreerde oppervlakte  (4TOT),1990,99578847.741
Waals Gewest,Provincie Luxemburg,,gekadastreerde oppervlakte  (4TOT),2000,134346778.5
Waals Gewest,Provincie Luxemburg,,gekadastreerde oppervlakte  (4TOT),2005,147927726.0
Waals Gewest,Provincie Luxemburg,,gekadastreerde oppervlakte  (4TOT),2010,161827192.0
Waals Gewest,Provincie Luxemburg,,gekadastreerde oppervlakte  (4TOT),2015,171253245.0
Waals Gewest,Provincie Luxemburg,,gekadastreerde oppervlakte  (4TOT),2020,183829383.0
Waals Gewest,Provincie Luxemburg,,niet gekadastreerde oppervlakte  (5TOT),1982,
Waals Gewest,Provincie Luxemburg,,niet gekadastreerde oppervlakte  (5TOT),1990,
Waals Gewest,Provincie Luxemburg,,niet gekadastreerde oppervlakte  (5TOT),2000,
Waals Gewest,Provincie Luxemburg,,niet gekadastreerde oppervlakte  (5TOT),2005,
Waals Gewest,Provincie Luxemburg,,niet gekadastreerde oppervlakte  (5TOT),2010,
Waals Gewest,Provincie Luxemburg,,niet gekadastreerde oppervlakte  (5TOT),2015,
Waals Gewest,Provincie Luxemburg,,niet gekadastreerde oppervlakte  (5TOT),2020,
Waals Gewest,Provincie Luxemburg,,totale oppervlakte  (6TOT),1982,
Waals Gewest,Provincie Luxemburg,,totale oppervlakte  (6TOT),1990,
Waals Gewest,Provincie Luxemburg,,totale oppervlakte  (6TOT),2000,
Waals Gewest,Provincie Luxemburg,,totale oppervlakte  (6TOT),2005,
Waals Gewest,Provincie Luxemburg,,totale oppervlakte  (6TOT),2010,
Waals Gewest,Provincie Luxemburg,,totale oppervlakte  (6TOT),2015,
Waals Gewest,Provincie Luxemburg,,totale oppervlakte  (6TOT),2020,
Waals Gewest,Provincie Namen,,totaal onbebouwde percelen  (1TOT),1982,
Waals Gewest,Provincie Namen,,totaal onbebouwde percelen  (1TOT),1990,10707965.067
Waals Gewest,Provincie Namen,,totaal onbebouwde percelen  (1TOT),2000,10655532.364
Waals Gewest,Provincie Namen,,totaal onbebouwde percelen  (1TOT),2005,10641440.0
Waals Gewest,Provincie Namen,,totaal onbebouwde percelen  (1TOT),2010,10581800.0
Waals Gewest,Provincie Namen,,totaal onbebouwde percelen  (1TOT),2015,11284699.0
Waals Gewest,Provincie Namen,,totaal onbebouwde percelen  (1TOT),2020,12008803.0
Waals Gewest,Provincie Namen,,totaal bebouwde percelen  (2TOT),1982,
Waals Gewest,Provincie Namen,,totaal bebouwde percelen  (2TOT),1990,169801289.046
Waals Gewest,Provincie Namen,,totaal bebouwde percelen  (2TOT),2000,205749658.775
Waals Gewest,Provincie Namen,,totaal bebouwde percelen  (2TOT),2005,224942760.0
Waals Gewest,Provincie Namen,,totaal bebouwde percelen  (2TOT),2010,243975181.0
Waals Gewest,Provincie Namen,,totaal bebouwde percelen  (2TOT),2015,259639900.0
Waals Gewest,Provincie Namen,,totaal bebouwde percelen  (2TOT),2020,272553217.0
Waals Gewest,Provincie Namen,,niet genormaliseerde percelen  (3TOT),1982,
Waals Gewest,Provincie Namen,,niet genormaliseerde percelen  (3TOT),1990,
Waals Gewest,Provincie Namen,,niet genormaliseerde percelen  (3TOT),2000,201.042
Waals Gewest,Provincie Namen,,niet genormaliseerde percelen  (3TOT),2005,1169.0
Waals Gewest,Provincie Namen,,niet genormaliseerde percelen  (3TOT),2010,
Waals Gewest,Provincie Namen,,niet genormaliseerde percelen  (3TOT),2015,
Waals Gewest,Provincie Namen,,niet genormaliseerde percelen  (3TOT),2020,
Waals Gewest,Provincie Namen,,gekadastreerde oppervlakte  (4TOT),1982,
Waals Gewest,Provincie Namen,,gekadastreerde oppervlakte  (4TOT),1990,180509254.113
Waals Gewest,Provincie Namen,,gekadastreerde oppervlakte  (4TOT),2000,216405392.18
Waals Gewest,Provincie Namen,,gekadastreerde oppervlakte  (4TOT),2005,235585369.0
Waals Gewest,Provincie Namen,,gekadastreerde oppervlakte  (4TOT),2010,254556981.0
Waals Gewest,Provincie Namen,,gekadastreerde oppervlakte  (4TOT),2015,270924599.0
Waals Gewest,Provincie Namen,,gekadastreerde oppervlakte  (4TOT),2020,284562020.0
Waals Gewest,Provincie Namen,,niet gekadastreerde oppervlakte  (5TOT),1982,
Waals Gewest,Provincie Namen,,niet gekadastreerde oppervlakte  (5TOT),1990,
Waals Gewest,Provincie Namen,,niet gekadastreerde oppervlakte  (5TOT),2000,
Waals Gewest,Provincie Namen,,niet gekadastreerde oppervlakte  (5TOT),2005,
Waals Gewest,Provincie Namen,,niet gekadastreerde oppervlakte  (5TOT),2010,
Waals Gewest,Provincie Namen,,niet gekadastreerde oppervlakte  (5TOT),2015,
Waals Gewest,Provincie Namen,,niet gekadastreerde oppervlakte  (5TOT),2020,
Waals Gewest,Provincie Namen,,totale oppervlakte  (6TOT),1982,
Waals Gewest,Provincie Namen,,totale oppervlakte  (6TOT),1990,
Waals Gewest,Provincie Namen,,totale oppervlakte  (6TOT),2000,
Waals Gewest,Provincie Namen,,totale oppervlakte  (6TOT),2005,
Waals Gewest,Provincie Namen,,totale oppervlakte  (6TOT),2010,
Waals Gewest,Provincie Namen,,totale oppervlakte  (6TOT),2015,
Waals Gewest,Provincie Namen,,totale oppervlakte  (6TOT),2020,
