België,Gewest,Provincie,Arrondissement,Gemeente,Woningen bewoond door hun eigenaar
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Glabbeek,0.916
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Horebeke,0.905
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenaken,0.899
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Linter,0.89
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Geetbets,0.889
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Donceel,0.887
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Gingelom,0.882
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Faimes,0.879
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ramillies,0.877
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Boutersem,0.876
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Begijnendijk,0.875
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Holsbeek,0.874
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bekkevoort,0.865
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Nieuwerkerken (Hasselt),0.865
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Bever,0.864
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Pepingen,0.864
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Burdinne,0.864
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Braives,0.86
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tielt-Winge,0.859
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Nandrin,0.859
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Galmaarden,0.857
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zemst,0.855
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Zoutleeuw,0.855
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Lierde,0.855
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,0.855
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Orp-Jauche,0.853
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Meeuwen-Gruitrode,0.852
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Heers,0.851
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Héron,0.85
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Berloz,0.849
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,0.848
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Herne,0.847
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Maarkedal,0.847
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,0.847
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Brakel,0.846
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Tintigny,0.846
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zwalm,0.846
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Remicourt,0.845
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Attert,0.845
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Opglabbeek,0.845
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Wellen,0.844
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Geer,0.843
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Hove (Antwerpen),0.842
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Sint-Lievens-Houtem,0.842
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,0.84
