België,Gewest,Provincie,Arrondissement,Eenoudergezin
België,Vlaams Gewest,Provincie Antwerpen,,0.087
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.088
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.074
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.082
België,Vlaams Gewest,Provincie Limburg,,0.084
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.115
België,Waals Gewest,Provincie Waals-Brabant,,0.113
België,Waals Gewest,Provincie Henegouwen,,0.136
België,Waals Gewest,Provincie Luik,,0.12
België,Waals Gewest,Provincie Luxemburg,,0.1
België,Waals Gewest,Provincie Namen,,0.116
België,,,,0.1
