Alle grootteklassen,Grootteklasse werknemers,Jaar,Maand,Aantal faillissementen
Alle grootteklassen,200 - 249 werknemers,2022,Juli 2022,
Alle grootteklassen,200 - 249 werknemers,2022,Augustus 2022,
Alle grootteklassen,200 - 249 werknemers,2022,September 2022,
Alle grootteklassen,200 - 249 werknemers,2022,Oktober 2022,
Alle grootteklassen,200 - 249 werknemers,2022,November 2022,
Alle grootteklassen,200 - 249 werknemers,2022,December 2022,
Alle grootteklassen,,2021,December 2021,706.0
Alle grootteklassen,,2022,Januari 2022,647.0
Alle grootteklassen,,2022,Februari 2022,736.0
Alle grootteklassen,,2022,Maart 2022,922.0
Alle grootteklassen,,2022,April 2022,620.0
Alle grootteklassen,,2022,Mei 2022,943.0
Alle grootteklassen,,2022,Juni 2022,1082.0
Alle grootteklassen,,2022,Juli 2022,528.0
Alle grootteklassen,,2022,Augustus 2022,325.0
Alle grootteklassen,,2022,September 2022,968.0
Alle grootteklassen,,2022,Oktober 2022,920.0
Alle grootteklassen,,2022,November 2022,774.0
Alle grootteklassen,,2022,December 2022,800.0
