Karakteristieken,België,Gewest,Jaar,Gebouwtype,Aantal eenheden
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,4119.0
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",87.0
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Waals Gewest,2022,Huizen in gesloten bebouwing,102050.0
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Waals Gewest,2022,Huizen in halfopen bebouwing,48885.0
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",6292.0
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,,2022,Huizen in gesloten bebouwing,251872.0
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,,2022,Huizen in halfopen bebouwing,74742.0
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",9536.0
Aantal gebouwen met bebouwde grondoppervlakte van 45 m² tot 64 m²,België,,2022,Buildings en flatgebouwen met appartementen,
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,342859.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,220779.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",65359.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,54082.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,7552.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",940.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Waals Gewest,2022,Huizen in gesloten bebouwing,192374.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Waals Gewest,2022,Huizen in halfopen bebouwing,146241.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",97508.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,,2022,Huizen in gesloten bebouwing,589315.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,,2022,Huizen in halfopen bebouwing,374572.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",163807.0
Aantal gebouwen met bebouwde grondoppervlakte van 65 m² tot 104 m²,België,,2022,Buildings en flatgebouwen met appartementen,
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,166661.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,355701.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",836897.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,15640.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,3382.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",4755.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Waals Gewest,2022,Huizen in gesloten bebouwing,96843.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Waals Gewest,2022,Huizen in halfopen bebouwing,171094.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",409285.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,,2022,Huizen in gesloten bebouwing,279144.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,,2022,Huizen in halfopen bebouwing,530177.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",1250937.0
Aantal gebouwen met bebouwde grondoppervlakte groter dan 104 m²,België,,2022,Buildings en flatgebouwen met appartementen,
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,385120.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,464597.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",801559.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,129024.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,73918.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,13485.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",5656.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,36198.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Waals Gewest,2022,Huizen in gesloten bebouwing,208152.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Waals Gewest,2022,Huizen in halfopen bebouwing,232787.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",426790.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,45602.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,,2022,Huizen in gesloten bebouwing,667190.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,,2022,Huizen in halfopen bebouwing,710869.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",1234005.0
Aantal gebouwen uitgerust met centrale verwarming of airconditioning,België,,2022,Buildings en flatgebouwen met appartementen,210824.0
Aantal gebouwen met badkamer,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,519900.0
Aantal gebouwen met badkamer,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,546813.0
Aantal gebouwen met badkamer,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",858985.0
Aantal gebouwen met badkamer,België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,133576.0
Aantal gebouwen met badkamer,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,85288.0
Aantal gebouwen met badkamer,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,14438.0
Aantal gebouwen met badkamer,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",5716.0
Aantal gebouwen met badkamer,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,37243.0
Aantal gebouwen met badkamer,België,Waals Gewest,2022,Huizen in gesloten bebouwing,315649.0
Aantal gebouwen met badkamer,België,Waals Gewest,2022,Huizen in halfopen bebouwing,314365.0
Aantal gebouwen met badkamer,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",478496.0
Aantal gebouwen met badkamer,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,48113.0
Aantal gebouwen met badkamer,België,,2022,Huizen in gesloten bebouwing,920837.0
Aantal gebouwen met badkamer,België,,2022,Huizen in halfopen bebouwing,875616.0
Aantal gebouwen met badkamer,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",1343197.0
Aantal gebouwen met badkamer,België,,2022,Buildings en flatgebouwen met appartementen,218932.0
Aantal badkamers,België,Vlaams Gewest,2022,Huizen in gesloten bebouwing,561814.0
Aantal badkamers,België,Vlaams Gewest,2022,Huizen in halfopen bebouwing,574558.0
Aantal badkamers,België,Vlaams Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",953388.0
Aantal badkamers,België,Vlaams Gewest,2022,Buildings en flatgebouwen met appartementen,941721.0
Aantal badkamers,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in gesloten bebouwing,141198.0
Aantal badkamers,België,Brussels Hoofdstedelijk Gewest,2022,Huizen in halfopen bebouwing,19683.0
Aantal badkamers,België,Brussels Hoofdstedelijk Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",11284.0
Aantal badkamers,België,Brussels Hoofdstedelijk Gewest,2022,Buildings en flatgebouwen met appartementen,366243.0
Aantal badkamers,België,Waals Gewest,2022,Huizen in gesloten bebouwing,349295.0
Aantal badkamers,België,Waals Gewest,2022,Huizen in halfopen bebouwing,343152.0
Aantal badkamers,België,Waals Gewest,2022,"Huizen in open bebouwing, hoeven en kastelen",552168.0
Aantal badkamers,België,Waals Gewest,2022,Buildings en flatgebouwen met appartementen,303625.0
Aantal badkamers,België,,2022,Huizen in gesloten bebouwing,1052307.0
Aantal badkamers,België,,2022,Huizen in halfopen bebouwing,937393.0
Aantal badkamers,België,,2022,"Huizen in open bebouwing, hoeven en kastelen",1516840.0
Aantal badkamers,België,,2022,Buildings en flatgebouwen met appartementen,1611589.0
