Gebruikt product,Jaar,Maand,Hoeveelheid  product (BE)
Poeder van magere melk,2022,Juli 2022,106977.0
Poeder van magere melk,2022,Augustus 2022,100122.0
Poeder van karnemelk,2021,Augustus 2021,
Poeder van karnemelk,2021,September 2021,
Poeder van karnemelk,2021,Oktober 2021,
Poeder van karnemelk,2021,November 2021,
Poeder van karnemelk,2021,December 2021,
Poeder van karnemelk,2022,Januari 2022,
Poeder van karnemelk,2022,Februari 2022,
Poeder van karnemelk,2022,Maart 2022,
Poeder van karnemelk,2022,April 2022,
Poeder van karnemelk,2022,Mei 2022,
Poeder van karnemelk,2022,Juni 2022,
Poeder van karnemelk,2022,Juli 2022,
Poeder van karnemelk,2022,Augustus 2022,
Poeder van wei,2021,Augustus 2021,35099.0
Poeder van wei,2021,September 2021,28662.0
Poeder van wei,2021,Oktober 2021,41156.0
Poeder van wei,2021,November 2021,16967.0
Poeder van wei,2021,December 2021,10585.0
Poeder van wei,2022,Januari 2022,17671.0
Poeder van wei,2022,Februari 2022,24816.0
Poeder van wei,2022,Maart 2022,14248.0
Poeder van wei,2022,April 2022,10447.0
Poeder van wei,2022,Mei 2022,10357.0
Poeder van wei,2022,Juni 2022,28411.0
Poeder van wei,2022,Juli 2022,11473.0
Poeder van wei,2022,Augustus 2022,15106.0
Poeder van andere melkproducten,2021,Augustus 2021,14760.0
Poeder van andere melkproducten,2021,September 2021,13525.0
Poeder van andere melkproducten,2021,Oktober 2021,7114.0
Poeder van andere melkproducten,2021,November 2021,7530.0
Poeder van andere melkproducten,2021,December 2021,10740.0
Poeder van andere melkproducten,2022,Januari 2022,15075.0
Poeder van andere melkproducten,2022,Februari 2022,14735.0
Poeder van andere melkproducten,2022,Maart 2022,14510.0
Poeder van andere melkproducten,2022,April 2022,15457.0
Poeder van andere melkproducten,2022,Mei 2022,16709.0
Poeder van andere melkproducten,2022,Juni 2022,14410.0
Poeder van andere melkproducten,2022,Juli 2022,15170.0
Poeder van andere melkproducten,2022,Augustus 2022,13140.0
