België,Gewest,Provincie,Arrondissement,Gemeente,Aantal particuliere huishoudens
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Manage,9119
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Oostkamp,9097
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Eeklo,9076
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Chaudfontaine,8926
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Rixensart,8898
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Nijlen,8848
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Koekelberg,8827
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zedelgem,8813
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Colfontaine,8744
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Balen,8728
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Boussu,8690
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,’s Gravenbrakel,8687
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Eupen,8684
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zemst,8611
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,8532
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Torhout,8391
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Lochristi,8340
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tervuren,8308
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kontich,8298
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Tielt (Tielt),8235
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zoersel,8227
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Zele,8169
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Quaregnon,8126
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Erpe-Mere,8122
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Zonhoven,8097
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Poperinge,8073
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zwijndrecht,7937
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Aalter,7936
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Hoogstraten,7919
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Herent,7902
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Denderleeuw,7855
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Katelijne-Waver,7841
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Kortenberg,7813
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Morlanwelz,7783
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Dilsen-Stokkem,7777
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schilde,7770
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Lessen,7677
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Lebbeke,7632
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Haaltert,7515
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Fontaine-l’Evêque,7507
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Lede,7497
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wuustwezel,7487
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Wervik,7484
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Walcourt,7471
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Jemeppe-sur-Sambre,7440
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,7434
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Komen-Waasten,7418
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Tessenderlo,7370
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Gillis-Waas,7355
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Diepenbeek,7341
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Londerzeel,7326
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boom,7314
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Destelbergen,7307
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Ranst,7266
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Meise,7246
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Wezet,7243
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Dour,7227
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Kasterlee,7134
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Péruwelz,7134
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Stekene,7133
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Fléron,7113
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Marche-en-Famenne,7103
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Bredene,7082
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,7077
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Essen,7065
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Kalmthout,7003
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Herve,6931
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Duffel,6863
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Putte,6854
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Genesius-Rode,6806
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Pont-à-Celles,6753
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,6737
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aubange,6725
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Ciney,6721
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Puurs,6705
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Neerpelt,6635
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Beerse,6614
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Borgworm,6566
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Soumagne,6558
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Kruibeke,6502
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Merchtem,6488
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Riemst,6482
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Lille,6470
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Landen,6464
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Laakdal,6397
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wemmel,6348
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Leopoldsburg,6310
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Peer,6301
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Dinant,6297
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Thuin,6291
België,Waals Gewest,Provincie Luik,Arrondissement Borgworm,Hannuit,6286
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Dison,6217
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Rotselaar,6187
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bree,6152
België,Waals Gewest,Provincie Namen,Arrondissement Philippeville,Couvin,6146
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Zulte,6111
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Chapelle-lez-Herlaimont,6102
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,De Haan,6091
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Ternat,6072
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Berlare,6070
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Esneux,6011
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bastenaken,5953
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Rumst,5949
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Beernem,5909
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herselt,5887
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Genepiën,5858
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Aartselaar,5855
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Eghezée,5853
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Brakel,5844
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Assenede,5820
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Beloeil,5807
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tremelo,5794
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Buggenhout,5786
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Amay,5778
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Leuze-en-Hainaut,5751
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Lummen,5740
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bonheiden,5738
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Overpelt,5719
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Ravels,5689
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Ichtegem,5676
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Malle,5669
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Anzegem,5663
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Hamont-Achel,5663
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Nieuwpoort,5606
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,5596
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Haacht,5590
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Ham-sur-Heure-Nalinnes,5579
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wingene,5505
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Opwijk,5469
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Zelzate,5450
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,5433
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Machelen (Halle-Vilvoorde),5417
België,Waals Gewest,Provincie Luik,Arrondissement Hoei,Wanze,5391
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kuurne,5375
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Jabbeke,5374
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Geldenaken,5352
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Malmedy,5340
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,Edingen,5336
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Aywaille,5331
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Lubbeek,5313
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,De Panne,5287
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Wezembeek-Oppem,5271
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Arendonk,5245
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Blégny,5229
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Oosterzele,5228
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Kraainem,5202
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Beyne-Heusay,5199
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Gerpinnes,5146
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Rochefort,5143
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Liedekerke,5105
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Laarne,5073
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Spa,5050
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Oud-Turnhout,5029
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gavere,5022
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Anderlues,4997
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Boechout,4991
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Mettet,4991
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Wommelgem,4975
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Bocholt,4974
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Affligem,4972
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,4970
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Kelmis,4950
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Zandhoven,4944
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Herk-de-Stad,4929
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Kortemark,4927
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Meeuwen-Gruitrode,4909
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Bernissart,4894
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Steenokkerzeel,4871
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Theux,4858
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Graven,4853
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Durbuy,4850
België,Waals Gewest,Provincie Luxemburg,Arrondissement Virton,Virton,4850
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Olen,4814
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Wichelen,4813
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Zonnebeke,4801
